零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-1,0.5,-0.5,0.04,0.035,0.038,0.035
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-2,0.5,-0.5,0.138,0.119,0.104,0.099
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-3,0.5,-0.5,-0.002,-0.014,-0.008,-0.031
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-4,0.5,-0.5,0.555,0.487,0.478,0.61
K700261760,下背门中部锁扣加强板分总成,P,01A02,A-5,0.5,-0.5,0.216,0.53,0.488,0.136
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-6,0.5,-0.5,-0.126,-0.085,-0.144,-0.053
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-7,0.5,-0.5,-0.069,-0.006,-0.069,-0.058
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-8,0.5,-0.5,-0.097,-0.156,-0.097,-0.219
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-9,0.5,-0.5,0.271,0.309,0.187,0.339
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-10,0.5,-0.5,-0.057,-0.045,-0.01,-0.089
K700261760,下背门中部锁扣加强板分总成,P,01A01,A-11,0.5,-0.5,0.06,0.042,0.007,0.087
K700261760,下背门中部锁扣加强板分总成,F,01A02,A-1~A-11,0.5,0,0.681,0.686,0.632,0.829
K700261760,下背门中部锁扣加强板分总成,P,02A01,A-1,0.5,-0.5,0.229,0.215,0.215,0.505
K700261760,下背门中部锁扣加强板分总成,P,02A01,A-2,0.5,-0.5,0.422,0.689,0.435,0.463
K700261760,下背门中部锁扣加强板分总成,P,02A01,A-3,0.5,-0.5,0.451,0.304,0.21,0.336
K700261760,下背门中部锁扣加强板分总成,P,02A01,A-4,0.5,-0.5,0.306,0.325,0.302,0.188
K700261760,下背门中部锁扣加强板分总成,F,02A02,A-1~A-4,0.5,0,0.222,0.474,0.225,0.317
K700261760,下背门中部锁扣加强板分总成,P,02A03,A-5,0.6,-0.6,-0.312,-0.316,-0.333,-0.324
K700261760,下背门中部锁扣加强板分总成,P,02A03,A-5,0.6,-0.6,0.596,0.259,0.338,0.229
K700261760,下背门中部锁扣加强板分总成,P,02A03,A-6,0.6,-0.6,0.317,0.285,0.298,0.258
K700261760,下背门中部锁扣加强板分总成,P,02A03,A-6,0.6,-0.6,0.11,0.464,0.443,0.235
K700261760,下背门中部锁扣加强板分总成,P,03A01,A-7,0.6,-0.6,0.269,0.058,-0.097,0.246
K700261760,下背门中部锁扣加强板分总成,P,03A01,A-7,0.6,-0.6,-0.208,-0.187,-0.239,0.109
K700261760,下背门中部锁扣加强板分总成,P,03A02,A-8,0.6,-0.6,-0.145,-0.114,0.009,-0.252
K700261760,下背门中部锁扣加强板分总成,P,03A02,A-9,0.6,-0.6,-0.016,0.039,0.111,-0.054
K700261760,下背门中部锁扣加强板分总成,P,04A01,A-1,0.5,-0.5,-0.504,-0.205,-0.238,-0.235
K700261760,下背门中部锁扣加强板分总成,P,04A01,A-2,0.5,-0.5,-0.227,-0.229,-0.516,-0.269
K700261760,下背门中部锁扣加强板分总成,P,04A01,A-3,0.5,-0.5,-0.509,-0.312,-0.422,-0.215
K700261760,下背门中部锁扣加强板分总成,F,04A02,A-1~A-3,0.5,0,0.282,0.107,0.278,0.054
K700261760,下背门中部锁扣加强板分总成,P,04A03,A-4,0.6,-0.6,0.483,0.328,0.28,0.305
K700261760,下背门中部锁扣加强板分总成,P,04A03,A-5,0.6,-0.6,0.345,0.349,0.432,0.366
K700261760,下背门中部锁扣加强板分总成,P,04A03,A-6,0.6,-0.6,0.414,0.412,0.293,0.419
K700261760,下背门中部锁扣加强板分总成,P,04A03,A-7,0.6,-0.6,0.47,0.377,0.248,0.359
