零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700226960,下背门外板,P,01A01,A-1,0.5,-0.5,-0.215,-0.323,-0.157,-0.229
K700226960,下背门外板,P,01A01,A-2,0.5,-0.5,-0.122,-0.234,-0.319,-0.251
K700226960,下背门外板,P,01A01,A-3,0.5,-0.5,-0.317,-0.241,-0.412,-0.133
K700226960,下背门外板,P,01A01,A-4,0.5,-0.5,0.251,0.135,0.211,0.057
K700226960,下背门外板,P,01A01,A-5,0.5,-0.5,-0.159,-0.264,-0.068,-0.139
K700226960,下背门外板,P,01A01,A-6,0.5,-0.5,0.306,0.264,0.237,0.158
K700226960,下背门外板,P,01A01,A-7,0.5,-0.5,0.313,0.187,0.201,0.136
K700226960,下背门外板,P,01A01,A-8,0.5,-0.5,-0.275,-0.156,-0.348,-0.213
K700226960,下背门外板,P,01A01,A-9,0.5,-0.5,-0.338,-0.123,-0.229,-0.136
K700226960,下背门外板,P,01A01,A-10,0.5,-0.5,-0.311,-0.257,-0.145,-0.369
K700226960,下背门外板,P,01A01,A-11,0.5,-0.5,-0.321,-0.128,-0.281,-0.082
K700226960,下背门外板,P,01A01,A-12,0.5,-0.5,-0.327,-0.236,-0.179,-0.383
K700226960,下背门外板,P,01A01,A-13,0.5,-0.5,-0.325,-0.463,-0.302,-0.135
K700226960,下背门外板,P,01A01,A-14,0.5,-0.5,-0.311,-0.242,-0.116,-0.252
K700226960,下背门外板,P,01A01,A-15,0.5,-0.5,-0.123,-0.245,-0.116,-0.262
K700226960,下背门外板,P,01A01,A-16,0.5,-0.5,-0.37,-0.171,-0.273,-0.065
K700226960,下背门外板,P,01A01,A-17,0.5,-0.5,-0.124,-0.317,-0.081,-0.212
K700226960,下背门外板,P,01A01,A-18,0.5,-0.5,-0.132,-0.258,-0.085,-0.322
K700226960,下背门外板,P,01A01,A-19,0.5,-0.5,-0.362,-0.114,-0.134,-0.286
K700226960,下背门外板,P,01A01,A-20,0.5,-0.5,-0.172,-0.327,-0.294,-0.037
K700226960,下背门外板,P,01A01,A-21,0.5,-0.5,-0.311,-0.136,-0.214,-0.004
K700226960,下背门外板,P,01A01,A-22,0.5,-0.5,0.226,0.113,0.065,0.319
K700226960,下背门外板,P,01A01,A-23,0.5,-0.5,0.134,0.124,0.28,0.315
K700226960,下背门外板,P,01A01,A-24,0.5,-0.5,-0.283,-0.144,-0.364,-0.055
K700226960,下背门外板,P,01A01,A-25,0.5,-0.5,0.064,0.125,0.018,0.263
K700226960,下背门外板,P,01A01,A-26,0.5,-0.5,-0.354,-0.142,-0.215,-0.183
K700226960,下背门外板,P,01A01,A-27,0.5,-0.5,0.154,0.237,0.361,0.147
K700226960,下背门外板,P,01A01,A-28,0.5,-0.5,-0.242,-0.019,-0.309,-0.211
K700226960,下背门外板,P,01A01,A-29,0.5,-0.5,-0.103,-0.254,-0.084,-0.357
K700226960,下背门外板,P,01A02,A-1,0.5,-0.5,-0.252,-0.126,-0.302,-0.036
K700226960,下背门外板,P,01A02,A-2,0.5,-0.5,-0.022,-0.218,-0.334,-0.145
K700226960,下背门外板,P,01A02,A-3,0.5,-0.5,-0.131,-0.224,-0.079,-0.134
K700226960,下背门外板,P,01A02,A-4,0.5,-0.5,-0.234,-0.368,-0.117,-0.264
K700226960,下背门外板,P,01A02,A-5,0.5,-0.5,-0.268,-0.143,-0.276,-0.065
K700226960,下背门外板,P,01A02,A-6,0.5,-0.5,-0.145,-0.186,-0.243,-0.212
K700226960,下背门外板,P,01A02,A-7,0.5,-0.5,-0.095,-0.224,-0.127,-0.235
K700226960,下背门外板,P,01A02,A-8,0.5,-0.5,-0.125,-0.231,-0.293,-0.041
K700226960,下背门外板,P,01A02,A-9,0.5,-0.5,0.161,0.095,0.067,0.124
K700226960,下背门外板,P,01A02,A-10,0.5,-0.5,-0.178,-0.231,-0.314,-0.371
K700226960,下背门外板,P,01A02,A-11,0.5,-0.5,-0.115,-0.218,-0.347,-0.211
K700226960,下背门外板,P,01A02,A-12,0.5,-0.5,-0.217,-0.312,-0.067,-0.164
K700226960,下背门外板,P,01A02,A-13,0.5,-0.5,-0.195,-0.213,-0.365,-0.225
K700226960,下背门外板,P,01A02,A-14,0.5,-0.5,-0.245,-0.194,-0.016,-0.318
K700226960,下背门外板,P,01A02,A-15,0.5,-0.5,-0.134,-0.236,-0.317,-0.273
K700226960,下背门外板,P,01A02,A-16,0.5,-0.5,-0.015,-0.248,-0.265,-0.304
K700226960,下背门外板,P,01A02,A-17,0.5,-0.5,-0.195,-0.287,-0.346,-0.268
K700226960,下背门外板,F,01A03,A-1~A-17,0.5,0,0.429,0.463,0.432,0.495
K700226960,下背门外板,P,01A04,A-1,0.5,-0.5,0.011,0.138,0.128,0.046
K700226960,下背门外板,P,01A04,A-2,0.5,-0.5,-0.261,-0.117,-0.34,-0.218
K700226960,下背门外板,P,01A04,A-3,0.5,-0.5,-0.135,-0.012,-0.072,-0.124
K700226960,下背门外板,P,01A04,A-4,0.5,-0.5,-0.337,-0.243,-0.371,-0.191
K700226960,下背门外板,P,01A04,A-5,0.5,-0.5,-0.212,-0.18,-0.067,-0.239
K700226960,下背门外板,P,01A04,A-6,0.5,-0.5,-0.192,-0.312,-0.279,-0.064
K700226960,下背门外板,P,01A04,A-7,0.5,-0.5,-0.315,-0.234,-0.115,-0.013
K700226960,下背门外板,P,01A04,A-8,0.5,-0.5,-0.303,-0.145,-0.237,-0.023
