零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700229060,下背门支撑板-右一,P,01A01,A-1,0.5,-0.5,0.103,0.113,0.206,0.114
K700229060,下背门支撑板-右一,P,01A01,A-2,0.5,-0.5,0.205,0.104,0.121,0.231
K700229060,下背门支撑板-右一,P,01A01,A-3,0.5,-0.5,0.216,0.205,0.211,0.221
K700229060,下背门支撑板-右一,P,01A01,A-4,0.5,-0.5,0.105,0.214,0.234,0.234
K700229060,下背门支撑板-右一,P,01A01,A-5,0.5,-0.5,0.123,0.2,0.132,0.15
K700229060,下背门支撑板-右一,P,01A01,A-6,0.5,-0.5,0.16,0.13,0.21,0.22
K700229060,下背门支撑板-右一,P,01A01,A-7,0.5,-0.5,0.14,0.15,0.104,0.11
K700229060,下背门支撑板-右一,P,01A01,A-8,0.5,-0.5,0.23,0.13,0.12,0.23
K700229060,下背门支撑板-右一,P,01A01,A-9,0.5,-0.5,-0.1,-0.23,-0.16,-0.17
K700229060,下背门支撑板-右一,P,01A01,A-10,0.5,-0.5,-0.15,-0.23,-0.16,-0.17
K700229060,下背门支撑板-右一,F,01A02,A1~A10,0.5,0,0.38,0.444,0.394,0.404
K700229060,下背门支撑板-右一,P,02A01,A-11,0.6,-0.6,0.21,0.16,0.15,0.12
K700229060,下背门支撑板-右一,P,02A01,A-12,0.6,-0.6,0.22,0.23,0.12,0.13
K700229060,下背门支撑板-右一,P,02A01,A-13,0.6,-0.6,0.33,0.32,0.31,0.31
K700229060,下背门支撑板-右一,P,02A01,A-14,0.6,-0.6,0.31,0.32,0.32,0.31
K700229060,下背门支撑板-右一,P,02A01,A-15,0.6,-0.6,0.12,0.14,0.13,0.15
K700229060,下背门支撑板-右一,P,02A01,A-16,0.6,-0.6,0.22,0.21,0.3,0.33
K700229060,下背门支撑板-右一,P,02A01,A-17,0.6,-0.6,0.25,0.23,0.22,0.21
K700229060,下背门支撑板-右一,P,02A01,A-18,0.6,-0.6,0.21,0.23,0.12,0.21
K700229060,下背门支撑板-右一,P,02A01,A-19,0.6,-0.6,0.22,0.21,0.31,0.12
K700229060,下背门支撑板-右一,P,02A01,A-20,0.6,-0.6,0.24,0.16,0.16,0.24
K700229060,下背门支撑板-右一,F,02A02,A-11~A-20,0.6,0,0.21,0.18,0.2,0.21
