零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700228860,下背门支撑板-左一,P,01A01,A-1,0.5,-0.5,0.23,0.31,0.22,0.14
K700228860,下背门支撑板-左一,P,01A01,A-2,0.5,-0.5,0.16,0.31,0.22,0.13
K700228860,下背门支撑板-左一,P,01A01,A-3,0.5,-0.5,0.22,0.21,0.23,0.22
K700228860,下背门支撑板-左一,P,01A01,A-4,0.5,-0.5,0.13,0.22,0.21,0.204
K700228860,下背门支撑板-左一,P,01A01,A-5,0.5,-0.5,0.3,0.14,0.13,0.11
K700228860,下背门支撑板-左一,P,01A01,A-6,0.5,-0.5,0.21,0.2,0.14,0.25
K700228860,下背门支撑板-左一,P,01A01,A-7,0.5,-0.5,0.28,0.27,0.19,0.16
K700228860,下背门支撑板-左一,P,01A01,A-8,0.5,-0.5,0.16,0.2,0,-0.1
K700228860,下背门支撑板-左一,P,01A01,A-9,0.5,-0.5,0.19,0.16,0.27,0.18
K700228860,下背门支撑板-左一,P,01A01,A-10,0.5,-0.5,0.19,0.27,0.26,0.09
K700228860,下背门支撑板-左一,F,01A02,A1~A10,0.5,0,0.17,0.17,0.27,0.35
K700228860,下背门支撑板-左一,P,02A01,A-11,0.6,-0.6,0.27,0.21,0.23,0.27
K700228860,下背门支撑板-左一,P,02A01,A-12,0.6,-0.6,0.27,0.19,0.16,0.22
K700228860,下背门支撑板-左一,P,02A01,A-13,0.6,-0.6,0.34,0.24,0.16,0.18
K700228860,下背门支撑板-左一,P,02A01,A-14,0.6,-0.6,0.25,0.16,0.24,0.31
K700228860,下背门支撑板-左一,P,02A01,A-15,0.6,-0.6,0.13,0.24,0.15,0.16
K700228860,下背门支撑板-左一,P,02A01,A-16,0.6,-0.6,0.15,0.16,0.19,0.18
K700228860,下背门支撑板-左一,P,02A01,A-17,0.6,-0.6,0.21,0.23,0.24,0.31
K700228860,下背门支撑板-左一,P,02A01,A-18,0.6,-0.6,0.27,0.19,0.21,0.16
K700228860,下背门支撑板-左一,P,02A01,A-19,0.6,-0.6,0.19,0.27,0.26,0.15
K700228860,下背门支撑板-左一,P,02A01,A-20,0.6,-0.6,0.19,0.22,0.15,0.31
K700228860,下背门支撑板-左一,F,02A02,A-11~A-20,0.6,0,0.21,0.11,0.11,0.16
