零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700260960,下背门里板分总成,P,01A01,A-1,0.6,-0.6,0.203,0.102,0.171,0.187
K700260960,下背门里板分总成,P,01A01,A-2,0.6,-0.6,-0.473,-0.49,-0.581,-0.518
K700260960,下背门里板分总成,P,01A01,A-3,0.6,-0.6,-0.023,-0.083,-0.211,-0.156
K700260960,下背门里板分总成,P,01A01,A-4,0.6,-0.6,0.088,-0.011,-0.116,-0.168
K700260960,下背门里板分总成,P,01A01,A-5,0.6,-0.6,0.153,0.129,0.14,0.058
K700260960,下背门里板分总成,P,01A01,A-6,0.6,-0.6,-0.031,-0.043,0.025,-0.034
K700260960,下背门里板分总成,P,01A01,A-7,0.6,-0.6,-0.067,-0.089,-0.018,-0.067
K700260960,下背门里板分总成,P,01A01,A-8,0.6,-0.6,-0.251,-0.31,-0.244,-0.262
K700260960,下背门里板分总成,P,01A01,A-9,0.6,-0.6,-0.135,-0.218,-0.143,-0.118
K700260960,下背门里板分总成,P,01A01,A-10,0.6,-0.6,0.025,-0.073,-0.037,0.056
K700260960,下背门里板分总成,P,01A01,A-11,0.6,-0.6,-0.335,-0.334,-0.327,-0.287
K700260960,下背门里板分总成,P,01A01,A-12,0.6,-0.6,-0.3,-0.24,-0.229,-0.22
K700260960,下背门里板分总成,P,01A01,A-13,0.6,-0.6,-0.304,-0.164,-0.194,-0.195
K700260960,下背门里板分总成,P,01A01,A-14,0.6,-0.6,-0.498,-0.276,-0.282,-0.354
K700260960,下背门里板分总成,P,01A01,A-15,0.6,-0.6,-0.451,-0.329,-0.305,-0.419
K700260960,下背门里板分总成,P,01A01,A-16,0.6,-0.6,-0.132,-0.163,-0.127,-0.143
K700260960,下背门里板分总成,P,01A01,A-17,0.6,-0.6,-0.061,-0.109,-0.089,-0.129
K700260960,下背门里板分总成,P,01A01,A-18,0.6,-0.6,-0.017,-0.027,-0.036,-0.089
K700260960,下背门里板分总成,P,01A01,A-19,0.6,-0.6,0.317,0.304,0.305,0.263
K700260960,下背门里板分总成,P,01A01,A-20,0.6,-0.6,0.239,0.244,0.244,0.197
K700260960,下背门里板分总成,P,01A01,A-21,0.6,-0.6,0.183,0.169,0.177,0.117
K700260960,下背门里板分总成,P,01A01,A-22,0.6,-0.6,0.331,0.338,0.332,0.314
K700260960,下背门里板分总成,P,01A01,A-23,0.6,-0.6,0.001,-0.002,-0.003,-0.022
K700260960,下背门里板分总成,P,01A01,A-24,0.6,-0.6,0.046,0.038,0.036,0.031
K700260960,下背门里板分总成,P,01A01,A-25,0.6,-0.6,0.132,0.152,0.136,0.139
K700260960,下背门里板分总成,P,01A01,A-26,0.6,-0.6,0.072,0.114,0.09,0.125
K700260960,下背门里板分总成,P,01A01,A-27,0.6,-0.6,-0.122,0.004,0.051,0.026
K700260960,下背门里板分总成,P,01A01,A-28,0.6,-0.6,-0.2,-0.113,-0.073,-0.04
K700260960,下背门里板分总成,P,01A01,A-29,0.6,-0.6,-0.026,-0.094,-0.025,0.022
K700260960,下背门里板分总成,P,01A01,A-30,0.6,-0.6,-0.22,-0.344,-0.284,-0.243
K700260960,下背门里板分总成,F,01A02,A1~A-30,0.6,0,0.829,0.8280000000000001,0.913,0.8320000000000001
K700260960,下背门里板分总成,P,01A03,A-1,0.5,-0.5,0.371,0.355,0.309,0.359
K700260960,下背门里板分总成,P,01A03,A-2,0.5,-0.5,0.279,0.189,0.291,0.299
K700260960,下背门里板分总成,P,01A03,A-3,0.5,-0.5,0.356,0.326,0.374,0.305
K700260960,下背门里板分总成,P,01A03,A-4,0.5,-0.5,0.31,0.284,0.328,0.345
K700260960,下背门里板分总成,P,01A03,A-5,0.5,-0.5,0.366,0.327,0.35,0.363
K700260960,下背门里板分总成,P,01A03,A-6,0.5,-0.5,0.273,0.273,0.228,0.22
K700260960,下背门里板分总成,P,01A03,A-7,0.5,-0.5,-0.094,-0.122,-0.183,-0.165
K700260960,下背门里板分总成,P,01A03,A-8,0.5,-0.5,-0.093,-0.171,-0.28,-0.297
K700260960,下背门里板分总成,P,01A03,A-9,0.5,-0.5,-0.305,-0.379,-0.322,-0.387
K700260960,下背门里板分总成,P,01A03,A-10,0.5,-0.5,-0.372,-0.374,-0.308,-0.323
K700260960,下背门里板分总成,P,01A03,A-11,0.5,-0.5,-0.254,-0.307,-0.262,-0.523
K700260960,下背门里板分总成,P,01A03,A-12,0.5,-0.5,-0.278,-0.321,-0.304,-0.254
K700260960,下背门里板分总成,P,01A03,A-13,0.5,-0.5,-0.372,-0.532,-0.469,-0.441
K700260960,下背门里板分总成,P,01A03,A-14,0.5,-0.5,-0.236,-0.313,-0.422,-0.432
K700260960,下背门里板分总成,P,01A03,A-15,0.5,-0.5,-0.11,-0.132,-0.208,-0.24
K700260960,下背门里板分总成,P,01A03,A-16,0.5,-0.5,0.153,0.236,0.065,0.059
K700260960,下背门里板分总成,P,01A03,A-17,0.5,-0.5,0.166,0.248,0.154,0.139
K700260960,下背门里板分总成,P,01A03,A-18,0.5,-0.5,0.066,-0.004,0.005,-0.022
K700260960,下背门里板分总成,F,01A04,A-1~A-18,0.5,0,0.059,0.211,0.094,-0.023
K700260960,下背门里板分总成,P,01B01,A-1,0.5,-0.5,-0.031,-0.149,-0.025,-0.173
