零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700216660,发动机罩外板加强板,P,01A01,1,0.5,-0.5,-0.4,-0.3,-0.3,-0.4
K700216660,发动机罩外板加强板,P,01A01,2,0.5,-0.5,0.1,0.1,0.2,0.1
K700216660,发动机罩外板加强板,P,01A01,3,0.5,-0.5,0.3,0.2,0.3,0.3
K700216660,发动机罩外板加强板,P,01A01,4,0.5,-0.5,0.2,0.3,0.2,0.2
K700216660,发动机罩外板加强板,P,01A01,5,0.5,-0.5,-0.2,-0.2,-0.1,-0.2
K700216660,发动机罩外板加强板,P,01A01,6,0.5,-0.5,-0.1,-0.1,0,-0.1
K700216660,发动机罩外板加强板,P,01A01,7,0.5,-0.5,0.1,0,0,0.1
K700216660,发动机罩外板加强板,P,01A01,8,0.5,-0.5,0.1,0.1,0,0.1
K700216660,发动机罩外板加强板,P,01A01,9,0.5,-0.5,0,0,0.1,0
K700216660,发动机罩外板加强板,P,01A01,10,0.5,-0.5,0,0,0.1,0
K700216660,发动机罩外板加强板,F,01A02,,0.5,0,0.30000000000000004,0.30000000000000004,0.2,0.30000000000000004
K700216660,发动机罩外板加强板,P,03C01,1,0.75,-0.75,-0.1,-0.1,-0.1,-0.1
K700216660,发动机罩外板加强板,P,03C01,2,0.75,-0.75,-0.1,-0.1,-0.1,-0.1
K700216660,发动机罩外板加强板,P,03C01,3,0.75,-0.75,0,0.1,0,0
K700216660,发动机罩外板加强板,P,03C01,4,0.75,-0.75,0.1,0.2,0.1,0.1
K700216660,发动机罩外板加强板,P,03C01,5,0.75,-0.75,0.2,0.2,0.2,0.2
K700216660,发动机罩外板加强板,P,03C01,6,0.75,-0.75,0.3,0.4,0.3,0.3
K700216660,发动机罩外板加强板,P,03C01,7,0.75,-0.75,0.2,0.1,0.1,0.1
K700216660,发动机罩外板加强板,P,03C01,8,0.75,-0.75,0,0,-0.1,0
K700216660,发动机罩外板加强板,P,03C01,9,0.75,-0.75,-0.4,-0.3,-0.4,-0.4
K700216660,发动机罩外板加强板,P,03C01,10,0.75,-0.75,0.3,0.3,0.3,0.2
K700216660,发动机罩外板加强板,P,03C01,11,0.75,-0.75,0,0.1,0,0
K700216660,发动机罩外板加强板,P,03C01,12,0.75,-0.75,-0.1,-0.1,-0.1,-0.1
K700216660,发动机罩外板加强板,P,03C01,13,0.75,-0.75,0.1,0.1,0.1,0.1
K700216660,发动机罩外板加强板,P,03C01,14,0.75,-0.75,0.2,0.1,0.2,0.2
K700216660,发动机罩外板加强板,P,03C01,15,0.75,-0.75,-0.2,-0.1,-0.2,-0.2
K700216660,发动机罩外板加强板,P,03C01,16,0.75,-0.75,0,0,0,0.1
K700216660,发动机罩外板加强板,P,03C01,17,0.75,-0.75,-0.1,-0.1,-0.2,-0.1
K700216660,发动机罩外板加强板,P,03C01,18,0.75,-0.75,-0.2,-0.2,-0.2,-0.1
K700216660,发动机罩外板加强板,P,03C01,19,0.75,-0.75,0,0,0,0.1
K700216660,发动机罩外板加强板,P,03C01,20,0.75,-0.75,0.1,0.1,0.1,0.1
K700216660,发动机罩外板加强板,P,03C01,21,0.75,-0.75,0,-0.1,-0.1,-0.1
K700216660,发动机罩外板加强板,P,03C01,22,0.75,-0.75,-0.1,-0.1,-0.1,-0.1
K700216660,发动机罩外板加强板,P,99A01,1,1.5,-1.5,-0.6,-0.5,-0.5,-0.6
K700216660,发动机罩外板加强板,P,99A01,2,1.5,-1.5,0,0,0,0
K700216660,发动机罩外板加强板,P,99A01,3,1.5,-1.5,0.4,0.3,0.4,0.4
K700216660,发动机罩外板加强板,P,99A01,4,1.5,-1.5,0.2,0.3,0.2,0.2
K700216660,发动机罩外板加强板,P,99A01,5,1.5,-1.5,-0.4,-0.3,-0.4,-0.4
K700216660,发动机罩外板加强板,P,99A01,6,1.5,-1.5,-0.2,-0.1,-0.2,-0.1
K700216660,发动机罩外板加强板,P,99A01,7,1.5,-1.5,0,0,0,0
K700216660,发动机罩外板加强板,P,99A01,8,1.5,-1.5,0,0,0,0
K700216660,发动机罩外板加强板,P,99A01,9,1.5,-1.5,0,0,0,0
K700216660,发动机罩外板加强板,P,99A01,10,1.5,-1.5,0,0,0,0
