零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700216460,发动机罩左铰链加强板总成,P,01A01,1,0.6,-0.6,0.3,0.2,0.2,0.3
K700216460,发动机罩左铰链加强板总成,P,01A01,2,0.6,-0.6,0.2,0.2,0.2,0.2
K700216460,发动机罩左铰链加强板总成,P,01A01,3,0.6,-0.6,0.4,0.3,0.3,0.3
K700216460,发动机罩左铰链加强板总成,P,01A01,4,0.6,-0.6,0.3,0.3,0.3,0.3
K700216460,发动机罩左铰链加强板总成,P,01A01,5,0.6,-0.6,0,0,0,0
K700216460,发动机罩左铰链加强板总成,P,01A01,6,0.6,-0.6,-0.2,-0.2,-0.2,-0.3
K700216460,发动机罩左铰链加强板总成,P,01A01,7,0.6,-0.6,-0.1,-0.2,-0.2,-0.1
K700216460,发动机罩左铰链加强板总成,P,01A01,8,0.6,-0.6,-0.2,-0.1,-0.2,-0.1
K700216460,发动机罩左铰链加强板总成,F,01A02,1~8,0.6,,0.6000000000000001,0.5,0.5,0.6
K700216460,发动机罩左铰链加强板总成,P,01A03,1,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700216460,发动机罩左铰链加强板总成,P,01A03,2,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700216460,发动机罩左铰链加强板总成,P,01A03,3,0.5,-0.5,0.1,0,-0.1,-0.1
K700216460,发动机罩左铰链加强板总成,F,01A04,1~3,0.5,,0.2,0.1,0,0
K700216460,发动机罩左铰链加强板总成,P,02C01,1,0.6,-0.6,0,0,0,0.1
K700216460,发动机罩左铰链加强板总成,P,02C01,2,0.6,-0.6,-0.3,-0.3,-0.3,-0.3
