零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700216160,发动机罩锁加强板总成,P,01A01,1,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700216160,发动机罩锁加强板总成,P,01A01,2,0.5,-0.5,0.1,0.1,0.1,0.1
K700216160,发动机罩锁加强板总成,P,01A01,3,0.5,-0.5,0.2,0.1,0.1,0.2
K700216160,发动机罩锁加强板总成,P,01A01,4,0.5,-0.5,-0.1,0.1,0,-0.1
K700216160,发动机罩锁加强板总成,P,01A01,5,0.5,-0.5,0.3,0.3,0.2,0.3
K700216160,发动机罩锁加强板总成,P,01A01,6,0.5,-0.5,0.4,0.5,0.4,0.4
K700216160,发动机罩锁加强板总成,P,01A01,7,0.5,-0.5,0.1,0,0.1,0.1
K700216160,发动机罩锁加强板总成,P,01A01,8,0.5,-0.5,-0.5,-0.4,-0.5,-0.4
K700216160,发动机罩锁加强板总成,P,01A01,9,0.5,-0.5,-0.4,-0.4,-0.4,-0.4
K700216160,发动机罩锁加强板总成,P,01A01,10,0.5,-0.5,-0.1,-0.2,-0.1,-0.2
K700216160,发动机罩锁加强板总成,P,01A01,11,0.5,-0.5,0.3,0.2,0.3,0.3
K700216160,发动机罩锁加强板总成,P,01A01,12,0.5,-0.5,0.2,0.2,0.2,0.2
K700216160,发动机罩锁加强板总成,P,01A01,13,0.5,-0.5,-0.1,0,-0.1,-0.1
K700216160,发动机罩锁加强板总成,P,01A01,14,0.5,-0.5,-0.1,0,0,-0.1
K700216160,发动机罩锁加强板总成,F,01A02,1~14,0.5,,0.9,0.9,0.9,0.8
K700216160,发动机罩锁加强板总成,P,02D01,,0,-1,-0.3,-0.4,-0.3,-0.3
K700216160,发动机罩锁加强板总成,P,02D02,,0.5,-0.5,0.2,0.1,0.2,0.1
