零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400346660,右A柱骨架焊接合件,P,01A01,A-1a,0.5,-0.5,0.126,0.136,0.148,0.125
K400346660,右A柱骨架焊接合件,P,01A01,A-1b,0.5,-0.5,0.194,0.208,0.19,0.183
K400346660,右A柱骨架焊接合件,P,01A01,A-2a,0.5,-0.5,-0.452,-0.46,-0.535,-0.455
K400346660,右A柱骨架焊接合件,P,01A01,A-2b,0.5,-0.5,-0.264,-0.295,-0.29,-0.301
K400346660,右A柱骨架焊接合件,P,01A01,A-3a,0.5,-0.5,-0.264,-0.222,-0.206,-0.274
K400346660,右A柱骨架焊接合件,P,01A01,A-3b,0.5,-0.5,-0.03,-0.054,-0.061,-0.079
K400346660,右A柱骨架焊接合件,P,01A01,A-4a,0.5,-0.5,-0.396,-0.297,-0.132,-0.145
K400346660,右A柱骨架焊接合件,P,01A01,A-4b,0.5,-0.5,-0.295,-0.259,-0.29,-0.351
K400346660,右A柱骨架焊接合件,P,01A01,A-5a,0.5,-0.5,-0.111,-0.018,-0.284,-0.126
K400346660,右A柱骨架焊接合件,P,01A01,A-5b,0.5,-0.5,-0.203,-0.129,-0.189,-0.324
K400346660,右A柱骨架焊接合件,P,01A01,A-6a,0.5,-0.5,-0.271,-0.219,-0.176,-0.157
K400346660,右A柱骨架焊接合件,P,01A01,A-6b,0.5,-0.5,-0.348,-0.207,-0.23,-0.147
K400346660,右A柱骨架焊接合件,P,01A01,A-7a,0.5,-0.5,-0.206,-0.174,-0.22,-0.176
K400346660,右A柱骨架焊接合件,P,01A01,A-7b,0.5,-0.5,-0.113,-0.084,-0.137,-0.099
K400346660,右A柱骨架焊接合件,P,01A01,A-8a,0.5,-0.5,-0.235,-0.246,-0.221,-0.214
K400346660,右A柱骨架焊接合件,P,01A01,A-8b,0.5,-0.5,0.06,0.063,0.075,0.086
K400346660,右A柱骨架焊接合件,P,01A01,A-9a,0.5,-0.5,-0.012,0.008,-0.018,-0.076
K400346660,右A柱骨架焊接合件,P,01A01,A-9b,0.5,-0.5,0.062,0.073,0.064,0.003
K400346660,右A柱骨架焊接合件,P,01A01,A-10a,0.5,-0.5,-0.504,-0.245,-0.253,-0.159
K400346660,右A柱骨架焊接合件,P,01A01,A-10b,0.5,-0.5,-0.501,-0.366,-0.401,-0.397
K400346660,右A柱骨架焊接合件,P,01A01,A-11a,0.5,-0.5,-0.139,-0.078,-0.11,-0.121
K400346660,右A柱骨架焊接合件,P,01A01,A-11b,0.5,-0.5,-0.41564,-0.508164,-0.53764,-0.37664
K400346660,右A柱骨架焊接合件,P,01A01,A-12a,0.5,-0.5,-0.509,-0.458,-0.533,-0.419
K400346660,右A柱骨架焊接合件,P,01A01,A-12b,0.5,-0.5,0.089,0.128,0.073,0.111
K400346660,右A柱骨架焊接合件,P,01A01,A-13a,0.5,-0.5,0.313,0.338,0.261,0.309
K400346660,右A柱骨架焊接合件,P,01A01,A-13b,0.5,-0.5,0.04,0.008,-0.026,0.025
K400346660,右A柱骨架焊接合件,P,01A01,A-14a,0.5,-0.5,-0.216,-0.129,-0.12,-0.186
K400346660,右A柱骨架焊接合件,P,01A01,A-14b,0.5,-0.5,-0.35,-0.336,-0.308,-0.325
K400346660,右A柱骨架焊接合件,P,01A01,A-15a,0.5,-0.5,-0.267,-0.197,-0.184,-0.236
K400346660,右A柱骨架焊接合件,P,01A01,A-15b,0.5,-0.5,0.502,0.47,0.455,0.567
K400346660,右A柱骨架焊接合件,P,01A01,A-16a,0.5,-0.5,-0.277,-0.297,-0.244,-0.268
K400346660,右A柱骨架焊接合件,P,01A01,A-16b,0.5,-0.5,0.128,0.109,0.127,0.152
K400346660,右A柱骨架焊接合件,P,01A01,A-17a,0.5,-0.5,0.196,0.145,0.147,0.176
K400346660,右A柱骨架焊接合件,P,01A01,A-17b,0.5,-0.5,-0.167,-0.17,-0.157,-0.156
K400346660,右A柱骨架焊接合件,P,01A01,A-18a,0.5,-0.5,-0.075,-0.126,-0.122,-0.133
K400346660,右A柱骨架焊接合件,P,01A01,A-18b,0.5,-0.5,-0.162,-0.201,-0.201,-0.204
K400346660,右A柱骨架焊接合件,P,02A01,A-1a,0.5,-0.5,-0.098,0.178,0.232,0.146
K400346660,右A柱骨架焊接合件,P,02A01,A-1b,0.5,-0.5,-0.006,0.256,0.194,0.207
K400346660,右A柱骨架焊接合件,P,02A01,A-2a,0.5,-0.5,-0.082,0.5066,0.125,-0.043
K400346660,右A柱骨架焊接合件,P,02A01,A-2b,0.5,-0.5,-0.081,0.188,0.059,-0.059
K400346660,右A柱骨架焊接合件,P,02A01,A-3a,0.5,-0.5,-0.353,-0.352,-0.388,-0.416
K400346660,右A柱骨架焊接合件,P,02A01,A-3b,0.5,-0.5,-0.209,-0.204,-0.191,-0.257
K400346660,右A柱骨架焊接合件,P,02A01,A-4a,0.5,-0.5,-0.525,-0.557,-0.481,-0.616
K400346660,右A柱骨架焊接合件,P,02A01,A-4b,0.5,-0.5,-0.486,-0.551,-0.56,-0.592
K400346660,右A柱骨架焊接合件,P,02A01,A-5a,0.5,-0.5,-0.059,-0.136,-0.121,-0.096
K400346660,右A柱骨架焊接合件,P,02A01,A-5b,0.5,-0.5,0.125,0.083,0.096,0.12
K400346660,右A柱骨架焊接合件,P,02A01,A-6a,0.5,-0.5,0.11,0.126,0.138,0.122
K400346660,右A柱骨架焊接合件,P,02A01,A-6b,0.5,-0.5,0.033,0.043,0.054,0.033
K400346660,右A柱骨架焊接合件,P,03A01,A-7a,0.5,-0.5,0.152,0.077,-0.014,0.009
K400346660,右A柱骨架焊接合件,P,03A01,A-7b,0.5,-0.5,-0.065,-0.1,-0.148,-0.113
K400346660,右A柱骨架焊接合件,P,03A01,A-8a,0.5,-0.5,-0.185,-0.214,-0.205,-0.27
K400346660,右A柱骨架焊接合件,P,03A01,A-8b,0.5,-0.5,-0.067,-0.083,-0.096,-0.156
K400346660,右A柱骨架焊接合件,P,03A01,A-9a,0.5,-0.5,-0.17,-0.236,-0.17,-0.173
K400346660,右A柱骨架焊接合件,P,03A01,A-9b,0.5,-0.5,-0.164,-0.22,-0.239,-0.244
K400346660,右A柱骨架焊接合件,P,03A01,A-10a,0.5,-0.5,-0.158,-0.222,-0.245,-0.483
K400346660,右A柱骨架焊接合件,P,03A01,A-10b,0.5,-0.5,-0.493,-0.159,-0.374,-0.506
K400346660,右A柱骨架焊接合件,P,03A01,A-11a,0.5,-0.5,0.032,-0.037,0.095,0.101
K400346660,右A柱骨架焊接合件,P,03A01,A-11b,0.5,-0.5,0.272,0.224,0.359,0.358
K400346660,右A柱骨架焊接合件,P,03A01,A-12a,0.5,-0.5,0.041,-0.029,0.062,0.053
K400346660,右A柱骨架焊接合件,P,03A01,A-12b,0.5,-0.5,0.092,0.063,0.106,0.092
K400346660,右A柱骨架焊接合件,P,03A01,A-13a,0.5,-0.5,-0.194,-0.234,-0.188,-0.183
K400346660,右A柱骨架焊接合件,P,03A01,A-13b,0.5,-0.5,-0.447,-0.154,-0.229,-0.322
K400346660,右A柱骨架焊接合件,P,04A01,A-14a,0.5,-0.5,0.044,0.042,0.062,0.068
K400346660,右A柱骨架焊接合件,P,04A01,A-14b,0.5,-0.5,0.026,0.033,0.042,0.049
K400346660,右A柱骨架焊接合件,P,04A01,A-15a,0.5,-0.5,0.266,0.217,0.235,0.26
K400346660,右A柱骨架焊接合件,P,04A01,A-15b,0.5,-0.5,0.135,0.106,0.123,0.148
K400346660,右A柱骨架焊接合件,P,04A01,A-16a,0.5,-0.5,-0.345,-0.312,-0.33,-0.296
K400346660,右A柱骨架焊接合件,P,04A01,A-16b,0.5,-0.5,-0.092,-0.047,-0.068,-0.057
K400346660,右A柱骨架焊接合件,P,04A01,A-17a,0.5,-0.5,-0.191,-0.303,-0.313,-0.327
K400346660,右A柱骨架焊接合件,P,04A01,A-17b,0.5,-0.5,-0.292,-0.198,-0.216,-0.222
K400346660,右A柱骨架焊接合件,P,04A01,A-18a,0.5,-0.5,-0.274,-0.256,-0.11,-0.209
K400346660,右A柱骨架焊接合件,P,04A01,A-18b,0.5,-0.5,-0.266,-0.499,-0.445,-0.539
K400346660,右A柱骨架焊接合件,P,04A01,A-19a,0.5,-0.5,-0.501,-0.497,-0.619,-0.431
K400346660,右A柱骨架焊接合件,P,04A01,A-19b,0.5,-0.5,-0.481,-0.207,-0.45,-0.287
K400346660,右A柱骨架焊接合件,P,04A01,A-20a,0.5,-0.5,0.133,0.143,0.106,0.052
K400346660,右A柱骨架焊接合件,P,04A01,A-20b,0.5,-0.5,0.793,0.61,0.461,0.728
K400346660,右A柱骨架焊接合件,P,04A01,A-21a,0.5,-0.5,-0.172,-0.336,-0.301,-0.229
K400346660,右A柱骨架焊接合件,P,04A01,A-21b,0.5,-0.5,-0.1448,-0.2988,-0.5138,-0.0728
K400346660,右A柱骨架焊接合件,P,05A01,A-1a,0.5,-0.5,-0.2,0.077,0.197,0.113
K400346660,右A柱骨架焊接合件,P,05A01,A-1b,0.5,-0.5,-0.017,0.481,0.311,0.261
K400346660,右A柱骨架焊接合件,P,05A01,A-2a,0.5,-0.5,-0.151,0.315,0.159,-0.011
K400346660,右A柱骨架焊接合件,P,05A01,A-2b,0.5,-0.5,-0.053,0.215,0.247,0.135
K400346660,右A柱骨架焊接合件,P,05A01,A-3a,0.5,-0.5,-0.076,0.11,-0.133,-0.023
K400346660,右A柱骨架焊接合件,P,05A01,A-3b,0.5,-0.5,0.445,0.607,0.319,0.322
K400346660,右A柱骨架焊接合件,P,05A01,A-4a,0.5,-0.5,-0.181,-0.097,-0.363,-0.288
K400346660,右A柱骨架焊接合件,P,05A01,A-4b,0.5,-0.5,0.432,0.657,0.373,0.389
K400346660,右A柱骨架焊接合件,P,05A01,A-5a,0.5,-0.5,0.357,0.104,0.115,0.024
K400346660,右A柱骨架焊接合件,P,05A01,A-5b,0.5,-0.5,0.156,0.013,0.044,-0.014
K400346660,右A柱骨架焊接合件,P,05A02,A-6a,0.5,-0.5,0.07,0.045,0.042,0.049
K400346660,右A柱骨架焊接合件,P,05A02,A-6b,0.5,-0.5,0.012,0.012,-0.022,0.056
K400346660,右A柱骨架焊接合件,P,05A02,A-7a,0.5,-0.5,0.367,0.353,0.354,0.339
K400346660,右A柱骨架焊接合件,P,05A02,A-7b,0.5,-0.5,0.331,0.348,0.32,0.315
K400346660,右A柱骨架焊接合件,P,05A02,A-8a,0.5,-0.5,-0.139,-0.136,-0.106,-0.115
K400346660,右A柱骨架焊接合件,P,05A02,A-8b,0.5,-0.5,-0.04,-0.041,-0.041,-0.043
K400346660,右A柱骨架焊接合件,P,05A02,A-9a,0.5,-0.5,-0.076,-0.078,-0.066,-0.075
K400346660,右A柱骨架焊接合件,P,05A02,A-9b,0.5,-0.5,-0.088,-0.097,-0.1,-0.085
K400346660,右A柱骨架焊接合件,P,05A02,A-10a,0.5,-0.5,0.072,0.081,0.093,0.062
K400346660,右A柱骨架焊接合件,P,05A02,A-10b,0.5,-0.5,0.13,0.13,0.133,0.129
K400346660,右A柱骨架焊接合件,P,05A02,A-11a,0.5,-0.5,0.119,0.14,0.13,0.087
K400346660,右A柱骨架焊接合件,P,05A02,A-11b,0.5,-0.5,0.413,0.534,0.12,0.199
K400346660,右A柱骨架焊接合件,P,05A02,A-12a,0.5,-0.5,0.265,0.264,0.262,0.187
K400346660,右A柱骨架焊接合件,P,05A02,A-12b,0.5,-0.5,-0.041,-0.029,-0.045,-0.082
K400346660,右A柱骨架焊接合件,P,05A02,A-13a,0.5,-0.5,-0.397,-0.377,-0.409,-0.412
K400346660,右A柱骨架焊接合件,P,05A02,A-13b,0.5,-0.5,-0.095,-0.071,-0.1,-0.083
K400346660,右A柱骨架焊接合件,P,05A02,A-14a,0.5,-0.5,-0.153,-0.122,-0.148,-0.151
K400346660,右A柱骨架焊接合件,P,05A02,A-14b,0.5,-0.5,-0.342,-0.495,-0.329,-0.234
