零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400412860,右侧围里板总成,P,01A01,A-1,0.6,-0.6,-0.0619684701277193,-0.0237445956123005,-0.367755973106733,-0.0827829528080801
K400412860,右侧围里板总成,P,01A01,A-2,0.6,-0.6,0.294320367837133,0.363645588673824,-0.0204959497735084,0.288550719899986
K400412860,右侧围里板总成,P,01A01,A-3,0.6,-0.6,0.0363560815882223,0.221914920734965,-0.0964523173280926,0.118788039967524
K400412860,右侧围里板总成,P,01A01,A-4,0.6,-0.6,0.0149577492198202,0.34696335795832,0.301045889649348,0.12695962993398
K400412860,右侧围里板总成,P,01A01,A-5,0.6,-0.6,-0.29322791389315,-0.407190371238862,-0.302444066599885,-0.45014117646188
K400412860,右侧围里板总成,P,01A01,A-6,0.6,-0.6,-0.32705444489324,-0.270338564800329,-0.241252950676182,-0.22214738113831
K400412860,右侧围里板总成,P,01A01,A-7,0.6,-0.6,-0.2564939350731,-0.432820968386891,-0.442380492202006,-0.288917300092249
K400412860,右侧围里板总成,P,01A01,A-8,0.6,-0.6,-0.2507107897486,-0.369125420407283,-0.336722689454015,-0.471349243956407
K400412860,右侧围里板总成,P,01A01,A-9,0.6,-0.6,-0.23294368347564,-0.36616033204451,-0.30824539625831,-0.52031345725093
K400412860,右侧围里板总成,P,01A01,A-10,0.6,-0.6,-0.21909167057597,-0.417580195802,-0.43033115514085,-0.41239409581566
K400412860,右侧围里板总成,P,01A01,A-11,0.6,-0.6,-0.252109865212004,-0.434006667340092,-0.506958872305097,-0.285700227072968
K400412860,右侧围里板总成,P,01A01,A-12,0.6,-0.6,-0.33240344502271,-0.42169721996368,-0.43696376487231,-0.25566708278146
K400412860,右侧围里板总成,P,01A01,A-13,0.6,-0.6,-0.254607586537178,-0.154113706794132,-0.19620117426058,-0.174165058398834
K400412860,右侧围里板总成,P,01A01,A-14,0.6,-0.6,-0.260571960553381,-0.41123044803513,-0.231493898348667,-0.28725459718525
K400412860,右侧围里板总成,P,01A01,A-15,0.6,-0.6,-0.274382068655621,-0.323993871080207,-0.299090605501029,-0.271211523681743
K400412860,右侧围里板总成,P,01A01,A-16,0.6,-0.6,-0.273915712901119,-0.308962790713994,-0.317906016280746,-0.410429734065736
K400412860,右侧围里板总成,P,01A01,A-17,0.6,-0.6,0.108495089262431,0.0513282325393375,0.163000564303652,0.0469388536648621
K400412860,右侧围里板总成,P,01A01,A-18,0.6,-0.6,0.044591349289348,-0.0158157081826916,0.0854907532423839,-0.0398877877955406
K400412860,右侧围里板总成,P,01A01,A-19,0.6,-0.6,0.477553264027437,0.374312437582433,0.337525328805693,0.314843205951688
K400412860,右侧围里板总成,P,01A01,A-20,0.6,-0.6,0.0152233708413282,0.00067521092987549,0.0468060061890788,0.0420917163721067
K400412860,右侧围里板总成,P,01A01,A-21,0.6,-0.6,0.100156152143839,0.18717214047965,0.2430318379257,0.180891809782527
K400412860,右侧围里板总成,P,01A01,A-22,0.6,-0.6,0.17947712910393,0.371725574473054,0.0673660289781573,0.195097992338051
K400412860,右侧围里板总成,P,01A01,A-23,0.6,-0.6,0.0513766358461817,0.157551151216657,0.0215639819080366,0.0409432633450831
K400412860,右侧围里板总成,P,01A01,A-24,0.6,-0.6,0.29730106765167,0.158404438642971,0.183409088395885,0.195322239077032
K400412860,右侧围里板总成,P,01A01,A-25,0.6,-0.6,0.302972826352607,0.175222569238851,0.172493772656018,0.16978501954745
K400412860,右侧围里板总成,P,01A01,A-26,0.6,-0.6,0.0147254087867963,-0.143219217202156,-0.155680754638446,-0.137332104607756
K400412860,右侧围里板总成,P,01A01,A-27,0.6,-0.6,-0.0627418832010988,-0.103861567119291,-0.153024583681538,-0.0681289381225173
K400412860,右侧围里板总成,P,01A01,A-28,0.6,-0.6,-0.149981736479287,-0.044248792281232,-0.0701093698904509,-0.0888454385589711
K400412860,右侧围里板总成,P,01A01,A-29,0.6,-0.6,-0.00159782434164897,0.0410097318833609,0.0070749439114369,-0.0428106571125349
K400412860,右侧围里板总成,P,01A01,A-30,0.6,-0.6,-0.145144316339241,-0.164344363050352,-0.16585387901407,-0.186825002659597
K400412860,右侧围里板总成,P,01A01,A-31,0.6,-0.6,0.410653546333492,0.370638931520034,0.398360860500816,0.326015467456159
K400412860,右侧围里板总成,P,01A01,A-32,0.6,-0.6,0.0294095148113911,0.0495351683630361,0.0772790718499436,-0.115498107691906
K400412860,右侧围里板总成,P,01A01,A-33,0.6,-0.6,-0.123659828949738,-0.101436535824113,-0.0753577781592799,-0.185778711264989
K400412860,右侧围里板总成,P,01A01,A-34,0.6,-0.6,-0.0133534140022106,-0.0583857052021953,-0.0460541352799467,-0.0921153790370613
K400412860,右侧围里板总成,P,01A01,A-35,0.6,-0.6,-0.159692059655921,-0.103568849548937,-0.0921797675112179,-0.147993543742736
K400412860,右侧围里板总成,P,01A01,A-36,0.6,-0.6,0.0100591302383429,0.0507028444644391,0.0196224012272117,0.00380422358179389
K400412860,右侧围里板总成,P,01A01,A-37,0.6,-0.6,-0.0322800258758502,0.0693413657828395,0.0345103581367963,-0.0190474367215846
K400412860,右侧围里板总成,P,01A01,A-38,0.6,-0.6,0.138003017790339,0.289346854558064,0.205602568359663,0.178594854094329
K400412860,右侧围里板总成,P,01A01,A-39,0.6,-0.6,0.163986463107864,0.124683922480316,0.0543121760561724,0.111490392296691
K400412860,右侧围里板总成,P,01A01,A-40,0.6,-0.6,-0.283228052262444,0.0104142870646904,-0.131777852294272,-0.052803236584843
K400412860,右侧围里板总成,P,01A01,A-41,0.6,-0.6,-0.225838682964703,-0.275031472395911,0.0643838265875558,-0.0627009734683116
K400412860,右侧围里板总成,P,01A01,A-42,0.6,-0.6,-0.459279332633924,-0.28879898718899,-0.107988648217847,-0.210782809753256
K400412860,右侧围里板总成,P,02A01,A-1,0.6,-0.6,0.0733133355307548,0.0740117339862366,0.389257837594197,0.013607855025092
K400412860,右侧围里板总成,P,02A01,A-2,0.6,-0.6,-0.181418640419073,-0.148392202549176,-0.474588148348409,-0.144015563808484
K400412860,右侧围里板总成,P,03A01,A-3,0.6,-0.6,0.369241803895992,0.349474907882086,0.366904778933094,0.323859419806456
K400412860,右侧围里板总成,P,03A01,A-4,0.6,-0.6,0.235984698311964,0.194533581153087,0.229960382665569,0.216582462709906
K400412860,右侧围里板总成,P,04C01,E-5,0.6,-0.6,0.31168140086927,0.273999973294727,0.453437795234546,0.260538423016914
K400412860,右侧围里板总成,P,04C01,E-6,0.6,-0.6,0.124712919698493,0.107737092086758,0.419417063315527,0.126904529319204
K400412860,右侧围里板总成,P,04C01,E-7,0.6,-0.6,0.281276908143867,0.190633060624557,0.37539863246533,0.294866840530921
K400412860,右侧围里板总成,P,04C01,E-8,0.6,-0.6,0.125890578673901,0.372313227854623,0.431635902443376,0.0766321737363716
K400412860,右侧围里板总成,P,04C01,E-9,0.6,-0.6,0.287224447714506,0.387893056784926,0.475295742749047,0.28720308471848
K400412860,右侧围里板总成,P,04C01,E-10,0.6,-0.6,0.093469517475356,0.408189358221594,0.455223564514384,0.12941197977993
K400412860,右侧围里板总成,P,04C01,E-11,0.6,-0.6,0.0922348825663051,0.353405874570409,0.356919713279196,0.0405688228078026
K400412860,右侧围里板总成,P,04C01,E-12,0.6,-0.6,0.0984689143846409,0.45920388287761,0.316255441430779,0.258411029063251
K400412860,右侧围里板总成,P,04C01,E-13,0.6,-0.6,0.263276616384411,0.353825620025751,0.287697482944114,0.355559780565794
K400412860,右侧围里板总成,P,04C01,E-14,0.6,-0.6,0.417874772672322,0.132375061082396,0.22808556939236,0.379936500938152
K400412860,右侧围里板总成,P,04C01,E-15,0.6,-0.6,0.0341583858180256,-0.238351944529049,-0.176813135299449,0.100349145643334
K400412860,右侧围里板总成,P,04C01,E-16,0.6,-0.6,-0.0286055105462918,-0.245832196213553,-0.179735063648576,0.0734601447751453
K400412860,右侧围里板总成,P,04C01,E-17,0.6,-0.6,0.00739473801522169,-0.0980668395260353,-0.118728092191188,0.0908073051682809
K400412860,右侧围里板总成,P,04C01,E-18,0.6,-0.6,0.04828999108786,-0.0353554992414815,-0.11180172582549,0.080560686126839
K400412860,右侧围里板总成,P,04C01,E-19,0.6,-0.6,0.105907610093476,0.124590867238656,0.0420554692096285,0.204501602143382
K400412860,右侧围里板总成,P,04C01,E-20,0.6,-0.6,-0.0289015566365397,0.0549545142919356,-0.0867837120335236,0.128165178001086
K400412860,右侧围里板总成,P,04C01,E-21,0.6,-0.6,0.0380140789177309,0.0950870992174878,0.120497298103616,0.230074640836278
K400412860,右侧围里板总成,P,04C02,E-22,0.6,-0.6,-0.0390451081362352,-0.372052020568301,-0.0862897797242975,0.22091390893562
K400412860,右侧围里板总成,P,04C02,E-23,0.6,-0.6,-0.539209719596759,-0.393011563836978,-0.545395745843661,-0.430910239324167
K400412860,右侧围里板总成,P,04C02,E-24,0.6,-0.6,-0.196861144110697,-0.211243764995176,-0.110143466662469,-0.227451405607305
K400412860,右侧围里板总成,P,04C02,E-25,0.6,-0.6,-0.350224273924888,-0.298388086077878,-0.189283409571109,-0.364224547805257
K400412860,右侧围里板总成,P,04C02,E-26,0.6,-0.6,-0.439829056978988,-0.371461075781656,-0.291333309668187,-0.458392013536108
K400412860,右侧围里板总成,P,04C02,E-27,0.6,-0.6,-0.495691047861649,-0.382228536288572,-0.332263527657323,-0.417986053724534
K400412860,右侧围里板总成,P,04C02,E-28,0.6,-0.6,-0.395487294230411,-0.551790944112571,-0.532713201183165,-0.358225315385616
K400412860,右侧围里板总成,P,04C02,E-29,0.6,-0.6,-0.439725232648061,-0.105524914917759,-0.199345736986169,-0.32939654123755
K400412860,右侧围里板总成,P,04C02,E-30,0.6,-0.6,-0.424106420638723,-0.0776224491927821,-0.186239335433851,-0.27547311274485
K400412860,右侧围里板总成,P,04C02,E-31,0.6,-0.6,0.310219731272077,0.234097948662414,0.321308496471594,0.543119008116242
K400412860,右侧围里板总成,P,04C02,E-32,0.6,-0.6,0.222016412971678,0.234695210854634,0.356803900561942,0.450412250965989
K400412860,右侧围里板总成,P,04C02,E-33,0.6,-0.6,-0.170590731616965,0.0446778062905978,0.101538983680608,-0.0539601442607678
K400412860,右侧围里板总成,P,04C02,E-34,0.6,-0.6,-0.0457975799125784,0.0972697855024841,0.107178766007989,-0.0046455204467003
K400412860,右侧围里板总成,P,04C02,E-35,0.6,-0.6,0.188934543340679,0.112211194343718,0.135529513246958,0.0843676149703588
K400412860,右侧围里板总成,P,04C03,E-1,0.75,-0.75,0.42777361539373,0.376302906438212,0.362746073439805,0.334928875699229
K400412860,右侧围里板总成,P,04C03,E-2,0.75,-0.75,0.34590007258509,0.40520313781562,0.380725170533606,0.35748686200058
K400412860,右侧围里板总成,P,04C03,E-3,0.75,-0.75,0.350098472208865,0.300708135631272,0.35571093398628,0.393011171043809
K400412860,右侧围里板总成,P,04C03,E-4,0.75,-0.75,-0.257130417629302,-0.377598883873276,-0.562365859484618,-0.117184934236953
K400412860,右侧围里板总成,P,04C03,E-5,0.75,-0.75,-0.62172021631967,-0.37623520180982,-0.55893098620291,-0.31529056350163
K400412860,右侧围里板总成,P,04C03,E-6,0.75,-0.75,-0.58739567919616,-0.39704036831254,-0.51673967049844,-0.40707878029918
K400412860,右侧围里板总成,P,04C03,E-7,0.75,-0.75,-0.396483222094876,-0.375274332116282,-0.36655662844129,-0.577663675775794
K400412860,右侧围里板总成,P,04C03,E-8,0.75,-0.75,-0.683422817939403,-0.300302693021592,-0.391233139912079,-0.564091071519468
K400412860,右侧围里板总成,P,04C03,E-9,0.75,-0.75,-0.323239145116593,-0.43750041822738,-0.34494879897952,-0.379913124079018
K400412860,右侧围里板总成,P,04C03,E-10,0.75,-0.75,-0.55820792194628,-0.46874020686803,-0.63489872570337,-0.59302774101131
K400412860,右侧围里板总成,P,04C03,E-11,0.75,-0.75,-0.34609736684764,-0.69671903892417,-0.58111728615863,-0.56728248255313
K400412860,右侧围里板总成,P,04C03,E-12,0.75,-0.75,-0.385542575596423,-0.21439867700891,-0.52160106049207,-0.58884993953681
K400412860,右侧围里板总成,P,04C03,E-13,0.75,-0.75,-0.353457514616224,-0.357775189761518,0.387867835909876,-0.495034635629028
K400412860,右侧围里板总成,P,04C03,E-14,0.75,-0.75,0.452756075320705,0.385224780376081,0.47372005475306,0.389074106824703
K400412860,右侧围里板总成,P,04C03,E-15,0.75,-0.75,0.4533839163858,0.23014855203263,0.34444295305858,0.38869114871816
K400412860,右侧围里板总成,P,05A01,A-1,0.6,-0.6,0.33179660580967,0.583077454210138,0.4456805681332,0.47527433201951
K400412860,右侧围里板总成,P,05A01,A-2,0.6,-0.6,0.55763525043592,0.466995668559617,0.31343031347907,0.416999907469343
K400412860,右侧围里板总成,P,05A01,A-3,0.6,-0.6,0.47999385246353,0.173823631520562,0.440972881949584,0.33384703010373
K400412860,右侧围里板总成,P,05A01,A-4,0.6,-0.6,0.00522034260098,0.105402401540294,0.299124327003305,0.41810662475425
K400412860,右侧围里板总成,P,05A02,A-5,0.6,-0.6,0.22986015303698,0.144853472852765,0.389627595152315,0.05379873746419
K400412860,右侧围里板总成,P,05A02,A-6,0.6,-0.6,-0.100304403692998,-0.0749372200658277,-0.201773744265512,-0.11352289851912
K400412860,右侧围里板总成,P,05A03,A-7,0.6,-0.6,-0.38517815178648,-0.346194823803458,-0.252399875481044,-0.2074122622449
K400412860,右侧围里板总成,P,05A03,A-8,0.6,-0.6,-0.3763227670122,-0.344581482087419,-0.374606527147159,-0.37855194514541
K400412860,右侧围里板总成,P,06A01,A-9,0.6,-0.6,0.00681256541745543,-0.217482534331943,-0.294896295669095,-0.113445514327406
