零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400347260,右侧门槛加强梁,P,01A01,A-1a,0.6,-0.6,-0.152,-0.242,-0.143,-0.115
K400347260,右侧门槛加强梁,P,01A01,A-1b,0.6,-0.6,-0.165,-0.281,-0.145,-0.108
K400347260,右侧门槛加强梁,P,01A01,A-2a,0.6,-0.6,-0.277,-0.377,-0.298,-0.247
K400347260,右侧门槛加强梁,P,01A01,A-2b,0.6,-0.6,-0.29,-0.381,-0.297,-0.233
K400347260,右侧门槛加强梁,P,01A01,A-3a,0.6,-0.6,-0.076,-0.227,-0.107,-0.007
K400347260,右侧门槛加强梁,P,01A01,A-3b,0.6,-0.6,-0.067,-0.157,-0.05,0.002
K400347260,右侧门槛加强梁,P,01A01,A-4a,0.6,-0.6,0.186,0.129,0.237,0.319
K400347260,右侧门槛加强梁,P,01A01,A-4b,0.6,-0.6,0.135,0.074,0.181,0.248
K400347260,右侧门槛加强梁,P,01A01,A-5a,0.6,-0.6,-0.106,-0.194,-0.079,-0.003
K400347260,右侧门槛加强梁,P,01A01,A-5b,0.6,-0.6,-0.187,-0.264,-0.152,-0.1
K400347260,右侧门槛加强梁,P,01A01,A-6a,0.6,-0.6,-0.239,-0.326,-0.232,-0.164
K400347260,右侧门槛加强梁,P,01A01,A-6b,0.6,-0.6,-0.116,-0.267,-0.162,-0.104
K400347260,右侧门槛加强梁,P,01A01,A-7a,0.6,-0.6,0.314,0.331,0.197,0.308
K400347260,右侧门槛加强梁,P,01A01,A-7b,0.6,-0.6,0.161,0.224,0.053,0.161
K400347260,右侧门槛加强梁,P,01A01,A-8a,0.6,-0.6,0.337,0.396,0.205,0.349
K400347260,右侧门槛加强梁,P,01A01,A-8b,0.6,-0.6,0.221,0.303,0.049,0.209
K400347260,右侧门槛加强梁,P,01A01,A-9a,0.6,-0.6,0.415,0.489,0.204,0.396
K400347260,右侧门槛加强梁,P,01A01,A-9b,0.6,-0.6,0.379,0.497,0.173,0.344
K400347260,右侧门槛加强梁,P,01A01,A-10a,0.6,-0.6,0.051,0.173,-0.127,0.029
K400347260,右侧门槛加强梁,P,01A01,A-10b,0.6,-0.6,0.072,0.168,-0.031,0.115
K400347260,右侧门槛加强梁,P,01A01,A-11a,0.6,-0.6,0.068,0.197,-0.116,0.042
K400347260,右侧门槛加强梁,P,01A01,A-11b,0.6,-0.6,0.097,0.201,-0.033,0.077
K400347260,右侧门槛加强梁,P,01A01,A-12a,0.6,-0.6,0.155,0.309,-0.065,0.119
