零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300331760,右前翼子板,1.0,01A01,1,0.5,-0.5,-0.513,,,
K300331760,右前翼子板,1.0,01A01,2,0.5,-0.5,-0.045,,,
K300331760,右前翼子板,1.0,01A01,3,0.5,-0.5,-0.453,,,
K300331760,右前翼子板,1.0,01A01,4,0.5,-0.5,-0.104,,,
K300331760,右前翼子板,1.0,01A01,5,0.5,-0.5,-0.469,,,
K300331760,右前翼子板,1.0,01A01,6,0.5,-0.5,-0.349,0.256,-0.056,-0.184
K300331760,右前翼子板,1.0,01A01,7,0.5,-0.5,0.639,,,
K300331760,右前翼子板,1.0,01A01,8,0.5,-0.5,0.923,,,
K300331760,右前翼子板,1.0,01A01,9,0.5,-0.5,1.269,,,
K300331760,右前翼子板,1.0,01A01,17,0.5,-0.5,-0.684,,,
K300331760,右前翼子板,1.0,01A02,16X,0.5,-0.5,0.481,0.609,0.544,0.666
K300331760,右前翼子板,1.0,01A02,16Z,0.5,-0.5,0.624,0.272,0.446,0.519
K300331760,右前翼子板,1.0,01B01,10,0.75,-0.75,-0.17,,,
K300331760,右前翼子板,1.0,01B01,11,0.75,-0.75,0.022,,,
K300331760,右前翼子板,1.0,01B01,12,0.75,-0.75,0.113,-0.043,-0.012,-0.243
K300331760,右前翼子板,1.0,01B01,13,0.75,-0.75,0.147,,,
K300331760,右前翼子板,1.0,01B01,14,0.75,-0.75,0.006,,,
K300331760,右前翼子板,1.0,01B01,15,0.75,-0.75,-0.306,,,
K300331760,右前翼子板,2.0,01B02,1,0.75,0.0,0.318,,,
K300331760,右前翼子板,1.0,01B03,10a,0.6,-0.6,0.004,,,
K300331760,右前翼子板,1.0,01B03,10b,0.6,-0.6,0.023,,,
K300331760,右前翼子板,1.0,01B03,11a,0.6,-0.6,-0.178,,,
K300331760,右前翼子板,1.0,01B03,11b,0.6,-0.6,-0.154,,,
K300331760,右前翼子板,1.0,01B03,12a,0.6,-0.6,0.585,,,
K300331760,右前翼子板,1.0,01B03,12b,0.6,-0.6,0.004,,,
K300331760,右前翼子板,1.0,01B03,13a,0.6,-0.6,0.642,,,
K300331760,右前翼子板,1.0,01B03,13b,0.6,-0.6,0.757,,,
