零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300337260,右前翼子板后下固定支架总成,P,01A01,A-1,0.5,-0.5,-0.108,-0.079,-0.225,-0.202
K300337260,右前翼子板后下固定支架总成,P,01A01,A-2,0.5,-0.5,-0.201,-0.128,-0.308,-0.216
K300337260,右前翼子板后下固定支架总成,P,01A01,A-3,0.5,-0.5,0.119,0.094,0.138,0.11
K300337260,右前翼子板后下固定支架总成,P,01A01,A-4,0.5,-0.5,-0.223,-0.214,-0.229,-0.307
K300337260,右前翼子板后下固定支架总成,P,01A02,A-5,0.5,-0.5,-0.032,-0.056,0.095,0.069
K300337260,右前翼子板后下固定支架总成,P,01A02,A-6,0.5,-0.5,0.108,0.059,0.131,0.079
K300337260,右前翼子板后下固定支架总成,P,01A02,A-7,0.5,-0.5,0.079,0.098,0.135,0.083
K300337260,右前翼子板后下固定支架总成,P,01A02,A-8,0.5,-0.5,0.076,0.109,-0.082,-0.125
K300337260,右前翼子板后下固定支架总成,P,02A01,A-9,0.5,-0.5,0.063,0.097,0.031,-0.075
K300337260,右前翼子板后下固定支架总成,P,02A01,A-10,0.5,-0.5,-0.12,-0.13,0.036,0.108
K300337260,右前翼子板后下固定支架总成,P,03A01,A-11,0.5,-0.5,0.068,0.101,0.143,0.231
K300337260,右前翼子板后下固定支架总成,P,03A01,A-11,0.5,-0.5,0.075,0.127,0.104,0.163
