零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-1a,0.6,-0.6,0.430242556666652,0.476846323916237,0.212092221991127,0.258721848184216
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-1b,0.6,-0.6,0.374981999374679,0.240262558265499,0.434429788135575,0.430450455667415
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-2a,0.6,-0.6,0.349197281170472,0.348555945765237,0.403848970927255,0.382361704487035
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-2b,0.6,-0.6,0.352287717025877,0.352518262790755,0.404703914462776,0.424581956329171
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-3a,0.6,-0.6,0.162395201697783,0.103289005690739,0.224183279722395,0.186165988804255
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-3b,0.6,-0.6,0.129564529333212,0.110611412813042,0.181462896182625,0.181788336718252
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-4a,0.6,-0.6,0.277381018843564,0.213629551998282,0.355840119141288,0.31106539335699
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-4b,0.6,-0.6,0.273651841423162,0.220214288292485,0.313183937034587,0.318852722084829
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-5a,0.6,-0.6,0.134566377007411,0.0606669418138892,0.18156816629143,0.171371738322425
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-5b,0.6,-0.6,0.155741614562435,0.108487656776081,0.194511210422737,0.202694549099349
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-6a,0.6,-0.6,-0.00487315524302592,-0.0497481933985732,0.0261879953999215,0.0183430309292518
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-6b,0.6,-0.6,0.073126211478753,0.0585843716466431,0.0992549302907723,0.0993084370632517
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-7a,0.6,-0.6,-0.21052108362008,-0.162555506169973,-0.172976737641935,-0.162030749175175
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-7b,0.6,-0.6,-0.0313900163912223,-0.00560123015226721,0.0153264469222474,0.0045114165412883
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-8a,0.6,-0.6,-0.0199952230655849,0.186566485275548,0.111572381922913,0.0660269658823484
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-8b,0.6,-0.6,-0.0508181987603379,0.0759978963882421,0.0285834623293184,0.00111527742679386
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-9a,0.6,-0.6,0.274980318931411,0.371065707966234,0.352746080343065,0.245513567803994
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-9b,0.6,-0.6,0.378119969685945,0.34708992268535,0.32156863870878,0.338346084009092
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-10a,0.6,-0.6,-0.102403459864071,-0.188111818525313,-0.209685063264199,-0.202124369052443
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-10b,0.6,-0.6,-0.0225917942054506,-0.115468816267043,-0.125361302704026,-0.121530453674519
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-11a,0.6,-0.6,-0.115848526133643,-0.223218459214161,-0.346445808955513,-0.260508694191512
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-11b,0.6,-0.6,-0.166204598432731,-0.279479832282935,-0.393303416213697,-0.299532483221076
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-12a,0.6,-0.6,-0.309936974475566,-0.425790102917051,-0.353042778269738,-0.309480074311235
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-12b,0.6,-0.6,-0.268154798365107,-0.377155430158775,-0.392014261717248,-0.425891779893398
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-13a,0.6,-0.6,-0.414181583321745,-0.517119337256332,-0.273255413133765,-0.325294884263233
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-13b,0.6,-0.6,-0.371010618276066,-0.468081700266843,-0.333178545759957,-0.22037008334783
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-14a,0.6,-0.6,-0.318010834828028,-0.317569432306264,-0.373855942855114,-0.448851277260432
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-14b,0.6,-0.6,-0.507635096669345,-0.395908364345599,-0.335721621545421,-0.305567445804958
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-15a,0.6,-0.6,-0.340804173904177,-0.284847227298329,-0.357372136188827,-0.353709983744247
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-15b,0.6,-0.6,-0.274531317193239,-0.230889275095582,-0.300880034093076,-0.269160226768418
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-16a,0.6,-0.6,-0.293837526641065,-0.369898664298235,-0.489115888486644,-0.427579368520888
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-16b,0.6,-0.6,-0.39616729146579,-0.262608711740349,-0.668356936260867,-0.517334065154735
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-17a,0.6,-0.6,-0.355745038983413,-0.345971413249248,-0.545094232710485,-0.628196316141258
K300334960,右前翼子板里板加强板总成-带支架,P,01A01,A-17b,0.6,-0.6,-0.350870849711546,-0.485735561059252,-0.636067536600105,-0.66520515388857
K300334960,右前翼子板里板加强板总成-带支架,F,01A02,A1-A17,0.6,0,0.937877653335997,0.993965661172569,1.10278672439644,1.09565560955599
K300334960,右前翼子板里板加强板总成-带支架,P,01A03,A-18a,0.6,-0.6,0.0573294772185918,0.255914115742913,0.144955555432391,0.130932937738712
K300334960,右前翼子板里板加强板总成-带支架,P,01A03,A-18b,0.6,-0.6,0.0107762003984025,0.20990047982904,0.103378368607646,0.0890764424127272
K300334960,右前翼子板里板加强板总成-带支架,P,01A03,A-19a,0.6,-0.6,-0.0834495277138195,0.135510755153747,0.0237894329449433,-0.00760241199896607
K300334960,右前翼子板里板加强板总成-带支架,P,01A03,A-19b,0.6,-0.6,-0.176184696893861,0.0445613902921463,-0.0718777567293887,-0.0924436961094145
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-1a,0.6,-0.6,0.0424452953094398,0.02721896417691,0.04317724106565,0.0784267891798643
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-1b,0.6,-0.6,-0.0555240082939353,-0.098499769536447,-0.052078681393008,0.011860016265743
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-2a,0.6,-0.6,0.0631413810130572,0.159816492635893,-0.0719865493329499,-0.0361666282453093
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-2b,0.6,-0.6,0.150823457151086,0.235989938799795,0.100016971698447,0.0951838238345392
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-3a,0.6,-0.6,0.189712339506089,0.184297930710314,0.394874568025947,0.397932537510064
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-3b,0.6,-0.6,0.292112700105786,0.275883227886311,0.303404470668864,0.343856742941757
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-4a,0.6,-0.6,0.297523248041185,0.2921347178796,0.401089609899904,0.351462412348531
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-4b,0.6,-0.6,0.213626999346354,0.198573960324437,0.217878852025249,0.346936052419393
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-5a,0.6,-0.6,0.38078733083542,0.354344507839073,0.238227677807741,0.411649113283
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-5b,0.6,-0.6,0.311934465132616,0.487209492146014,0.208056305551474,0.41128192888647
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-6a,0.6,-0.6,0.37743120049157,0.37183786427456,0.381629053593052,0.253956870474847
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-6b,0.6,-0.6,0.424710428721281,0.241466233291716,0.378711698114313,0.37125070057093
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-7a,0.6,-0.6,0.282163875680062,0.42763313008557,0.398789678463532,0.33502973347791
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-7b,0.6,-0.6,0.370749157050865,0.20912310600486,0.414713088478978,0.324666761786009
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-8a,0.6,-0.6,0.33853914247431,0.43402089479359,0.39183898223153,0.33056183812793
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-8b,0.6,-0.6,0.33619140433211,0.4253489666776,0.43397253519228,0.36253161687144
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-9a,0.6,-0.6,0.357712339506089,0.354297930710314,0.424874568025947,0.374985291610264
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-9b,0.6,-0.6,0.201203609196695,0.292246864249947,0.193135615779549,0.21658401566903
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-10a,0.6,-0.6,0.318432338950275,0.361225626970509,0.384089609899904,0.22482604871216
K300334960,右前翼子板里板加强板总成-带支架,P,02A01,A-10b,0.6,-0.6,0.354536090255445,0.428573960324437,0.326969761116158,0.383299688783029
K300334960,右前翼子板里板加强板总成-带支架,F,02A02,A1-A10,0.6,0,0.480234437015216,0.585709261682461,0.50595908452523,0.447815741528309
K300334960,右前翼子板里板加强板总成-带支架,P,03A01,A-1,0.5,-0.5,-0.243696013693931,-0.254333170921657,-0.108949845853566,-0.244586733236401
K300334960,右前翼子板里板加强板总成-带支架,P,03A01,A-2,0.5,-0.5,-0.29251922032848,-0.314586729160462,-0.214070114074869,-0.311108574154516
K300334960,右前翼子板里板加强板总成-带支架,P,03A01,A-3,0.5,-0.5,-0.34901634326791,-0.252642191538673,-0.341901016451288,-0.342577960005999
K300334960,右前翼子板里板加强板总成-带支架,P,03A01,A-4,0.5,-0.5,-0.0222852466258895,-0.114896264016195,-0.0494001292581287,-0.0828519536011164
K300334960,右前翼子板里板加强板总成-带支架,P,03A01,A-5,0.5,-0.5,-0.176874640558263,-0.35853887600994,-0.108600169442071,-0.269314187853355
K300334960,右前翼子板里板加强板总成-带支架,P,03A01,A-6,0.5,-0.5,-0.103345898122361,-0.209415690367555,0.0156572782622823,-0.0520405371141987
