零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300330360,右前翼子板里板合件,P,01A01,A-1,1.3,0.1,1.025,1.273,1.006,1.071
K300330360,右前翼子板里板合件,P,01A01,A-2,1.3,0.1,0.124,0.218,0.209,0.201
K300330360,右前翼子板里板合件,P,01A01,A-3,1.3,0.1,1.591,1.341,1.344,1.339
K300330360,右前翼子板里板合件,P,01A01,A-4,1.3,0.1,1.375,1.346,1.487,1.363
K300330360,右前翼子板里板合件,P,01A01,A-5,1.3,0.1,1.306,1.384,1.394,1.423
K300330360,右前翼子板里板合件,P,01A01,A-6,1.3,0.1,1.005,1.043,1.285,1.182
K300330360,右前翼子板里板合件,P,01A01,A-7,1.3,0.1,1.058,1.067,1.096,1.019
K300330360,右前翼子板里板合件,P,01A01,A-8,1.3,0.1,0.73,0.725,0.699,0.707
K300330360,右前翼子板里板合件,P,01A01,A-9,1.3,0.1,0.729,0.718,0.791,0.798
K300330360,右前翼子板里板合件,P,01A01,A-10,1.3,0.1,0.9,0.922,0.972,0.995
K300330360,右前翼子板里板合件,P,01A01,A-11,1.3,0.1,1.059,0.927,1.064,0.994
K300330360,右前翼子板里板合件,P,01A01,A-12,1.3,0.1,0.946,0.772,0.924,0.886
K300330360,右前翼子板里板合件,P,01A01,A-13,1.3,0.1,0.763,0.68,0.775,0.721
K300330360,右前翼子板里板合件,P,01A01,A-14,1.3,0.1,0.711,0.712,0.731,0.703
K300330360,右前翼子板里板合件,P,01A01,A-15,1.3,0.1,1.057,1.204,1.141,1.056
K300330360,右前翼子板里板合件,P,01A01,A-16,1.3,0.1,0.657,0.656,0.64,0.638
K300330360,右前翼子板里板合件,P,01A01,A-17,1.3,0.1,0.736,0.736,0.739,0.729
K300330360,右前翼子板里板合件,P,01A01,A-18,1.3,0.1,0.937,0.903,0.917,0.914
K300330360,右前翼子板里板合件,P,01A01,A-19,1.3,0.1,0.885,0.841,0.871,0.88
K300330360,右前翼子板里板合件,P,01A01,A-20,1.3,0.1,0.12,0.153,0.163,0.141
