零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700211560,右前门外板,1.0,01B01,1.0,0.6,-0.6,-0.122,,,
K700211560,右前门外板,1.0,01B01,2.0,0.6,-0.6,-0.129,,,
K700211560,右前门外板,1.0,01B01,3.0,0.6,-0.6,-0.156,,,
K700211560,右前门外板,1.0,01B01,4.0,0.6,-0.6,-0.37,,,
K700211560,右前门外板,1.0,01B01,5.0,0.6,-0.6,-0.103,-0.11,-0.115,-0.116
K700211560,右前门外板,1.0,01B01,6.0,0.6,-0.6,-0.136,,,
K700211560,右前门外板,1.0,01B01,7.0,0.6,-0.6,-0.205,,,
K700211560,右前门外板,1.0,01B01,8.0,0.6,-0.6,-0.199,,,
K700211560,右前门外板,1.0,01B01,9.0,0.6,-0.6,-0.179,,,
K700211560,右前门外板,1.0,01B01,10.0,0.6,-0.6,-0.057,-0.006,0.02,0.017
K700211560,右前门外板,1.0,01B01,11.0,0.6,-0.6,-0.057,-0.057,-0.073,-0.075
K700211560,右前门外板,1.0,01B01,12.0,0.6,-0.6,-0.066,,,
K700211560,右前门外板,1.0,01B01,13.0,0.6,-0.6,0.019,,,
K700211560,右前门外板,1.0,01B01,14.0,0.6,-0.6,0.308,,,
K700211560,右前门外板,1.0,01B01,15.0,0.6,-0.6,0.218,0.196,0.189,0.179
K700211560,右前门外板,1.0,01B01,16.0,0.6,-0.6,0.166,,,
K700211560,右前门外板,1.0,01B01,17.0,0.6,-0.6,0.138,,,
K700211560,右前门外板,1.0,01B01,18.0,0.6,-0.6,0.278,,,
K700211560,右前门外板,1.0,01B01,19.0,0.6,-0.6,0.16,0.163,0.154,0.157
K700211560,右前门外板,1.0,01B01,20.0,0.6,-0.6,0.193,,,
K700211560,右前门外板,1.0,01B01,21.0,0.6,-0.6,0.442,,,
K700211560,右前门外板,1.0,01B01,22.0,0.6,-0.6,0.323,,,
K700211560,右前门外板,1.0,01B01,23.0,0.6,-0.6,0.17,,,
K700211560,右前门外板,2.0,01B02,1.0,0.6,0.0,0.24,,,
K700211560,右前门外板,2.0,01B02,2.0,0.6,0.0,0.145,,,
K700211560,右前门外板,1.0,01B03,1.0,0.5,-0.5,-0.045,,,
K700211560,右前门外板,1.0,01B03,2.0,0.5,-0.5,-0.043,,,
K700211560,右前门外板,1.0,01B03,3.0,0.5,-0.5,-0.037,,,
K700211560,右前门外板,1.0,01B03,4.0,0.5,-0.5,-0.004,,,
K700211560,右前门外板,1.0,01B03,5.0,0.5,-0.5,-0.215,-0.227,-0.153,-0.246
K700211560,右前门外板,1.0,01B03,6.0,0.5,-0.5,0.335,,,
K700211560,右前门外板,1.0,01B03,7.0,0.5,-0.5,0.453,,,
K700211560,右前门外板,1.0,01B03,8.0,0.5,-0.5,0.352,,,
K700211560,右前门外板,1.0,01B03,9.0,0.5,-0.5,0.682,,,
K700211560,右前门外板,1.0,01B03,10.0,0.5,-0.5,-0.103,0.047,0.096,0.103
K700211560,右前门外板,1.0,01B03,15.0,0.5,-0.5,-0.287,-0.316,-0.313,-0.287
K700211560,右前门外板,1.0,01B03,16.0,0.5,-0.5,-0.457,,,
K700211560,右前门外板,1.0,01B03,17.0,0.5,-0.5,-0.178,,,
K700211560,右前门外板,1.0,01B03,18.0,0.5,-0.5,-0.038,,,
K700211560,右前门外板,1.0,01B03,19.0,0.5,-0.5,-0.037,-0.009,-0.236,-0.193
K700211560,右前门外板,1.0,01B03,20.0,0.5,-0.5,0.129,,,
K700211560,右前门外板,1.0,01B03,21.0,0.5,-0.5,0.032,,,
K700211560,右前门外板,1.0,01B03,22.0,0.5,-0.5,-0.186,,,
K700211560,右前门外板,1.0,01B03,23.0,0.5,-0.5,-0.361,,,
K700211560,右前门外板,2.0,01B04,1.0,0.5,0.0,0.705,,,
K700211560,右前门外板,2.0,01B04,2.0,0.5,0.0,0.276,,,
K700211560,右前门外板,2.0,01B05,0.0,0.7,-0.7,0.285,,,
K700211560,右前门外板,2.0,01B06,0.0,0.7,-0.7,0.162,,,
K700211560,右前门外板,1.0,03A01,1,0.75,-0.75,-0.378,,,
K700211560,右前门外板,1.0,03A01,2,0.75,-0.75,-0.722,,,
K700211560,右前门外板,1.0,03A01,3,0.75,-0.75,-0.772,,,
K700211560,右前门外板,1.0,03A01,4,0.75,-0.75,-0.732,,,
K700211560,右前门外板,1.0,03A01,5,0.75,-0.75,-0.571,,,
K700211560,右前门外板,1.0,03A01,6,0.75,-0.75,-0.315,,,
K700211560,右前门外板,1.0,03A01,7,0.75,-0.75,0.068,,,
K700211560,右前门外板,1.0,03A01,8,0.75,-0.75,0.341,0.187,0.188,0.181
K700211560,右前门外板,1.0,03A01,9,0.75,-0.75,0.348,,,
K700211560,右前门外板,1.0,03A01,10,0.75,-0.75,0.349,,,
K700211560,右前门外板,1.0,03A01,11,0.75,-0.75,0.363,,,
K700211560,右前门外板,1.0,03A01,12,0.75,-0.75,0.236,,,
K700211560,右前门外板,1.0,03A01,13,0.75,-0.75,0.089,,,
K700211560,右前门外板,1.0,03A01,14,0.75,-0.75,-0.034,,,
K700211560,右前门外板,1.0,03A01,15,0.75,-0.75,-0.026,,,
K700211560,右前门外板,1.0,03A01,16,0.75,-0.75,-0.062,,,
K700211560,右前门外板,1.0,03A02,1,0.75,-0.75,-0.181,,,
K700211560,右前门外板,1.0,03A02,2,0.75,-0.75,-0.348,,,
K700211560,右前门外板,1.0,03A02,3,0.75,-0.75,-0.415,,,
K700211560,右前门外板,1.0,03A02,4,0.75,-0.75,-0.456,,,
K700211560,右前门外板,1.0,03A02,5,0.75,-0.75,-0.288,,,
K700211560,右前门外板,1.0,03A02,6,0.75,-0.75,-0.077,,,
K700211560,右前门外板,1.0,03A02,7,0.75,-0.75,0.258,,,
K700211560,右前门外板,1.0,03A02,8,0.75,-0.75,0.444,0.589,0.706,0.688
K700211560,右前门外板,1.0,03A02,9,0.75,-0.75,0.444,,,
K700211560,右前门外板,1.0,03A02,10,0.75,-0.75,0.404,,,
K700211560,右前门外板,1.0,03A02,11,0.75,-0.75,0.315,,,
K700211560,右前门外板,1.0,03A02,12,0.75,-0.75,0.141,,,
