零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700212360,右前门外板加强梁,P,01A01,1,0.75,-0.75,0.2,0.2,0.1,0.2
K700212360,右前门外板加强梁,P,01A01,2,0.75,-0.75,0.3,0.2,0.3,0.3
K700212360,右前门外板加强梁,P,01A01,3,0.75,-0.75,0,0,0,0
K700212360,右前门外板加强梁,P,01A01,4,0.75,-0.75,0,0,0,0
K700212360,右前门外板加强梁,P,01A01,5,0.75,-0.75,0,0,0,0
K700212360,右前门外板加强梁,P,01A01,6,0.75,-0.75,0,0,-0.1,0
K700212360,右前门外板加强梁,P,01A01,7,0.75,-0.75,-0.1,0,-0.1,0
K700212360,右前门外板加强梁,P,01A01,8,0.75,-0.75,0.2,0.1,0.1,0.2
K700212360,右前门外板加强梁,P,01A01,9,0.75,-0.75,0.1,0,0.1,0.1
K700212360,右前门外板加强梁,P,01A01,10,0.75,-0.75,0.1,0.2,0.1,0.1
K700212360,右前门外板加强梁,P,01A01,11,0.75,-0.75,0.3,0.3,0.2,0.3
K700212360,右前门外板加强梁,P,01A01,12,0.75,-0.75,0.2,0.1,0.1,0.1
K700212360,右前门外板加强梁,F,01A02,1,0.75,,0.4,0.3,0.4,0.3
K700212360,右前门外板加强梁,P,02A01,1,0.5,-0.5,0.1,0.1,0.1,0
K700212360,右前门外板加强梁,P,02A01,2,0.5,-0.5,0,0,0,0
K700212360,右前门外板加强梁,F,02A02,,0.5,,0.1,0.1,0.1,0
