零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700212060,右前门外板窗台加强梁总成,P,03B01,Z,0.5,-0.5,0.1,0.2,0.2,0.1
K700212060,右前门外板窗台加强梁总成,P,03B02,X,0.5,-0.5,0.1,0.2,0.1,0.2
K700212060,右前门外板窗台加强梁总成,P,03B02,Z,0.5,-0.5,0.1,0.2,0.2,0.1
K700212060,右前门外板窗台加强梁总成,P,03A03,1,0.5,-0.5,0.2,0.2,0.2,0.1
K700212060,右前门外板窗台加强梁总成,P,03A03,1,0.5,-0.5,0.1,0.2,0.1,0
K700212060,右前门外板窗台加强梁总成,P,03A03,2,0.5,-0.5,0.2,0.2,0.2,0.1
K700212060,右前门外板窗台加强梁总成,P,03A03,2,0.5,-0.5,0.2,0.2,0.3,0.2
K700212060,右前门外板窗台加强梁总成,P,03A03,3,0.5,-0.5,0.1,0.3,0.2,0.1
K700212060,右前门外板窗台加强梁总成,P,03A03,3,0.5,-0.5,0.2,0.1,0.2,0.1
K700212060,右前门外板窗台加强梁总成,P,01A01,1,0.75,-0.75,0,0,0,0.1
K700212060,右前门外板窗台加强梁总成,P,01A01,2,0.75,-0.75,-0.1,-0.2,-0.1,-0.1
K700212060,右前门外板窗台加强梁总成,P,01A01,3,0.75,-0.75,-0.1,-0.2,-0.1,-0.1
K700212060,右前门外板窗台加强梁总成,P,01A01,4,0.75,-0.75,-0.2,-0.1,-0.2,-0.2
K700212060,右前门外板窗台加强梁总成,P,01A01,5,0.75,-0.75,0.3,0.3,0.4,0.3
K700212060,右前门外板窗台加强梁总成,P,01A01,6,0.75,-0.75,0.3,0.4,0.4,0.3
K700212060,右前门外板窗台加强梁总成,P,01A01,7,0.75,-0.75,0.5,0,0.4,0.5
K700212060,右前门外板窗台加强梁总成,P,01A01,8,0.75,-0.75,0.4,0.5,0.5,0.5
K700212060,右前门外板窗台加强梁总成,P,01A01,9,0.75,-0.75,0.6,0.5,0.5,0.6
K700212060,右前门外板窗台加强梁总成,P,01A01,10,0.75,-0.75,0.6,0.6,0.7,0.6
K700212060,右前门外板窗台加强梁总成,P,01A02,,0.75,,0.8,0.8,0.8999999999999999,0.8
K700212060,右前门外板窗台加强梁总成,P,01A04,1,0.75,-0.75,-0.1,-0.1,-0.1,-0.1
K700212060,右前门外板窗台加强梁总成,P,01A04,2,0.75,-0.75,0.2,0.1,0.2,0.2
K700212060,右前门外板窗台加强梁总成,P,01A04,3,0.75,-0.75,-0.2,-0.1,-0.1,-0.2
K700212060,右前门外板窗台加强梁总成,P,01A04,4,0.75,-0.75,0,0,0,0
K700212060,右前门外板窗台加强梁总成,P,01A04,5,0.75,-0.75,0,0.1,0.1,0.1
K700212060,右前门外板窗台加强梁总成,P,01A04,6,0.75,-0.75,-0.1,-0.2,-0.1,-0.1
K700212060,右前门外板窗台加强梁总成,P,01A04,7,0.75,-0.75,0.7,0.7,0.7,0.7
K700212060,右前门外板窗台加强梁总成,P,01A04,8,0.75,-0.75,0.7,0.6,0.7,0.7
K700212060,右前门外板窗台加强梁总成,P,01A04,9,0.75,-0.75,0.6,0.6,0.5,0.6
K700212060,右前门外板窗台加强梁总成,P,01A05,,0.75,,0.8999999999999999,0.8999999999999999,0.7999999999999999,0.8999999999999999
K700212060,右前门外板窗台加强梁总成,P,02A01,1,0.5,-0.5,0,0,-0.1,0
K700212060,右前门外板窗台加强梁总成,P,02A01,2,0.5,-0.5,0,0.1,-0.1,0
K700212060,右前门外板窗台加强梁总成,P,02A01,3,0.5,-0.5,-0.2,-0.1,-0.2,-0.2
K700212060,右前门外板窗台加强梁总成,P,02A01,4,0.5,-0.5,0,0.1,0,0.1
K700212060,右前门外板窗台加强梁总成,P,02A01,5,0.5,-0.5,0,0,0,0
K700212060,右前门外板窗台加强梁总成,P,02A02,,0.5,,0.2,0.2,0.2,0.30000000000000004
K700212060,右前门外板窗台加强梁总成,P,02A03,1,0.5,-0.5,-0.1,0,-0.1,-0.2
K700212060,右前门外板窗台加强梁总成,P,02A03,2,0.5,-0.5,-0.1,-0.1,-0.2,-0.1
K700212060,右前门外板窗台加强梁总成,F,02A04,,0.5,,0,0.1,0.1,0.1
K700212060,右前门外板窗台加强梁总成,P,03A01,1,0.5,-0.5,0.1,0.1,0.1,0
K700212060,右前门外板窗台加强梁总成,P,03A01,2,0.5,-0.5,-0.1,0,-0.1,0
K700212060,右前门外板窗台加强梁总成,P,03A01,3,0.5,-0.5,0.1,0,0,0.1
