零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700211760,右前门里板,1.0,01A01,1.0,0.75,-0.75,-0.781,,,
K700211760,右前门里板,1.0,01A01,2.0,0.75,-0.75,-0.761,,,
K700211760,右前门里板,1.0,01A01,3.0,0.75,-0.75,-0.948,,,
K700211760,右前门里板,1.0,01A01,4.0,0.75,-0.75,-0.345,-0.078,0.074,-0.215
K700211760,右前门里板,1.0,01A01,5.0,0.75,-0.75,-0.037,,,
K700211760,右前门里板,1.0,01A01,6.0,0.75,-0.75,0.371,,,
K700211760,右前门里板,1.0,01A01,7.0,0.75,-0.75,0.286,,,
K700211760,右前门里板,1.0,01A01,8.0,0.75,-0.75,0.268,,,
K700211760,右前门里板,1.0,01A01,9.0,0.75,-0.75,-0.101,-0.09,0.172,0.112
K700211760,右前门里板,1.0,01A01,10.0,0.75,-0.75,0.174,,,
K700211760,右前门里板,1.0,01A01,11.0,0.75,-0.75,-0.188,,,
K700211760,右前门里板,1.0,01A01,12.0,0.75,-0.75,-0.314,,,
K700211760,右前门里板,1.0,01A01,13.0,0.75,-0.75,-0.237,-0.248,-0.268,-0.236
K700211760,右前门里板,1.0,01A01,14.0,0.75,-0.75,-0.349,,,
K700211760,右前门里板,1.0,01A01,15.0,0.75,-0.75,0.06,,,
K700211760,右前门里板,1.0,01A01,16.0,0.75,-0.75,0.253,,,
K700211760,右前门里板,1.0,01A01,17.0,0.75,-0.75,-0.283,,,
K700211760,右前门里板,1.0,01A01,18.0,0.75,-0.75,0.041,0.235,0.419,0.079
K700211760,右前门里板,1.0,01A01,19.0,0.75,-0.75,0.502,,,
K700211760,右前门里板,1.0,01A01,20.0,0.75,-0.75,0.75,,,
K700211760,右前门里板,1.0,01A01,21.0,0.75,-0.75,0.901,,,
K700211760,右前门里板,1.0,01A01,22.0,0.75,-0.75,1.559,,,
K700211760,右前门里板,1.0,01A01,23.0,0.75,-0.75,1.281,1.68,2.249,1.181
K700211760,右前门里板,1.0,01A01,24.0,0.75,-0.75,1.27,,,
K700211760,右前门里板,1.0,01A01,25.0,0.75,-0.75,0.225,,,
K700211760,右前门里板,1.0,01B01,1.0,0.75,-0.75,0.03,,,
K700211760,右前门里板,1.0,01B01,2.0,0.75,-0.75,0.209,,,
K700211760,右前门里板,1.0,01B01,3.0,0.75,-0.75,-0.018,,,
K700211760,右前门里板,1.0,01B01,4.0,0.75,-0.75,0.37,0.554,0.702,0.497
K700211760,右前门里板,1.0,01B01,5.0,0.75,-0.75,0.513,,,
K700211760,右前门里板,1.0,01B01,6.0,0.75,-0.75,0.239,,,
K700211760,右前门里板,1.0,01B01,7.0,0.75,-0.75,0.194,,,
K700211760,右前门里板,1.0,01B01,8.0,0.75,-0.75,0.269,,,
K700211760,右前门里板,1.0,01B01,9.0,0.75,-0.75,0.084,0.143,0.384,0.271
K700211760,右前门里板,1.0,01B01,10.0,0.75,-0.75,0.275,,,
K700211760,右前门里板,1.0,01B01,11.0,0.75,-0.75,0.335,,,
K700211760,右前门里板,1.0,01B01,12.0,0.75,-0.75,-0.148,,,
K700211760,右前门里板,1.0,01B01,13.0,0.75,-0.75,-1.283,-1.266,-1.298,-1.167
K700211760,右前门里板,1.0,01B01,14.0,0.75,-0.75,-1.233,,,
K700211760,右前门里板,1.0,01B01,15.0,0.75,-0.75,-0.288,,,
K700211760,右前门里板,1.0,01B01,16.0,0.75,-0.75,-0.04,,,
K700211760,右前门里板,1.0,01B01,17.0,0.75,-0.75,0.414,,,
K700211760,右前门里板,1.0,01B01,18.0,0.75,-0.75,0.304,0.424,0.581,0.293
