零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700211860,右前门锁加强板,P,02A01,1,0.75,-0.75,0.2,0.1,0.2,0.1
K700211860,右前门锁加强板,P,02A01,1,0.75,-0.75,-0.1,0.1,0.1,0.2
K700211860,右前门锁加强板,P,02A01,2,0.75,-0.75,0.3,0.2,0.2,0.3
K700211860,右前门锁加强板,P,02A01,2,0.75,-0.75,0.3,0.3,0.2,0.1
K700211860,右前门锁加强板,P,02A01,3,0.75,-0.75,0.2,0.4,0.3,0.2
K700211860,右前门锁加强板,P,02A01,3,0.75,-0.75,0.2,0.3,0.2,0.2
K700211860,右前门锁加强板,P,02A02,,0.75,-0.75,-0.4,-0.2,-0.3,-0.2
K700211860,右前门锁加强板,P,03A01,1,0.75,-0.75,-0.3,-0.3,-0.4,-0.2
K700211860,右前门锁加强板,P,03A01,1,0.75,-0.75,0.1,0.2,0.2,0.1
K700211860,右前门锁加强板,P,03A01,2,0.75,-0.75,0.3,0.4,0.3,0.2
K700211860,右前门锁加强板,P,03A01,2,0.75,-0.75,0.3,0.3,0.3,0.2
K700211860,右前门锁加强板,P,01A01,1,0.5,-0.5,-0.1,-0.1,-0.2,-0.1
K700211860,右前门锁加强板,P,01A01,2,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700211860,右前门锁加强板,P,01A01,3,0.5,-0.5,-0.3,-0.2,-0.3,-0.3
K700211860,右前门锁加强板,F,01A02,1~3,0.5,,0.19999999999999998,0.1,0.19999999999999998,0.19999999999999998
K700211860,右前门锁加强板,P,01A03,1,0.5,-0.5,0.3,0.2,0.2,0.3
K700211860,右前门锁加强板,P,01A03,2,0.5,-0.5,-0.1,-0.1,-0.1,-0.2
K700211860,右前门锁加强板,P,01A03,3,0.5,-0.5,0.1,0.1,0.1,0.1
K700211860,右前门锁加强板,P,01A03,4,0.5,-0.5,0.3,0.2,0.2,0.3
K700211860,右前门锁加强板,P,01A03,5,0.5,-0.5,0.1,0.1,0,0.1
K700211860,右前门锁加强板,P,01A03,6,0.5,-0.5,0,0,-0.1,0
K700211860,右前门锁加强板,P,01A03,7,0.5,-0.5,0.1,0,0,0.1
K700211860,右前门锁加强板,P,01A03,8,0.5,-0.5,-0.1,-0.1,-0.2,-0.2
K700211860,右前门锁加强板,P,01A03,9,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700211860,右前门锁加强板,F,01A04,1~9,0.5,,0.4,0.30000000000000004,0.4,0.5
K700211860,右前门锁加强板,P,01A05,1,0.75,-0.75,0.1,0.1,0,0.1
K700211860,右前门锁加强板,P,01A05,2,0.75,-0.75,0.1,0.1,0.1,0.1
K700211860,右前门锁加强板,P,01A05,3,0.75,-0.75,0,0.1,0.1,0.1
K700211860,右前门锁加强板,P,01A05,4,0.75,-0.75,-0.1,-0.2,-0.1,-0.1
K700211860,右前门锁加强板,P,01A05,5,0.75,-0.75,0.2,0.2,0.1,0.3
K700211860,右前门锁加强板,P,01A05,6,0.75,-0.75,0.2,0.1,0.2,0.2
K700211860,右前门锁加强板,P,01A05,7,0.75,-0.75,0.2,0.1,0.2,0.1
K700211860,右前门锁加强板,P,01A05,8,0.75,-0.75,0,0,-0.1,-0.1
K700211860,右前门锁加强板,P,01A05,9,0.75,-0.75,0.1,0.2,0.1,0.1
