零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700212460,P,01A01,1,0.75,-0.75,0.069,0.053,0.071,-0.049
K700212460,P,01A01,2,0.75,-0.75,0.003,-0.013,0.024,-0.035
K700212460,P,01A01,3,0.75,-0.75,0.091,0.069,0.121,0.034
K700212460,P,01A01,4,0.75,-0.75,0.345,0.336,0.344,0.187
K700212460,P,01A01,5,0.75,-0.75,0.258,0.24,0.261,0.139
K700212460,P,01A01,6,0.75,-0.75,0.218,0.178,0.224,0.177
K700212460,P,01A01,7,0.75,-0.75,0.25,0.243,0.249,0.159
K700212460,P,01A01,8,0.75,-0.75,0.196,0.172,0.192,0.123
K700212460,P,01A01,9,0.75,-0.75,0.276,0.229,0.26,0.291
K700212460,P,01A01,10,0.75,-0.75,-0.02,-0.03,-0.013,-0.087
K700212460,P,01A01,11,0.75,-0.75,0.004,-0.027,-0.006,-0.12
K700212460,P,01A01,12,0.75,-0.75,0.237,0.179,0.205,0.161
K700212460,F,01A02,13,0.75,,0.365,0.366,0.357,0.38
K700212460,P,01A03,14,0.75,-0.75,0.337,0.313,0.329,0.165
K700212460,P,01A03,15,0.75,-0.75,0.073,0.1,0.074,0.104
K700212460,P,01A03,16,0.75,-0.75,0.077,0.043,0.052,0.143
K700212460,P,01A03,17,0.75,-0.75,0.305,0.12,0.191,0.583
K700212460,F,01A04,18,0.75,,0.264,0.27,0.277,0.48
K700212460,P,02A01,19,0.75,-0.75,-0.75,-0.744,-0.84,-0.79
K700212460,P,02A01,20,0.75,-0.75,-0.457,-0.274,-0.617,-0.386
K700212460,P,02A01,21,0.75,-0.75,-0.51,-0.141,-0.666,-0.416
K700212460,P,02A01,22,0.75,-0.75,-0.522,-0.082,-0.715,-0.487
K700212460,P,02A01,23,0.75,-0.75,-0.503,-0.098,-0.69,-0.523
K700212460,P,02A01,24,0.75,-0.75,-0.461,-0.152,-0.651,-0.478
K700212460,P,02A01,25,0.75,-0.75,-0.438,-0.293,-0.501,-0.409
