零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700217960,右后门外板,1.0,01B01,1a,0.5,-0.5,0.176,,,
K700217960,右后门外板,1.0,01B01,1b,0.5,-0.5,0.184,,,
K700217960,右后门外板,1.0,01B01,2a,0.5,-0.5,-0.104,,,
K700217960,右后门外板,1.0,01B01,2b,0.5,-0.5,-0.088,,,
K700217960,右后门外板,1.0,01B01,3a,0.5,-0.5,0.026,,,
K700217960,右后门外板,1.0,01B01,3b,0.5,-0.5,0.026,,,
K700217960,右后门外板,1.0,01B01,4a,0.5,-0.5,0.038,0.151,0.221,0.121
K700217960,右后门外板,1.0,01B01,4b,0.5,-0.5,0.024,,,
K700217960,右后门外板,1.0,01B01,5a,0.5,-0.5,-0.091,,,
K700217960,右后门外板,1.0,01B01,5b,0.5,-0.5,-0.107,,,
K700217960,右后门外板,1.0,01B01,6a,0.5,-0.5,0.007,,,
K700217960,右后门外板,1.0,01B01,6b,0.5,-0.5,0.006,,,
K700217960,右后门外板,1.0,01B01,7a,0.5,-0.5,0.079,,,
K700217960,右后门外板,1.0,01B01,7b,0.5,-0.5,0.07,,,
K700217960,右后门外板,1.0,01B02,1,0.5,0.0,0.153,,,
K700217960,右后门外板,1.0,01B03,1c,0.6,-0.6,0.051,,,
K700217960,右后门外板,1.0,01B03,1d,0.6,-0.6,0.016,,,
K700217960,右后门外板,1.0,01B03,2c,0.6,-0.6,-0.029,,,
K700217960,右后门外板,1.0,01B03,2d,0.6,-0.6,-0.122,,,
K700217960,右后门外板,1.0,01B03,3c,0.6,-0.6,0.048,,,
K700217960,右后门外板,1.0,01B03,3d,0.6,-0.6,-0.029,,,
K700217960,右后门外板,1.0,01B03,4c,0.6,-0.6,-0.041,-0.052,-0.073,-0.058
K700217960,右后门外板,1.0,01B03,4d,0.6,-0.6,-0.141,,,
K700217960,右后门外板,1.0,01B03,5c,0.6,-0.6,0.006,,,
K700217960,右后门外板,1.0,01B03,5d,0.6,-0.6,-0.053,,,
K700217960,右后门外板,1.0,01B03,6c,0.6,-0.6,-0.004,,,
K700217960,右后门外板,1.0,01B03,6d,0.6,-0.6,-0.026,,,
K700217960,右后门外板,1.0,01B03,7c,0.6,-0.6,0.2,,,
K700217960,右后门外板,1.0,01B03,7d,0.6,-0.6,0.174,,,
K700217960,右后门外板,2.0,01B04,1,0.6,0.0,0.209,,,
K700217960,右后门外板,1.0,01B05,1e,0.5,-0.5,0.252,,,
K700217960,右后门外板,1.0,01B05,1f,0.5,-0.5,0.278,,,
K700217960,右后门外板,1.0,01B05,2e,0.5,-0.5,-0.194,,,
K700217960,右后门外板,1.0,01B05,2f,0.5,-0.5,-0.184,,,
K700217960,右后门外板,1.0,01B05,3e,0.5,-0.5,0.063,,,
K700217960,右后门外板,1.0,01B05,3f,0.5,-0.5,-0.177,,,
K700217960,右后门外板,1.0,01B05,4e,0.5,-0.5,-0.306,-0.218,-0.14,-0.238
K700217960,右后门外板,1.0,01B05,4f,0.5,-0.5,-0.422,,,
K700217960,右后门外板,1.0,01B05,5e,0.5,-0.5,-0.398,,,
K700217960,右后门外板,1.0,01B05,5f,0.5,-0.5,-0.586,,,
K700217960,右后门外板,1.0,01B05,6e,0.5,-0.5,-0.12,,,
K700217960,右后门外板,1.0,01B05,6f,0.5,-0.5,-0.018,,,
K700217960,右后门外板,1.0,01B05,7e,0.5,-0.5,-0.074,,,
K700217960,右后门外板,1.0,01B05,7f,0.5,-0.5,-0.223,,,
K700217960,右后门外板,1.0,01B06,1g,0.6,-0.6,-0.151,,,
K700217960,右后门外板,1.0,01B06,1h,0.6,-0.6,-0.18,,,
K700217960,右后门外板,1.0,01B06,2g,0.6,-0.6,-0.228,,,
K700217960,右后门外板,1.0,01B06,2h,0.6,-0.6,-0.298,,,
K700217960,右后门外板,1.0,01B06,3g,0.6,-0.6,-0.297,,,
K700217960,右后门外板,1.0,01B06,3h,0.6,-0.6,-0.448,,,
K700217960,右后门外板,1.0,01B06,4g,0.6,-0.6,-0.349,-0.413,-0.422,-0.39
K700217960,右后门外板,1.0,01B06,4h,0.6,-0.6,-0.404,,,
K700217960,右后门外板,1.0,01B06,5g,0.6,-0.6,-0.291,,,
K700217960,右后门外板,1.0,01B06,5h,0.6,-0.6,-0.37,,,
K700217960,右后门外板,1.0,01B06,6g,0.6,-0.6,-0.062,,,
K700217960,右后门外板,1.0,01B06,6h,0.6,-0.6,0.011,,,
K700217960,右后门外板,1.0,01B06,7g,0.6,-0.6,0.016,,,
