零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700218460,右后门外板窗台加强梁,P,01A01,1,0.75,-0.75,0.3,0.2,0.3,0.3
K700218460,右后门外板窗台加强梁,P,01A01,2,0.75,-0.75,0.2,0.2,0.2,0.3
K700218460,右后门外板窗台加强梁,P,01A01,3,0.75,-0.75,0.2,0.1,0.1,0.2
K700218460,右后门外板窗台加强梁,P,01A01,4,0.75,-0.75,-0.3,-0.2,-0.2,-0.2
K700218460,右后门外板窗台加强梁,P,01A01,5,0.75,-0.75,-0.3,-0.4,-0.3,-0.3
K700218460,右后门外板窗台加强梁,P,01A01,6,0.75,-0.75,-0.3,-0.2,-0.3,-0.2
K700218460,右后门外板窗台加强梁,F,01A02,1~6,0.75,,0.6,0.6000000000000001,0.6,0.6
K700218460,右后门外板窗台加强梁,P,01A04,1,0.75,-0.75,-0.2,-0.2,-0.1,-0.2
K700218460,右后门外板窗台加强梁,P,01A04,2,0.75,-0.75,-0.2,-0.2,-0.2,-0.3
K700218460,右后门外板窗台加强梁,P,01A04,3,0.75,-0.75,0.2,0.2,0.3,0.2
K700218460,右后门外板窗台加强梁,P,01A04,4,0.75,-0.75,0.1,0.2,0.1,0.1
K700218460,右后门外板窗台加强梁,P,01A04,5,0.75,-0.75,0.4,0.4,0.4,0.3
K700218460,右后门外板窗台加强梁,P,01A04,6,0.75,-0.75,0.4,0.4,0.5,0.4
K700218460,右后门外板窗台加强梁,F,01A05,1~6,0.75,,0.6000000000000001,0.6000000000000001,0.7,0.7
K700218460,右后门外板窗台加强梁,P,01A03,1,0.75,-0.75,-0.3,-0.4,-0.4,-0.3
K700218460,右后门外板窗台加强梁,P,01A03,2,0.75,-0.75,-0.3,-0.3,-0.2,-0.4
K700218460,右后门外板窗台加强梁,P,01A03,3,0.75,-0.75,-0.3,-0.4,-0.4,-0.4
K700218460,右后门外板窗台加强梁,P,01A03,4,0.75,-0.75,-0.2,-0.4,-0.2,-0.3
K700218460,右后门外板窗台加强梁,P,01A03,5,0.75,-0.75,-0.2,-0.2,-0.2,-0.2
K700218460,右后门外板窗台加强梁,P,01A03,6,0.75,-0.75,-0.1,-0.2,-0.2,-0.1
K700218460,右后门外板窗台加强梁,P,01A03,7,0.75,-0.75,-0.1,-0.2,-0.2,-0.1
K700218460,右后门外板窗台加强梁,P,01A03,8,0.75,-0.75,-0.1,-0.2,-0.1,-0.1
K700218460,右后门外板窗台加强梁,P,02A01,1,0.5,-0.5,0.1,0.2,0.1,0.1
K700218460,右后门外板窗台加强梁,P,02A01,2,0.5,-0.5,0.1,0.2,0.2,0.1
K700218460,右后门外板窗台加强梁,P,02A01,3,0.5,-0.5,0.1,0.1,0.1,0
K700218460,右后门外板窗台加强梁,P,02A01,4,0.5,-0.5,0.2,0.1,0.1,0.1
K700218460,右后门外板窗台加强梁,P,02A01,5,0.5,-0.5,0.2,0.2,0.1,0.2
K700218460,右后门外板窗台加强梁,P,02A01,6,0.5,-0.5,0.2,0.1,0.2,0.1
K700218460,右后门外板窗台加强梁,P,02A02,1,0.5,-0.5,0.4,0.4,0.3,0.4
K700218460,右后门外板窗台加强梁,P,02A02,2,0.5,-0.5,0.4,0.3,0.3,0.4
K700218460,右后门外板窗台加强梁,P,02A02,3,0.5,-0.5,0,0.1,0.1,0
K700218460,右后门外板窗台加强梁,P,02A02,4,0.5,-0.5,-0.3,-0.2,-0.3,-0.2
K700218460,右后门外板窗台加强梁,P,02A02,5,0.5,-0.5,-0.3,-0.2,-0.3,-0.2
K700218460,右后门外板窗台加强梁,P,02A02,6,0.5,-0.5,-0.3,-0.3,-0.2,-0.3
