零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700218860,右后门导轨总成,p,01A01,P1,0.75,-0.75,0.38,0.28,0.2,0.31
K700218860,右后门导轨总成,p,01A01,P2,0.75,-0.75,-0.07,-0.14,-0.08,-0.07
K700218860,右后门导轨总成,p,01A01,P3,0.75,-0.75,0.35,0.24,0.33,0.3
K700218860,右后门导轨总成,p,01A01,P4,0.75,-0.75,-0.19,-0.16,-0.13,-0.05
K700218860,右后门导轨总成,p,01A01,P69,0.75,-0.75,-0.02,-0.28,-0.06,-0.01
K700218860,右后门导轨总成,p,01A01,P5,3.75,2.25,3.3,3,3.2,2.9
K700218860,右后门导轨总成,p,01A01,P6,3.75,2.25,2.9,3.1,3.2,2.7
K700218860,右后门导轨总成,p,01A01,P7,3.75,2.25,3,3,2.9,3.2
K700218860,右后门导轨总成,p,01A01,P8,3.75,2.25,3.1,2.8,3.1,2.9
K700218860,右后门导轨总成,p,01A01,P9,0.75,-0.75,0.37,0.25,0.31,0.33
K700218860,右后门导轨总成,p,01A01,P70,0.75,-0.75,-0.11,-0.04,-0.1,-0.11
K700218860,右后门导轨总成,p,01A01,P10,0.75,-0.75,0.21,0.29,0.2,0.38
K700218860,右后门导轨总成,p,01A01,P71,0.75,-0.75,-0.09,-0.17,-0.02,-0.15
K700218860,右后门导轨总成,p,01A01,P11,0.75,-0.75,0.33,0.36,0.19,0.33
K700218860,右后门导轨总成,p,01A01,P72,0.75,-0.75,-0.15,-0.07,-0.06,-0.1
K700218860,右后门导轨总成,p,01A02,P9-P11,0.75,0,0.12000000000000002,0.07,-0.010000000000000009,-0.04999999999999999
K700218860,右后门导轨总成,p,01A01,P12,0.75,-0.75,0.32,0.31,0.2,0.27
K700218860,右后门导轨总成,p,01A01,P13,0.75,-0.75,-0.2,0.28,-0.36,0.38
K700218860,右后门导轨总成,p,01A01,P14,0.75,-0.75,0.28,-0.24,0.29,0.27
K700218860,右后门导轨总成,p,01A01,P15,0.75,-0.75,0.38,-0.26,-0.27,0.36
K700218860,右后门导轨总成,p,01A01,P16,0.75,-0.75,0.32,-0.3,-0.31,0.31
K700218860,右后门导轨总成,p,01A01,P17,3.75,2.25,3.2,3,3,2.9
K700218860,右后门导轨总成,p,01A01,P18,3.75,2.25,2.9,2.7,2.9,2.9
K700218860,右后门导轨总成,P,01A01,P19,0.75,-0.75,0.29,0.31,0.37,0.36
K700218860,右后门导轨总成,P,01A01,P20,0.75,-0.75,-0.36,-0.35,-0.23,0.29
K700218860,右后门导轨总成,P,01A01,P73,0.75,-0.75,0.36,0.21,0.25,0.26
K700218860,右后门导轨总成,P,01A01,P21,0.75,-0.75,-0.32,-0.31,-0.34,0.28
K700218860,右后门导轨总成,P,01A03,P22,3.75,2.25,3.1,2.9,3.3,3
K700218860,右后门导轨总成,P,01A03,P23,3.75,2.25,2.6,2.9,3,2.9
K700218860,右后门导轨总成,P,01A03,P24,3.75,2.25,2.8,2.8,3,2.6
K700218860,右后门导轨总成,F,01A04,P23-P24,1,-1,-0.5999999999999996,-0.3000000000000007,0,-0.5
K700218860,右后门导轨总成,P,03B01,P25,0.75,-0.75,-0.04,0.27,-0.14,0.28
K700218860,右后门导轨总成,P,03B02,P26,0.75,-0.75,OK,OK,OK,OK
K700218860,右后门导轨总成,P,03B03,P27,0.75,-0.75,-0.18,0.26,-0.02,0.25
K700218860,右后门导轨总成,P,03B04,P28,0.75,-0.75,OK,OK,OK,OK
K700218860,右后门导轨总成,P,02B01,P29,0.5,-0.5,OK,OK,OK,OK
K700218860,右后门导轨总成,P,02B01,P30,0.5,-0.5,OK,OK,OK,OK
K700218860,右后门导轨总成,P,02B02,P31,3.5,2.5,2.7,3,2.7,2.7
K700218860,右后门导轨总成,P,02B02,P32,3.5,2.5,2.7,2.9,2.9,2.7
K700218860,右后门导轨总成,F,02B03,极差,0.5,0,-0.16,0.19,-0.02,0.3
K700218860,右后门导轨总成,P,05D01,P33,0.75,-0.75,OK,OK,OK,OK
K700218860,右后门导轨总成,P,04A01,P34,3.75,2.25,3,2.9,3.1,3.1
K700218860,右后门导轨总成,P,04A01,P35,3.75,2.25,3.2,3.2,3,3.2
