零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700218160,右后门里板,1.0,01A01,1,1.0,-0.5,0.564,,,
K700218160,右后门里板,1.0,01A01,2,1.5,0.0,0.963,,,
K700218160,右后门里板,1.0,01A01,3,1.5,0.0,1.246,1.085,1.099,1.072
K700218160,右后门里板,1.0,01A01,4,1.5,0.0,0.921,,,
K700218160,右后门里板,1.0,01A01,5,0.75,-0.75,0.308,,,
K700218160,右后门里板,1.0,01A01,6,0.75,-0.75,-0.095,,,
K700218160,右后门里板,1.0,01A01,7,0.75,-0.75,-0.168,,,
K700218160,右后门里板,1.0,01A01,8,0.75,-0.75,-0.165,,,
K700218160,右后门里板,1.0,01A01,9,0.75,-0.75,-0.117,-0.123,-0.119,-0.115
K700218160,右后门里板,1.0,01A01,10,0.75,-0.75,-0.172,,,
K700218160,右后门里板,1.0,01A01,11,0.75,-0.75,-0.248,,,
K700218160,右后门里板,1.0,01A01,12,0.75,-0.75,-0.074,,,
K700218160,右后门里板,1.0,01A01,13,1.0,-0.5,0.644,,,
K700218160,右后门里板,1.0,01A01,14,0.75,-0.75,0.334,0.203,0.264,0.251
K700218160,右后门里板,1.0,01A01,15,0.75,-0.75,0.395,,,
K700218160,右后门里板,1.0,01A01,16,1.5,0.0,1.095,,,
K700218160,右后门里板,1.0,01A01,17,1.5,0.0,0.81,,,
K700218160,右后门里板,1.0,01A01,18,1.5,0.0,0.74,,,
K700218160,右后门里板,1.0,01B01,1a,0.75,-0.75,0.143,,,
K700218160,右后门里板,1.0,01B01,1b,0.75,-0.75,0.335,,,
K700218160,右后门里板,1.0,01B01,2a,0.75,-0.75,0.487,,,
K700218160,右后门里板,1.0,01B01,2b,0.75,-0.75,0.399,,,
K700218160,右后门里板,1.0,01B01,3a,0.75,-0.75,1.094,0.874,0.929,0.862
K700218160,右后门里板,1.0,01B01,3b,0.75,-0.75,2.056,,,
K700218160,右后门里板,1.0,01B01,4a,0.75,-0.75,0.465,,,
K700218160,右后门里板,1.0,01B01,4b,0.75,-0.75,0.469,,,
K700218160,右后门里板,1.0,01B01,5a,0.75,-0.75,0.312,,,
K700218160,右后门里板,1.0,01B01,5b,0.75,-0.75,0.381,,,
K700218160,右后门里板,1.0,01B01,6a,0.75,-0.75,0.531,,,
K700218160,右后门里板,1.0,01B01,6b,0.75,-0.75,0.504,,,
K700218160,右后门里板,1.0,01B01,7a,0.75,-0.75,0.64,,,
K700218160,右后门里板,1.0,01B01,7b,0.75,-0.75,0.616,,,
K700218160,右后门里板,1.0,01B01,8a,0.75,-0.75,0.025,,,
K700218160,右后门里板,1.0,01B01,8b,0.75,-0.75,0.061,,,
K700218160,右后门里板,1.0,01B01,9a,0.75,-0.75,0.218,0.181,0.191,0.268
K700218160,右后门里板,1.0,01B01,9b,0.75,-0.75,0.201,,,
K700218160,右后门里板,1.0,01B01,10a,0.75,-0.75,0.32,,,
K700218160,右后门里板,1.0,01B01,10b,0.75,-0.75,0.343,,,
K700218160,右后门里板,1.0,01B01,11a,0.75,-0.75,0.654,,,
K700218160,右后门里板,1.0,01B01,11b,0.75,-0.75,0.539,,,
K700218160,右后门里板,1.0,01B01,12a,0.75,-0.75,0.756,,,
K700218160,右后门里板,1.0,01B01,12b,0.75,-0.75,0.868,,,
K700218160,右后门里板,1.0,01B01,13a,0.75,-0.75,0.913,,,
K700218160,右后门里板,1.0,01B01,13b,0.75,-0.75,0.775,,,
K700218160,右后门里板,1.0,01B01,14a,0.75,-0.75,1.009,1.061,1.157,1.173
K700218160,右后门里板,1.0,01B01,14b,0.75,-0.75,1.107,,,
K700218160,右后门里板,1.0,01B01,15a,0.75,-0.75,0.986,,,
K700218160,右后门里板,1.0,01B01,15b,0.75,-0.75,0.851,,,
K700218160,右后门里板,1.0,01B01,16a,0.75,-0.75,0.738,,,
K700218160,右后门里板,1.0,01B01,16b,0.75,-0.75,0.764,,,
K700218160,右后门里板,1.0,01B01,17a,0.75,-0.75,0.685,,,
K700218160,右后门里板,1.0,01B01,17b,0.75,-0.75,0.674,,,
K700218160,右后门里板,1.0,01B01,18a,0.75,-0.75,1.158,,,
K700218160,右后门里板,1.0,01B01,18b,0.75,-0.75,1.078,,,
K700218160,右后门里板,2.0,01B02,1,0.75,0.0,0.51,,,
K700218160,右后门里板,2.0,01B02,2,0.75,0.0,0.72,,,
K700218160,右后门里板,2.0,01B02,3,0.75,0.0,0.211,,,
K700218160,右后门里板,1.0,02A01,1,0.75,-0.75,-0.027,,,
K700218160,右后门里板,1.0,02A01,2,0.75,-0.75,-0.135,,,
K700218160,右后门里板,1.0,02A01,3,0.75,-0.75,-0.153,-0.123,-0.136,-0.136
K700218160,右后门里板,1.0,02A01,4,0.75,-0.75,0.15,,,
K700218160,右后门里板,1.0,02A01,5,0.75,-0.75,-0.032,,,
K700218160,右后门里板,1.0,02A01,6,0.75,-0.75,-0.107,,,
K700218160,右后门里板,1.0,02A02,1a,0.75,-0.75,-0.395,,,
K700218160,右后门里板,1.0,02A02,1b,0.75,-0.75,-0.416,,,
K700218160,右后门里板,1.0,02A02,2a,0.75,-0.75,-0.343,,,
K700218160,右后门里板,1.0,02A02,2b,0.75,-0.75,-0.373,,,
K700218160,右后门里板,1.0,02A02,3a,0.75,-0.75,-0.364,-0.337,-0.329,-0.335
K700218160,右后门里板,1.0,02A02,3b,0.75,-0.75,-0.32,,,
K700218160,右后门里板,1.0,02A02,4a,0.75,-0.75,-0.351,,,
K700218160,右后门里板,1.0,02A02,4b,0.75,-0.75,-0.362,,,
K700218160,右后门里板,1.0,02A02,5a,0.75,-0.75,-0.408,,,
K700218160,右后门里板,1.0,02A02,5b,0.75,-0.75,-0.482,,,
K700218160,右后门里板,1.0,02A02,6a,0.75,-0.75,-0.416,,,
K700218160,右后门里板,1.0,02A02,6b,0.75,-0.75,-0.43,,,
K700218160,右后门里板,2.0,02A03,1,0.75,0.0,0.217,,,
K700218160,右后门里板,1.0,02A04,1.0,0.5,-0.5,0.308,,,
K700218160,右后门里板,1.0,02A04,2.0,0.5,-0.5,0.257,,,
K700218160,右后门里板,1.0,02A04,3.0,0.5,-0.5,0.232,,,
K700218160,右后门里板,1.0,02A04,4.0,0.5,-0.5,0.338,,,
K700218160,右后门里板,1.0,02A04,5.0,0.5,-0.5,0.444,0.457,0.385,0.304
K700218160,右后门里板,1.0,02A04,6.0,0.5,-0.5,-0.399,,,
K700218160,右后门里板,1.0,02A04,7.0,0.5,-0.5,-0.411,,,
K700218160,右后门里板,1.0,02A04,8.0,0.5,-0.5,-0.337,,,
K700218160,右后门里板,1.0,02A04,9.0,0.5,-0.5,-0.355,,,
K700218160,右后门里板,1.0,02A04,10.0,0.5,-0.5,-0.375,,,
K700218160,右后门里板,1.0,02A04,11.0,0.5,-0.5,-0.398,,,
K700218160,右后门里板,1.0,02A04,12.0,0.5,-0.5,-0.239,,,
K700218160,右后门里板,1.0,02A04,13.0,0.5,-0.5,-0.223,,,
K700218160,右后门里板,1.0,02A04,14.0,0.5,-0.5,-0.275,,,
K700218160,右后门里板,1.0,02A04,15.0,0.5,-0.5,-0.262,,,
K700218160,右后门里板,1.0,02A04,16.0,0.5,-0.5,-0.255,,,
K700218160,右后门里板,1.0,02A04,17.0,0.5,-0.5,-0.36,-0.3,-0.31,-0.324
K700218160,右后门里板,1.0,02A04,18.0,0.5,-0.5,-0.211,,,
K700218160,右后门里板,1.0,02A04,19.0,0.5,-0.5,-0.101,,,
K700218160,右后门里板,1.0,02A04,20.0,0.5,-0.5,0.022,,,
K700218160,右后门里板,1.0,02A04,21.0,0.5,-0.5,-0.168,,,
K700218160,右后门里板,1.0,02A04,22.0,0.5,-0.5,-0.148,,,
K700218160,右后门里板,1.0,02A04,23.0,0.5,-0.5,0.341,,,
K700218160,右后门里板,1.0,02A04,24.0,0.5,-0.5,0.337,,,
K700218160,右后门里板,1.0,02A05,25.0,0.5,-0.5,-0.299,,,
K700218160,右后门里板,1.0,02A05,26.0,0.5,-0.5,-0.244,,,
K700218160,右后门里板,1.0,02A05,27.0,0.5,-0.5,-0.03,,,
K700218160,右后门里板,1.0,02A05,28.0,0.5,-0.5,-0.152,-0.206,-0.17,-0.158
