零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700222060,右后门锁加强板,P,02A01,1,0.75,-0.75,0.3,0.3,0.2,0.2
K700222060,右后门锁加强板,P,02A01,1,0.75,-0.75,0.1,0.1,0.2,0.1
K700222060,右后门锁加强板,P,02A01,2,0.75,-0.75,-0.2,-0.2,-0.2,-0.2
K700222060,右后门锁加强板,P,02A01,2,0.75,-0.75,0.2,0.3,0.4,0.2
K700222060,右后门锁加强板,P,02A02, ,0.75,-0.75,0.1,0.2,0.2,0.1
K700222060,右后门锁加强板,P,03A01,1,0.75,-0.75,0.1,0.2,0.2,0.1
K700222060,右后门锁加强板,P,03A01,1,0.75,-0.75,0.2,0.1,0.1,0.1
K700222060,右后门锁加强板,P,03A01,2,0.75,-0.75,0.1,0.2,0.2,0.2
K700222060,右后门锁加强板,P,03A01,2,0.75,-0.75,0.2,0.2,0.1,0.2
K700222060,右后门锁加强板,P,01A01,1,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700222060,右后门锁加强板,P,01A01,2,0.5,-0.5,0.3,0.2,0.3,0.2
K700222060,右后门锁加强板,P,01A01,3,0.5,-0.5,0.2,0.2,0.3,0.3
K700222060,右后门锁加强板,P,01A01,4,0.5,-0.5,0.3,0.2,0.2,0.3
K700222060,右后门锁加强板,P,01A01,5,0.5,-0.5,0.2,0.3,0.2,0.3
K700222060,右后门锁加强板,F,01A02,1~5,0.5,,0.4,0.4,0.4,0.4
K700222060,右后门锁加强板,P,01A01,6,0.5,-0.5,-0.4,-0.3,-0.3,-0.4
K700222060,右后门锁加强板,P,01A01,7,0.5,-0.5,-0.3,-0.3,-0.3,-0.3
K700222060,右后门锁加强板,P,01A01,8,0.5,-0.5,-0.3,-0.2,-0.3,-0.3
K700222060,右后门锁加强板,P,01A01,9,0.5,-0.5,-0.2,-0.2,-0.3,-0.2
K700222060,右后门锁加强板,F,01A02,6~9,0.5,,0.2,0.09999999999999998,0,0.2
K700222060,右后门锁加强板,P,01A03,1,0.5,-0.5,0,0.1,0,0.1
K700222060,右后门锁加强板,P,01A03,2,0.5,-0.5,0,-0.1,0,0
K700222060,右后门锁加强板,P,01A03,3,0.5,-0.5,0.2,0.3,0.2,0.2
K700222060,右后门锁加强板,P,01A03,4,0.5,-0.5,0,-0.1,0,-0.1
K700222060,右后门锁加强板,P,01A03,5,0.5,-0.5,0,0,0,-0.1
K700222060,右后门锁加强板,F,01A04,1~5,0.5,,0.2,0.4,0.2,0.30000000000000004
K700222060,右后门锁加强板,P,01A02,1,0.75,-0.75,-0.3,-0.2,-0.3,-0.3
K700222060,右后门锁加强板,P,01A02,2,0.75,-0.75,0.1,0.1,0.1,0.1
K700222060,右后门锁加强板,P,01A02,3,0.75,-0.75,0.2,0.1,0.2,0.2
K700222060,右后门锁加强板,P,01A02,4,0.75,-0.75,0.3,0.2,0.2,0.2
K700222060,右后门锁加强板,P,01A02,5,0.75,-0.75,0.4,0.3,0.4,0.3
K700222060,右后门锁加强板,P,01A02,6,0.75,-0.75,-0.2,-0.1,-0.2,-0.2
K700222060,右后门锁加强板,P,01A02,7,0.75,-0.75,-0.1,-0.2,-0.1,-0.1
