零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700218560,P,01A01,1,0.75,-0.75,-0.014,0.094,-0.005,-0.035
K700218560,P,01A01,2,0.75,-0.75,-0.04,0.097,-0.012,-0.0135
K700218560,P,01A01,3,0.75,-0.75,0.13,0.266,0.149,0.165
K700218560,P,01A01,4,0.75,-0.75,0.137,0.176,0.097,0.098
K700218560,P,01A01,5,0.75,-0.75,0.104,0.163,0.085,0.038
K700218560,P,01A01,6,0.75,-0.75,0.219,0.273,0.196,0.168
K700218560,P,01A01,7,0.75,-0.75,0.174,0.164,0.129,0.013
K700218560,P,01A01,8,0.75,-0.75,0.162,0.154,0.121,0.056
K700218560,P,01A01,9,0.75,-0.75,0.3,0.269,0.245,0.186
K700218560,P,01A01,10,0.75,-0.75,-0.022,-0.022,-0.007,-0.046
K700218560,P,01A01,11,0.75,-0.75,0.019,0,0.016,0.012
K700218560,P,01A01,12,0.75,-0.75,0.315,0.231,0.264,0.195
K700218560,F,01A02,13,0.75,,0.355,0.295,0.276,0.241
K700218560,P,01A03,14,0.75,-0.75,0.034,0.2,0.031,0.05
K700218560,P,01A03,15,0.75,-0.75,0.299,0.292,0.204,0.13
K700218560,P,01A03,16,0.75,-0.75,0.675,0.747,0.65,0.34
K700218560,F,01A04,17,0.75,,0.641,0.547,0.619,0.29
K700218560,P,02A01,18,0.75,-0.75,-0.125,-0.129,-0.226,0.34
K700218560,P,02A01,19,0.75,-0.75,-0.597,-0.623,-0.368,0.25
K700218560,P,02A01,20,0.75,-0.75,-0.579,-0.618,-0.626,0.35
K700218560,P,02A01,21,0.75,-0.75,-0.394,-0.359,-0.488,-0.12
