零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-1a,0.6,-0.6,0.005,0.004,0,0.01
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-1b,0.6,-0.6,0.048,0.051,0.081,0.04
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-2a,0.6,-0.6,-0.003,-0.002,0.037,-0.014
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-2b,0.6,-0.6,0.003,0.006,0.037,0
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-3a,0.6,-0.6,-0.032,-0.028,0.004,-0.037
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-3b,0.6,-0.6,-0.033,-0.033,-0.007,-0.036
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-4a,0.6,-0.6,-0.055,-0.045,-0.032,-0.047
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-4b,0.6,-0.6,-0.049,-0.051,-0.033,-0.049
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-5a,0.6,-0.6,-0.002,-0.001,0,-0.004
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-5b,0.6,-0.6,-0.036,-0.055,-0.043,-0.043
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-6a,0.6,-0.6,-0.04,-0.033,0,-0.03
K400345060,右车门锁扣固定板焊接合件,P,01A01,A-6b,0.6,-0.6,0.009,0.007,-0.043,0.011
K400345060,右车门锁扣固定板焊接合件,P,01C01,E-1,0.6,-0.6,0.636,0.472,0.592,0.419
K400345060,右车门锁扣固定板焊接合件,P,01C01,E-2,0.6,-0.6,0.649,0.38,0.466,0.262
K400345060,右车门锁扣固定板焊接合件,P,01C01,E-3,0.6,-0.6,0.454,0.278,0.436,0.225
K400345060,右车门锁扣固定板焊接合件,P,01C01,E-4,0.6,-0.6,0.497,0.282,0.437,0.218
K400345060,右车门锁扣固定板焊接合件,P,01C02,E-5,0.6,-0.6,0.339,0.184,0.617,0.097
K400345060,右车门锁扣固定板焊接合件,P,01C03,E-6,0.6,-0.6,-0.466,-0.408,-0.398,-0.616
K400345060,右车门锁扣固定板焊接合件,P,02A01,A-7a,0.75,-0.75,0.071,0.075,0.111,0.054
K400345060,右车门锁扣固定板焊接合件,P,02A01,A-7b,0.75,-0.75,0.13,0.154,0.168,0.135
K400345060,右车门锁扣固定板焊接合件,P,02A01,A-8a,0.75,-0.75,-0.214,-0.222,-0.245,-0.274
K400345060,右车门锁扣固定板焊接合件,P,02A01,A-8b,0.75,-0.75,-0.088,-0.095,-0.124,-0.102
K400345060,右车门锁扣固定板焊接合件,P,02A01,A-9a,0.75,-0.75,-0.205,-0.237,-0.23,-0.281
K400345060,右车门锁扣固定板焊接合件,P,02A01,A-9b,0.75,-0.75,-0.112,-0.134,-0.137,-0.163
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-10a,0.6,-0.6,0.085,0.202,0.187,0.236
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-10b,0.6,-0.6,0.071,0.178,0.138,0.214
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-11a,0.6,-0.6,0.133,0.229,0.219,0.249
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-11b,0.6,-0.6,0.149,0.248,0.232,0.262
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-12a,0.6,-0.6,0.147,0.251,0.232,0.236
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-12b,0.6,-0.6,0.133,0.232,0.212,0.209
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-13a,0.6,-0.6,0.115,0.185,0.181,0.168
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-13b,0.6,-0.6,0.125,0.199,0.192,0.182
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-14a,0.6,-0.6,0.098,0.137,0.141,0.127
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-14b,0.6,-0.6,0.099,0.15,0.167,0.136
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-15a,0.6,-0.6,0.078,0.161,0.14,0.157
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-15b,0.6,-0.6,0.078,0.162,0.141,0.159
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-16a,0.6,-0.6,-0.01,0.09,0.066,0.124
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-16b,0.6,-0.6,0.012,0.115,0.097,0.158
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-17a,0.6,-0.6,0.066,0.141,0.104,0.174
K400345060,右车门锁扣固定板焊接合件,P,03A01,A-17b,0.6,-0.6,0.054,0.16,0.12,0.184
K400345060,右车门锁扣固定板焊接合件,P,03A02,A-10-A-17,0.6,0,0.159,0.161,0.166,0.138
K400345060,右车门锁扣固定板焊接合件,P,04A01,H-1,0.5,-0.5,0.222,0.249,0.236,0.249
K400345060,右车门锁扣固定板焊接合件,P,04A01,H-1,0.5,-0.5,0.066,0.069,0.124,0.073
K400345060,右车门锁扣固定板焊接合件,P,04A01,H-2,0.5,-0.5,0.168,0.19,0.161,0.197
K400345060,右车门锁扣固定板焊接合件,P,04A01,H-2,0.5,-0.5,0.388,0.39,0.44,0.395
K400345060,右车门锁扣固定板焊接合件,P,05A01,A-13a,0.5,-0.5,0.14,0.233,0.2,0.239
K400345060,右车门锁扣固定板焊接合件,P,05A01,A-13b,0.5,-0.5,0.171,0.312,0.258,0.303
