零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K200260860,右边纵梁总成,P,01A01,A-1a,1.1,-0.1,0.225,0.513,0.402,0.686
K200260860,右边纵梁总成,P,01A01,A-1b,1.1,-0.1,0.195,0.57,0.468,0.682
K200260860,右边纵梁总成,P,01A01,A-2a,1.1,-0.1,0.001,0.099,0.028,0.163
K200260860,右边纵梁总成,P,01A01,A-2b,1.1,-0.1,0.219,0.154,0.23,0.15
K200260860,右边纵梁总成,P,01A01,A-3a,1.1,-0.1,0.294,0.248,0.305,0.203
K200260860,右边纵梁总成,P,01A01,A-3b,1.1,-0.1,0.701,0.677,0.684,0.647
K200260860,右边纵梁总成,P,01A01,A-4a,1.1,-0.1,0.098,0.074,0.09,0.181
K200260860,右边纵梁总成,P,01A01,A-4b,1.1,-0.1,0.147,0.047,0.117,0.238
K200260860,右边纵梁总成,P,01A01,A-5a,1.1,-0.1,0.441,0.405,0.514,0.502
K200260860,右边纵梁总成,P,01A01,A-5b,1.1,-0.1,0.28,0.205,0.335,0.323
K200260860,右边纵梁总成,P,01A01,A-6a,1.1,-0.1,0.48,0.442,0.518,0.541
K200260860,右边纵梁总成,P,01A01,A-6b,1.1,-0.1,0.428,0.308,0.462,0.465
K200260860,右边纵梁总成,P,01A01,A-7a,1.1,-0.1,0.544,0.6,0.588,0.597
K200260860,右边纵梁总成,P,01A01,A-7b,1.1,-0.1,0.573,0.456,0.602,0.601
K200260860,右边纵梁总成,P,01A01,A-8a,1.1,-0.1,0.395,0.381,0.403,0.417
K200260860,右边纵梁总成,P,01A01,A-8b,1.1,-0.1,0.399,0.206,0.398,0.407
K200260860,右边纵梁总成,P,01A01,A-9a,1.1,-0.1,0.754,0.304,0.725,0.783
K200260860,右边纵梁总成,P,01A01,A-9b,1.1,-0.1,0.694,0.217,0.672,0.7
K200260860,右边纵梁总成,P,01A01,A-10a,1.1,-0.1,0.482,0.408,0.39,0.401
K200260860,右边纵梁总成,P,01A01,A-10b,1.1,-0.1,0.342,0.105,0.263,0.25
K200260860,右边纵梁总成,P,01A01,A-11a,1.1,-0.1,0.488,0.078,0.435,0.444
K200260860,右边纵梁总成,P,01A01,A-11b,1.1,-0.1,0.384,0.13,0.327,0.306
K200260860,右边纵梁总成,P,01A01,A-12a,1.1,-0.1,0.281,0.118,0.24,0.26
K200260860,右边纵梁总成,P,01A01,A-12b,1.1,-0.1,0.189,0.005,0.156,0.132
K200260860,右边纵梁总成,P,01A01,A-13a,1.1,-0.1,0.223,0.156,0.146,0.159
K200260860,右边纵梁总成,P,01A01,A-13b,1.1,-0.1,0.154,0.166,0.112,0.161
K200260860,右边纵梁总成,P,01A01,A-14a,1.1,-0.1,0.583,0.568,0.665,0.776
K200260860,右边纵梁总成,P,01A01,A-14b,1.1,-0.1,0.878,0.819,0.98,1.08
K200260860,右边纵梁总成,P,01A01,A-15a,1.1,-0.1,0.519,0.562,0.543,0.584
K200260860,右边纵梁总成,P,01A01,A-15b,1.1,-0.1,0.731,0.747,0.74,0.816
K200260860,右边纵梁总成,P,01A01,A-16a,1.1,-0.1,0.607,0.687,0.553,0.639
K200260860,右边纵梁总成,P,01A01,A-16b,1.1,-0.1,0.74,0.804,0.683,0.765
K200260860,右边纵梁总成,P,01A01,A-17a,1.1,-0.1,0.513,0.52,0.301,0.391
K200260860,右边纵梁总成,P,01A01,A-17b,1.1,-0.1,0.837,0.876,0.622,0.711
K200260860,右边纵梁总成,P,01A01,A-18a,1.1,-0.1,0.213,0.258,-0.033,0.026
K200260860,右边纵梁总成,P,01A01,A-18b,1.1,-0.1,0.612,0.174,0.388,0.477
K200260860,右边纵梁总成,P,01A01,A-19a,1.1,-0.1,0.872,0.263,0.651,0.71
K200260860,右边纵梁总成,P,01A01,A-19b,1.1,-0.1,1.216,1.459,1.024,1.143
K200260860,右边纵梁总成,P,01A01,A-20a,1.1,-0.1,1.046,1.256,0.801,0.887
K200260860,右边纵梁总成,P,01A01,A-20b,1.1,-0.1,1.272,1.468,1.068,1.193
K200260860,右边纵梁总成,P,01A01,A-21a,1.1,-0.1,1.069,0.912,0.814,0.914
K200260860,右边纵梁总成,P,01A01,A-21b,1.1,-0.1,1.007,0.946,0.745,0.819
K200260860,右边纵梁总成,P,01A01,A-22a,1.1,-0.1,0.873,0.672,0.61,0.624
K200260860,右边纵梁总成,P,01A01,A-22b,1.1,-0.1,1.043,1.085,0.954,1.08
K200260860,右边纵梁总成,P,01A01,A-23a,1.1,-0.1,0.774,1.044,0.598,0.589
K200260860,右边纵梁总成,P,01A01,A-23b,1.1,-0.1,0.012,-0.059,-0.016,-0.021
K200260860,右边纵梁总成,P,01A01,A-24a,1.1,-0.1,0.07,0.201,0.119,0.077
K200260860,右边纵梁总成,P,01A01,A-24b,1.1,-0.1,0.12,0.092,0.155,0.139
K200260860,右边纵梁总成,P,01A01,A-25a,1.1,-0.1,0.024,0.923,0.202,0.066
K200260860,右边纵梁总成,P,01A01,A-25b,1.1,-0.1,0.088,0.448,0.203,0.129
K200260860,右边纵梁总成,P,01A01,A-26a,1.1,-0.1,0.391,0.284,0.582,0.423
K200260860,右边纵梁总成,P,01A01,A-26b,1.1,-0.1,0.172,0.116,0.308,0.209
K200260860,右边纵梁总成,P,01A01,A-27a,1.1,-0.1,0.834,0.681,0.681,0.811
K200260860,右边纵梁总成,P,01A01,A-27b,1.1,-0.1,0.55,0.412,0.478,0.541
K200260860,右边纵梁总成,P,01A01,A-28a,1.1,-0.1,0.682,0.54,0.557,0.681
K200260860,右边纵梁总成,P,01A01,A-28b,1.1,-0.1,0.464,0.344,0.4,0.47
K200260860,右边纵梁总成,P,01A01,A-29a,1.1,-0.1,0.738,0.639,0.63,0.725
K200260860,右边纵梁总成,P,01A01,A-29b,1.1,-0.1,0.352,0.412,0.296,0.367
