零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K500038260,后围板焊接总成,P,03A01,H-1,0.6,-0.6,-0.0226603441364546,0.0851285057249243,-0.0171160898152607,0.282160279929963
K500038260,后围板焊接总成,P,03A01,H-1,0.6,-0.6,-0.202619861361597,-0.348605995075502,-0.258390692298462,-0.25720806126202
K500038260,后围板焊接总成,P,03A01,H-2,0.6,-0.6,-0.196259683697861,-0.0788898713765889,-0.00317703420273574,-0.12111293763985
K500038260,后围板焊接总成,P,03A01,H-2,0.6,-0.6,-0.277627047464989,-0.302052721336565,-0.321442842351303,-0.276136012607537
K500038260,后围板焊接总成,P,03A01,H-3,0.6,-0.6,-0.144243708269698,-0.043320423284456,-0.117561491570029,-0.0894985593774891
K500038260,后围板焊接总成,P,03A01,H-3,0.6,-0.6,-0.330623450715564,-0.357897388107631,-0.305172474365691,-0.384714474378654
K500038260,后围板焊接总成,P,03A01,H-4,0.6,-0.6,-0.349641715763312,-0.323569912385437,-0.342165529837757,-0.431393628431294
K500038260,后围板焊接总成,P,03A01,H-4,0.6,-0.6,-0.457972131666168,-0.462328898265469,-0.287675443272281,-0.251626620228285
K500038260,后围板焊接总成,P,03A01,H-5,0.6,-0.6,-0.250192062192582,-0.226203234508034,-0.201628862761083,-0.207582350020687
K500038260,后围板焊接总成,P,03A01,H-5,0.6,-0.6,-0.406535728983499,-0.212832042797447,-0.395319950624469,-0.412765378681286
K500038260,后围板焊接总成,P,03A01,H-6,0.6,-0.6,-0.515999636198728,-0.245081022850013,-0.234760914353399,-0.528377545882847
K500038260,后围板焊接总成,P,03A01,H-6,0.6,-0.6,-0.238878555372423,-0.267494707073695,-0.22549959402204,-0.254775242840481
K500038260,后围板焊接总成,P,04A03,B-7,0.5,-0.5,-0.247683771181755,-0.475204534441218,-0.463311714689212,-0.244916810886571
K500038260,后围板焊接总成,P,04A03,B-7,0.5,-0.5,-0.323084139138018,-0.498243899726901,-0.223780963262814,-0.241076453766993
K500038260,后围板焊接总成,P,04A03,H-8,0.5,-0.5,-0.2259264547778,-0.237543584835248,-0.310559780899598,-0.418253133598751
K500038260,后围板焊接总成,P,04A03,H-8,0.5,-0.5,-0.181968876261692,-0.263031084908562,-0.29222942590435,-0.234265357894856
K500038260,后围板焊接总成,P,04A03,B-9,0.5,-0.5,-0.31687927510802,-0.243034781202073,-0.416709116588095,-0.298963251315558
K500038260,后围板焊接总成,P,04A03,B-9,0.5,-0.5,0.243458277849118,0.334330641662023,0.221871797331789,0.386391421217297
K500038260,后围板焊接总成,P,04A03,H-10,0.5,-0.5,-0.391526323570383,-0.2400153884985,-0.400069674222141,-0.272626022932195
K500038260,后围板焊接总成,P,04A03,H-10,0.5,-0.5,0.441452525805967,0.239757488046178,0.22910829824332,0.271796495522142
K500038260,后围板焊接总成,P,04A03,N-11,0.5,-0.5,-0.251170283314354,-0.32517886732478,-0.352692834723939,-0.378931541677957
K500038260,后围板焊接总成,P,04A03,N-11,0.5,-0.5,0.351751859388457,0.124906187906191,0.13680602182626,0.198371291109083
K500038260,后围板焊接总成,P,04A03,N-12,0.5,-0.5,-0.475031187241211,-0.427699212235029,-0.418264244364832,-0.453195956742616
K500038260,后围板焊接总成,P,04A03,N-12,0.5,-0.5,0.40528671788368,0.4556460601116,0.38450808694118,0.49303406594654
K500038260,后围板焊接总成,P,04A03,B-13,0.5,-0.5,-0.1795402801379,-0.469225237087915,-0.330584266997181,-0.269494542699516
K500038260,后围板焊接总成,P,04A03,B-13,0.5,-0.5,0.111991514371994,0.344679641665738,0.277781254333245,0.411279151441915
K500038260,后围板焊接总成,P,04A03,B-14,0.5,-0.5,-0.447799670924908,-0.463999974856466,-0.448256337460527,-0.216965105706061
K500038260,后围板焊接总成,P,04A03,B-14,0.5,-0.5,0.206316755623874,0.403376290348172,0.324959175038629,0.0928349526697332
K500038260,后围板焊接总成,P,04A03,H-1,0.5,-0.5,-0.274099107623329,-0.250210739391673,-0.297839898080338,-0.221998841750369
K500038260,后围板焊接总成,P,04A03,H-1,0.5,-0.5,0.11791217597269,0.211401285813992,0.360123676957681,0.330303183010437
K500038260,后围板焊接总成,P,04A03,N-2,0.5,-0.5,-0.35751193405722,-0.268752559426684,-0.287348306043509,-0.340965462547024
K500038260,后围板焊接总成,P,04A03,N-2,0.5,-0.5,0.22709639593347,0.411444253172988,0.335398406900092,0.33541902927623
K500038260,后围板焊接总成,P,04A03,H-3,0.5,-0.5,-0.329337453290179,-0.128430815705769,-0.0451078336682826,-0.271209290356421
K500038260,后围板焊接总成,P,04A03,H-3,0.5,-0.5,-0.0339598087920763,-0.0636064408996049,-0.192051819141682,-0.0394789141318768
K500038260,后围板焊接总成,P,04A03,N-4,0.5,-0.5,-0.394353535094058,-0.285120256763889,-0.256483885356317,-0.296714344268526
K500038260,后围板焊接总成,P,04A03,N-4,0.5,-0.5,-0.0721183621314196,-0.119695550862104,-0.165348217771452,-0.0403858206489929
K500038260,后围板焊接总成,P,04A03,N-5,0.5,-0.5,0.189125588004015,0.237395872673702,0.0898055016652788,-0.0400295528750081
K500038260,后围板焊接总成,P,04A03,N-5,0.5,-0.5,-0.123451902160985,-0.26435567153348,-0.370460514779381,-0.0765491347505929
K500038260,后围板焊接总成,P,04A03,H-6,0.5,-0.5,0.38425099475773,0.142263807355965,0.0228827891006541,0.0179200797765018
K500038260,后围板焊接总成,P,04A03,H-6,0.5,-0.5,-0.0632399753282016,-0.208525387501879,0.311316913085591,-0.0950676558750843
K500038260,后围板焊接总成,P,04A03,H-7,0.5,-0.5,-0.20754173370028,-0.495017010956644,-0.283204016426635,-0.32307244690968
K500038260,后围板焊接总成,P,04A03,H-7,0.5,-0.5,0.301016514921827,0.24727967099097,0.381131560612454,0.357138835592366
K500038260,后围板焊接总成,P,04A03,N-8,0.5,-0.5,-0.323571599684219,-0.226508870388227,-0.129792370338805,-0.336477509964932
K500038260,后围板焊接总成,P,04A03,N-8,0.5,-0.5,0.379904204956523,0.34607414985298,0.367209079003084,0.362156521039623
K500038260,后围板焊接总成,P,04A03,N-9,0.5,-0.5,0.0959351881260773,0.332773473271482,0.208111459013026,0.179647090315598
K500038260,后围板焊接总成,P,04A03,N-9,0.5,-0.5,0.3205637428353,0.31035440905153,0.37810143367886,0.29841754397216
K500038260,后围板焊接总成,P,04A03,H-10,0.5,-0.5,0.165745093781856,0.426850390218874,0.254491764390082,0.130107250105652
K500038260,后围板焊接总成,P,04A03,H-10,0.5,-0.5,0.27722225131146,0.30695084381614,0.31550471057421,0.3381296652618
K500038260,后围板焊接总成,P,06A02,N-11,0.75,-0.75,-0.463552956822195,-0.402345709936992,-0.632466705752961,-0.41092991031924
K500038260,后围板焊接总成,P,06A02,N-11,0.75,-0.75,0.447201718009524,0.379124891259607,0.474331417719895,0.417514545420772
K500038260,后围板焊接总成,P,06A02,N-12,0.75,-0.75,-0.478023290055762,-0.611122868835366,-0.441749244431492,-0.39873713853092
K500038260,后围板焊接总成,P,06A02,N-12,0.75,-0.75,0.390753875785435,0.561943437725802,0.472756974787501,0.281877297117023
K500038260,后围板焊接总成,P,06A02,N-13,0.75,-0.75,-0.271074239701636,-0.322016604490045,-0.23132487398551,-0.209979339406789
K500038260,后围板焊接总成,P,06A02,N-13,0.75,-0.75,0.0279216936262969,0.097773621958595,0.174931325784428,0.233876835803528
K500038260,后围板焊接总成,P,06A02,N-14,0.75,-0.75,-0.34010036715169,-0.167356615409972,-0.279885387327499,-0.485097538189257
K500038260,后围板焊接总成,P,06A02,N-14,0.75,-0.75,0.116260253501537,0.181896792507132,0.0984889688687076,0.16934899798423
K500038260,后围板焊接总成,P,09A02,S-15,1,-1,-0.530459033407487,-0.702249119423186,-0.732169002778505,-0.592178962967023
K500038260,后围板焊接总成,P,09A02,S-15,1,-1,0.64408238387426,0.49949710921117,0.5361647635876,0.47529401761198
K500038260,后围板焊接总成,P,09A02,H-16,1,-1,-0.648923843407988,-0.65123116490679,-0.642696382304393,-0.507313855007692
K500038260,后围板焊接总成,P,09A02,H-16,1,-1,0.298455481696465,0.235838537882842,0.173428356248849,0.297386919911958
K500038260,后围板焊接总成,P,14A02,N-17,0.6,-0.6,0.50427241981561,0.247527577984329,0.24333389757207,0.2365352089776
K500038260,后围板焊接总成,P,14A02,N-17,0.6,-0.6,-0.566250265371139,-0.0896279172062009,0.0295184572520384,-0.219803909785048
K500038260,后围板焊接总成,P,14A02,N-18,0.6,-0.6,0.53373625226641,0.29844327000092,0.37695010891503,0.32580367229739
K500038260,后围板焊接总成,P,14A02,N-18,0.6,-0.6,-0.34281661815981,-0.509934455764096,-0.442580615910845,-0.340741055224839
K500038260,后围板焊接总成,P,10A01,T-1,0.75,-0.75,-0.385879728682823,-0.414374827991071,-0.641249722903808,-0.360364564569636
K500038260,后围板焊接总成,P,10A01,T-1,0.75,-0.75,0.43777458853123,0.4496742854617,0.34867644428022,0.47082569917421
K500038260,后围板焊接总成,P,10A01,N-2,0.75,-0.75,-0.543070820640344,-0.496542125912993,-0.463531848453192,-0.3073688633816
K500038260,后围板焊接总成,P,10A01,N-2,0.75,-0.75,0.39688320052284,0.40936609960181,0.25252718645879,0.37020212427723
K500038260,后围板焊接总成,P,10A01,S-3,0.75,-0.75,-0.637957527287838,-0.281660435438411,-0.475768196961916,-0.266770115391289
K500038260,后围板焊接总成,P,10A01,S-3,0.75,-0.75,0.278142533551551,0.652431484258784,0.505678576650496,0.358348963724593
K500038260,后围板焊接总成,P,10A01,H-4,0.75,-0.75,-0.440354866682713,-0.432933896723299,-0.443260117147588,-0.603553480267038
K500038260,后围板焊接总成,P,10A01,H-4,0.75,-0.75,0.569769862614663,0.551917630717611,0.516571897095361,0.33544390962582
K500038260,后围板焊接总成,P,10A01,S-5,0.75,-0.75,-0.344979959093598,-0.556668798670785,-0.531854757747965,-0.372076525256557
K500038260,后围板焊接总成,P,10A01,S-5,0.75,-0.75,0.031349515822285,-0.0724258274224781,-0.161498152428408,-0.00338512567634552
