零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K800320560,后地板中横梁带支架总成,P,01A01,A-1a,0.6,-0.6,-0.12,-0.091,-0.039,-0.118
K800320560,后地板中横梁带支架总成,P,01A01,A-1b,0.6,-0.6,0.227,0.295,0.286,0.228
K800320560,后地板中横梁带支架总成,P,01A01,A-2a,0.6,-0.6,-0.276,-0.492,-0.317,-0.304
K800320560,后地板中横梁带支架总成,P,01A01,A-2b,0.6,-0.6,-0.329,-0.507,-0.322,-0.344
K800320560,后地板中横梁带支架总成,P,01A01,A-3a,0.6,-0.6,0.152,0.036,0.118,-0.079
K800320560,后地板中横梁带支架总成,P,01A01,A-3b,0.6,-0.6,0.115,0.053,0.099,-0.087
K800320560,后地板中横梁带支架总成,P,01A01,A-4a,0.6,-0.6,0.185,0.105,0.123,0.066
K800320560,后地板中横梁带支架总成,P,01A01,A-4b,0.6,-0.6,0.232,0.177,0.177,0.146
K800320560,后地板中横梁带支架总成,P,01A01,A-5a,0.6,-0.6,0.091,0.084,0.035,0.06
K800320560,后地板中横梁带支架总成,P,01A01,A-5b,0.6,-0.6,0.065,0.035,0.005,0.016
K800320560,后地板中横梁带支架总成,P,01A01,A-6a,0.6,-0.6,-0.17,-0.182,-0.092,-0.204
K800320560,后地板中横梁带支架总成,P,01A01,A-6b,0.6,-0.6,0.077,0.075,0.141,0.051
K800320560,后地板中横梁带支架总成,P,02A01,A-7a,0.6,-0.6,0.552,0.568,0.586,0.638
K800320560,后地板中横梁带支架总成,P,02A01,A-7b,0.6,-0.6,0.012,-0.01,0.054,0.029
K800320560,后地板中横梁带支架总成,P,02A01,A-8a,0.6,-0.6,-0.18,-0.167,-0.123,-0.137
K800320560,后地板中横梁带支架总成,P,02A01,A-8b,0.6,-0.6,-0.431,-0.246,-0.406,-0.388
K800320560,后地板中横梁带支架总成,P,02A01,A-9a,0.6,-0.6,-0.555,-0.519,-0.523,-0.507
K800320560,后地板中横梁带支架总成,P,02A01,A-9b,0.6,-0.6,-0.53,-0.629,-0.518,-0.529
K800320560,后地板中横梁带支架总成,P,02A01,A-10a,0.6,-0.6,-0.415,-0.405,-0.242,-0.443
K800320560,后地板中横梁带支架总成,P,02A01,A-10b,0.6,-0.6,-0.509,-0.471,-0.6,-0.453
K800320560,后地板中横梁带支架总成,P,02A01,A-11a,0.6,-0.6,-0.28,-0.216,-0.375,-0.218
K800320560,后地板中横梁带支架总成,P,02A01,A-11b,0.6,-0.6,-0.291,-0.208,-0.339,-0.241
K800320560,后地板中横梁带支架总成,P,02A01,A-12a,0.6,-0.6,0.344,0.245,0.278,0.311
K800320560,后地板中横梁带支架总成,P,02A01,A-12b,0.6,-0.6,0.021,-0.044,-0.025,-0.005
K800320560,后地板中横梁带支架总成,P,02A01,A-13a,0.6,-0.6,-0.259,-0.353,-0.114,-0.229
K800320560,后地板中横梁带支架总成,P,02A01,A-13b,0.6,-0.6,0.196,0.124,0.277,0.201
K800320560,后地板中横梁带支架总成,P,02A01,A-14a,0.6,-0.6,-0.308,-0.431,-0.153,-0.244
K800320560,后地板中横梁带支架总成,P,02A01,A-14b,0.6,-0.6,-0.239,-0.332,-0.13,-0.261
K800320560,后地板中横梁带支架总成,P,02A01,A-15a,0.6,-0.6,0.609,0.558,0.439,0.371
K800320560,后地板中横梁带支架总成,P,02A01,A-15b,0.6,-0.6,0.188,0.058,0.079,-0.134
K800320560,后地板中横梁带支架总成,P,02A01,A-16a,0.6,-0.6,-0.626,-0.546,-0.563,-0.493
K800320560,后地板中横梁带支架总成,P,02A01,A-16b,0.6,-0.6,-0.612,-0.546,-0.571,-0.63
K800320560,后地板中横梁带支架总成,P,02A01,A-17a,0.6,-0.6,-0.281,-0.253,-0.482,-0.431
K800320560,后地板中横梁带支架总成,P,02A01,A-17b,0.6,-0.6,-0.503,-0.435,-0.636,-0.44
K800320560,后地板中横梁带支架总成,P,02A01,A-18a,0.6,-0.6,0.561,0.584,0.543,0.422
K800320560,后地板中横梁带支架总成,P,02A01,A-18b,0.6,-0.6,0.321,0.272,0.334,0.522
K800320560,后地板中横梁带支架总成,P,02A01,A-19a,0.6,-0.6,0.322,0.223,0.312,0.576
K800320560,后地板中横梁带支架总成,P,02A01,A-19b,0.6,-0.6,0.285,0.267,0.362,0.447
K800320560,后地板中横梁带支架总成,P,02A01,A-20a,0.6,-0.6,-0.214,-0.166,-0.122,-0.193
K800320560,后地板中横梁带支架总成,P,02A01,A-20b,0.6,-0.6,-0.018,-0.056,0.042,0.001
K800320560,后地板中横梁带支架总成,P,02A01,A-21a,0.6,-0.6,-0.135,0.027,-0.082,0.045
K800320560,后地板中横梁带支架总成,P,02A01,A-21b,0.6,-0.6,0.008,0.128,0.044,0.122
K800320560,后地板中横梁带支架总成,P,01A01,A-1a,0.6,-0.6,-0.638,-0.262,-0.182,-0.3044
K800320560,后地板中横梁带支架总成,P,01A01,A-1b,0.6,-0.6,-0.263,-0.288,-0.384,-0.304
K800320560,后地板中横梁带支架总成,P,01A01,A-2a,0.6,-0.6,-0.154,-0.327,-0.217,-0.329
K800320560,后地板中横梁带支架总成,P,01A01,A-2b,0.6,-0.6,-0.265,-0.367,-0.26,-0.349
K800320560,后地板中横梁带支架总成,P,01A01,A-3a,0.6,-0.6,0.092,0.143,0.079,0.095
K800320560,后地板中横梁带支架总成,P,01A01,A-3b,0.6,-0.6,0.113,0.228,0.189,0.141
K800320560,后地板中横梁带支架总成,P,01A01,A-4a,0.6,-0.6,0.47,0.6104,0.504,0.393
K800320560,后地板中横梁带支架总成,P,01A01,A-4b,0.6,-0.6,0.513,0.577,0.616,0.401
K800320560,后地板中横梁带支架总成,P,02A01,H-1,0.6,-0.6,0.011,0.07,-0.011,0.051
K800320560,后地板中横梁带支架总成,P,02A01,H-1,0.6,-0.6,-0.106,-0.111,-0.145,-0.235
K800320560,后地板中横梁带支架总成,P,02A01,H-2,0.6,-0.6,-0.399,-0.417,-0.6182,-0.416
K800320560,后地板中横梁带支架总成,P,02A01,H-2,0.6,-0.6,-0.193,-0.166,-0.122,-0.181
K800320560,后地板中横梁带支架总成,P,02A01,H-3,0.6,-0.6,-0.385,-0.626,-0.261,-0.187
K800320560,后地板中横梁带支架总成,P,02A01,H-3,0.6,-0.6,0.358,0.386,0.43,0.37
