零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K200267260,后地板分总成,P,01A01,A-1a,0.5,-0.5,0.102384716768076,0.104206757872605,0.0730209011953508,0.0776677966781888
K200267260,后地板分总成,P,01A01,A-1b,0.5,-0.5,0.0231930863813071,0.00251946268382293,0.0207044153080708,0.0242475001801872
K200267260,后地板分总成,P,01A01,A-2a,0.5,-0.5,0.378194608169657,0.329494792600135,0.151963579439656,0.48966826243823
K200267260,后地板分总成,P,01A01,A-2b,0.5,-0.5,0.0676278728244456,0.00215304017897763,-0.12539552026763,0.175519380639425
K200267260,后地板分总成,P,01A01,A-3a,0.5,-0.5,0.399815776031186,0.114869290462297,0.206043862929576,0.333026616671364
K200267260,后地板分总成,P,01A01,A-3b,0.5,-0.5,-0.0773509871432698,-0.347908403556925,-0.210676400109106,-0.135935997719064
K200267260,后地板分总成,P,01A01,A-4a,0.5,-0.5,-0.268732529575445,-0.354678983196229,-0.305934512089088,-0.28375376788903
K200267260,后地板分总成,P,01A01,A-4b,0.5,-0.5,-0.414754993473857,-0.419893744621633,-0.506546186334956,-0.389642689656283
K200267260,后地板分总成,P,01A01,A-5a,0.5,-0.5,-0.18849684840372,-0.469815773568864,-0.185145097315913,-0.344757484224132
K200267260,后地板分总成,P,01A01,A-5b,0.5,-0.5,-0.29164867465442,-0.31268632853486,-0.363104192715411,-0.256559877603632
K200267260,后地板分总成,P,01A01,A-6a,0.5,-0.5,-0.607743930749564,-0.22989576660669,-0.226811357751671,-0.196012755747306
K200267260,后地板分总成,P,01A01,A-6b,0.5,-0.5,-0.253699430300844,-0.461853495300693,-0.181675399796632,-0.26941625472117
K200267260,后地板分总成,P,01A01,A-7a,0.5,-0.5,0.15484476492054,0.154066415728323,0.367273675488093,0.122646954990273
K200267260,后地板分总成,P,01A01,A-7b,0.5,-0.5,0.234489130222755,0.167868182498296,0.38690871328555,0.16492723120939
K200267260,后地板分总成,P,01A01,A-8a,0.5,-0.5,0.212102730824711,0.316659663996347,0.308006843532667,0.241015600523554
K200267260,后地板分总成,P,01A01,A-8b,0.5,-0.5,0.321521920298096,0.329683787108365,0.366155236277734,0.271670664440308
K200267260,后地板分总成,P,01A01,A-9a,0.5,-0.5,0.183538466630057,0.292072241019321,0.349034036807609,0.307935213558949
K200267260,后地板分总成,P,01A01,A-9b,0.5,-0.5,0.277131030035821,0.270025778344336,0.244243381797833,0.508048283684043
K200267260,后地板分总成,P,01A01,A-10a,0.5,-0.5,0.34726074450559,0.21614411909939,0.209512209346121,0.531792141451331
K200267260,后地板分总成,P,01A01,A-10b,0.5,-0.5,0.12710856184237,0.523130511412938,0.307172651804711,0.290068176219369
K200267260,后地板分总成,P,01A01,A-11a,0.5,-0.5,0.4719696697887,0.404996363156732,0.424478394851042,0.349279164906022
K200267260,后地板分总成,P,01A01,A-11b,0.5,-0.5,0.161571969,0.200164539077633,0.531355775334544,0.329611150053086
K200267260,后地板分总成,P,01A01,A-12a,0.5,-0.5,0.39100940850415,0.324675723793371,0.268850750745742,0.29867956124699
K200267260,后地板分总成,P,01A01,A-12b,0.5,-0.5,0.48238339519314,0.345625581050365,0.480956374530717,0.53426838502229
K200267260,后地板分总成,P,01A01,A-13a,0.5,-0.5,0.241649874434643,0.323583708520346,0.164129098482647,0.215896900081418
K200267260,后地板分总成,P,01A01,A-13b,0.5,-0.5,0.270686998870644,0.361882070555339,0.18976007360942,0.244379319483414
K200267260,后地板分总成,P,01A01,A-14a,0.5,-0.5,0.160270561876644,0.372967297947355,0.14669057198023,0.24228507698416
K200267260,后地板分总成,P,01A01,A-14b,0.5,-0.5,0.142305938219067,0.342633507391383,0.145614416664387,0.204610255946648
K200267260,后地板分总成,P,01A01,A-15a,0.5,-0.5,-0.0750370270008602,0.363136817820305,0.0466827248904451,0.166107626952339
K200267260,后地板分总成,P,01A01,A-15b,0.5,-0.5,-0.151325952276466,0.239798017676321,-0.0654846545660348,0.050357045867031
K200267260,后地板分总成,P,01A01,A-16a,0.5,-0.5,-0.243584443157499,0.104466631143339,-0.510813345718884,-0.408699306998158
K200267260,后地板分总成,P,01A01,A-16b,0.5,-0.5,-0.4658472457117,0.121905197491344,-0.317199612992681,-0.0939105616365623
K200267260,后地板分总成,P,01A01,A-17a,0.5,-0.5,-0.27528429375735,-0.333052459287676,-0.21788803103908,-0.402010142667774
K200267260,后地板分总成,P,01A01,A-17b,0.5,-0.5,-0.33807213793286,-0.47671431382547,-0.21588924963401,-0.53809765089443
K200267260,后地板分总成,P,01A01,A-18a,0.5,-0.5,-0.205458155772639,-0.169473962684267,-0.371755385243609,-0.531037974264698
K200267260,后地板分总成,P,01A01,A-18b,0.5,-0.5,-0.20957974221513,-0.576454776633221,-0.46864921352041,-0.416242669967086
K200267260,后地板分总成,P,01A01,A-19a,0.5,-0.5,0.358153854176056,0.268528148488504,0.12659897690592,0.150602515103434
K200267260,后地板分总成,P,01A01,A-19b,0.5,-0.5,0.13454171301486,0.127386489081055,-0.0515001399733656,0.00246407568279762
K200267260,后地板分总成,P,01A01,A-20a,0.5,-0.5,0.37766397494355,0.374579541457678,0.175171670775934,0.264376180206553
K200267260,后地板分总成,P,01A01,A-20b,0.5,-0.5,0.267568404614638,0.30488975549334,0.0381779353466436,0.188154882392167
K200267260,后地板分总成,P,01A01,A-21a,0.5,-0.5,0.258438569009852,0.244459112802535,0.0214745828150712,0.13506912468064
K200267260,后地板分总成,P,01A01,A-21b,0.5,-0.5,0.182963287165593,0.229797852159246,-0.0740977387874152,0.107972371935718
K200267260,后地板分总成,P,01A01,A-22a,0.5,-0.5,-0.192294221310953,-0.435046600879179,-0.161223229001699,-0.517203904018952
K200267260,后地板分总成,P,01A01,A-22b,0.5,-0.5,-0.0751694961101867,0.0381347110079935,-0.597388510905195,-0.151724300963971
K200267260,后地板分总成,P,01A01,A-23a,0.5,-0.5,0.01927515941082,-0.0890922514332353,-0.234776257333757,-0.121025826242091
K200267260,后地板分总成,P,01A01,A-23b,0.5,-0.5,0.180984552965673,0.156474372428154,-0.347944380084292,-0.146578513704043
K200267260,后地板分总成,P,01A01,A-24a,0.5,-0.5,0.162936879646733,0.0959950334652314,-0.132121474291535,-0.10629614480214
K200267260,后地板分总成,P,01A01,A-24b,0.5,-0.5,0.161443508625044,0.179610487160526,-0.136341114802387,-0.129107791641916
K200267260,后地板分总成,P,01A01,A-25a,0.5,-0.5,-0.0926514786997113,-0.168481641113799,-0.310247037917498,-0.401289691301201
K200267260,后地板分总成,P,01A01,A-25b,0.5,-0.5,-0.288373085953925,-0.29130459730522,-0.403463028746588,-0.531046026757358
K200267260,后地板分总成,P,01A01,A-26a,0.5,-0.5,0.319292252522533,0.0951008880870942,-0.146015816035426,-0.0639552669782233
K200267260,后地板分总成,P,01A01,A-26b,0.5,-0.5,-0.0891656503346539,-0.15202188872029,-0.42505858718248,-0.31340373908432
