零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K800277460,后地板前横梁总成,P,01A01,A-1a,0.5,-0.5,-0.32,-0.36,-0.3,-0.28
K800277460,后地板前横梁总成,P,01A01,A-1b,0.5,-0.5,0.13,0.1,0.16,0.17
K800277460,后地板前横梁总成,P,01A01,A-2a,0.5,-0.5,0.13,0.1,0.15,0.17
K800277460,后地板前横梁总成,P,01A01,A-2b,0.5,-0.5,0,-0.02,0.02,0.04
K800277460,后地板前横梁总成,P,01A01,A-3a,0.5,-0.5,-0.03,0,0.03,0.09
K800277460,后地板前横梁总成,P,01A01,A-3b,0.5,-0.5,-0.15,-0.11,-0.07,-0.01
K800277460,后地板前横梁总成,P,01A01,A-4a,0.5,-0.5,-0.24,-0.11,-0.37,-0.31
K800277460,后地板前横梁总成,P,01A01,A-4b,0.5,-0.5,0.05,0.08,0.13,0.48
K800277460,后地板前横梁总成,P,01A01,A-5a,0.5,-0.5,-0.45,-0.42,-0.38,-0.32
K800277460,后地板前横梁总成,P,01A01,A-5b,0.5,-0.5,0.24,0.27,0.32,0.37
K800277460,后地板前横梁总成,P,01A01,A-6a,0.5,-0.5,0.45,0.24,0.06,0.46
K800277460,后地板前横梁总成,P,01A01,A-6b,0.5,-0.5,0.3,0.29,0.31,0.31
K800277460,后地板前横梁总成,P,01A01,A-7a,0.5,-0.5,0.37,0.35,0.28,0.18
K800277460,后地板前横梁总成,P,01A01,A-7b,0.5,-0.5,0.44,0.12,0.25,0.25
K800277460,后地板前横梁总成,P,01A01,A-8a,0.5,-0.5,-0.5,-0.53,-0.5,-0.52
K800277460,后地板前横梁总成,P,01A01,A-8b,0.5,-0.5,-0.36,-0.39,-0.36,-0.37
K800277460,后地板前横梁总成,P,01A01,A-9a,0.5,-0.5,0.32,0.28,0.32,0.3
K800277460,后地板前横梁总成,P,01A01,A-9b,0.5,-0.5,0.32,0.27,0.32,0.3
K800277460,后地板前横梁总成,P,01A01,A-10a,0.5,-0.5,0.44,0.38,0.19,0.14
K800277460,后地板前横梁总成,P,01A01,A-10b,0.5,-0.5,0.55,0.5,0.5,0.46
K800277460,后地板前横梁总成,P,01A01,A-11a,0.5,-0.5,0.26,0.2,0.22,0.17
K800277460,后地板前横梁总成,P,01A01,A-11b,0.5,-0.5,0.29,0.24,0.25,0.21
K800277460,后地板前横梁总成,P,01A01,A-12a,0.5,-0.5,0.2,0.38,0.42,0.12
K800277460,后地板前横梁总成,P,01A01,A-12b,0.5,-0.5,0.33,0.39,0.54,0.28
K800277460,后地板前横梁总成,P,01A01,A-13a,0.5,-0.5,0.33,0.3,0.34,0.34
K800277460,后地板前横梁总成,P,01A01,A-13b,0.5,-0.5,0.29,0.16,0.21,0.1
K800277460,后地板前横梁总成,P,01A01,A-14a,0.5,-0.5,0.24,0.22,0.25,0.25
K800277460,后地板前横梁总成,P,01A01,A-14b,0.5,-0.5,0.42,0.16,0.43,0.23
K800277460,后地板前横梁总成,P,01A01,A-15a,0.5,-0.5,0.33,0.31,0.34,0.34
K800277460,后地板前横梁总成,P,01A01,A-15b,0.5,-0.5,0.45,0.43,0.26,0.17
