零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K600058960,1.0,01A01,1X,0.5,-0.5,0.289,,,
K600058960,1.0,01A01,1Y,0.5,-0.5,0.164,,,
K600058960,1.0,01A01,2X,0.5,-0.5,-0.108,,,
K600058960,1.0,01A01,2Y,0.5,-0.5,0.179,,,
K600058960,1.0,01B01,3,0.5,-0.5,0.519,0.502,0.495,0.52
K600058960,1.0,01B01,4,0.5,-0.5,0.507,,,
K600058960,1.0,01B01,5,0.5,-0.5,0.526,,,
K600058960,1.0,01B01,6,0.5,-0.5,0.209,,,
K600058960,1.0,01B01,7,0.5,-0.5,0.271,0.228,0.258,0.256
K600058960,1.0,01B01,8,0.5,-0.5,0.265,,,
K600058960,2.0,01D01,1,0.5,0.0,0.047,,,
K600058960,1.0,01D02,9X,0.5,-0.5,0.267,0.294,0.278,0.264
K600058960,1.0,01D02,9Y,0.5,-0.5,0.152,0.173,0.176,0.174
K600058960,1.0,01D02,10X,0.5,-0.5,-0.095,-0.058,-0.046,-0.111
K600058960,1.0,01D02,10Y,0.5,-0.5,0.203,0.216,0.224,0.228
K600058960,1.0,02B01,1,0.5,-0.5,-0.23,-0.208,-0.206,-0.202
K600058960,1.0,02B01,2,0.5,-0.5,-0.134,,,
K600058960,1.0,02B01,3,0.5,-0.5,-0.306,,,
K600058960,1.0,02B01,4,0.5,-0.5,-0.262,,,
K600058960,1.0,02B01,5,0.5,-0.5,-0.283,,,
K600058960,1.0,02B01,6,0.5,-0.5,-0.295,-0.306,-0.289,-0.293
K600058960,1.0,02B01,7,0.5,-0.5,-0.312,,,
K600058960,1.0,02B01,8,0.5,-0.5,-0.344,,,
K600058960,1.0,02B01,9,0.5,-0.5,-0.344,,,
K600058960,1.0,02B01,10,0.5,-0.5,-0.229,,,
K600058960,1.0,02B01,11,0.5,-0.5,-0.192,-0.217,-0.197,-0.192
K600058960,2.0,02B02,1,0.5,0.0,0.092,,,
K600058960,1.0,02B03,12a,0.5,-0.5,0.134,0.13,0.126,0.137
K600058960,1.0,02B03,12b,0.5,-0.5,0.146,,,
K600058960,1.0,02B03,13a,0.5,-0.5,-0.264,,,
K600058960,1.0,02B03,13b,0.5,-0.5,-0.192,,,
K600058960,1.0,02B03,14a,0.5,-0.5,-0.365,,,
K600058960,1.0,02B03,14b,0.5,-0.5,-0.296,,,
K600058960,1.0,02B03,15a,0.5,-0.5,-0.413,,,
K600058960,1.0,02B03,15b,0.5,-0.5,-0.381,,,
K600058960,1.0,02B03,16a,0.5,-0.5,-0.338,,,
K600058960,1.0,02B03,16b,0.5,-0.5,-0.3,,,
K600058960,1.0,02B03,17a,0.5,-0.5,-0.188,-0.237,-0.221,-0.198
K600058960,1.0,02B03,17b,0.5,-0.5,-0.174,,,
K600058960,1.0,02B03,18a,0.5,-0.5,-0.366,,,
K600058960,1.0,02B03,18b,0.5,-0.5,-0.331,,,
K600058960,1.0,02B03,19a,0.5,-0.5,-0.446,,,
K600058960,1.0,02B03,19b,0.5,-0.5,-0.392,,,
K600058960,1.0,02B03,20a,0.5,-0.5,-0.443,,,
K600058960,1.0,02B03,20b,0.5,-0.5,-0.343,,,
