零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400343960,左A柱骨架外板（上）,P,01A01,A-1a,0.6,-0.6,-0.42,-0.3,-0.28,-0.3
K400343960,左A柱骨架外板（上）,P,01A01,A-1b,0.6,-0.6,0.05,0.24,0.25,0.18
K400343960,左A柱骨架外板（上）,P,01A01,A-2a,0.6,-0.6,-0.33,-0.23,-0.22,-0.24
K400343960,左A柱骨架外板（上）,P,01A01,A-2b,0.6,-0.6,-0.04,0.11,0.12,0.06
K400343960,左A柱骨架外板（上）,P,01A01,A-3a,0.6,-0.6,-0.17,-0.1,-0.09,-0.1
K400343960,左A柱骨架外板（上）,P,01A01,A-3b,0.6,-0.6,-0.08,0.05,0.05,0
K400343960,左A柱骨架外板（上）,P,01A01,A-4a,0.6,-0.6,-0.2,-0.14,-0.14,-0.14
K400343960,左A柱骨架外板（上）,P,01A01,A-4b,0.6,-0.6,-0.08,0.04,0.03,-0.01
K400343960,左A柱骨架外板（上）,P,01A01,A-5a,0.6,-0.6,-0.53,-0.5,-0.51,-0.51
K400343960,左A柱骨架外板（上）,P,01A01,A-5b,0.6,-0.6,-0.13,-0.02,-0.03,-0.08
K400343960,左A柱骨架外板（上）,P,01A01,A-6a,0.6,-0.6,-0.41,-0.4,-0.42,-0.4
K400343960,左A柱骨架外板（上）,P,01A01,A-6b,0.6,-0.6,-0.18,-0.09,-0.11,-0.15
K400343960,左A柱骨架外板（上）,P,01A01,A-7a,0.6,-0.6,-0.18,-0.2,-0.22,-0.2
K400343960,左A柱骨架外板（上）,P,01A01,A-7b,0.6,-0.6,-0.01,0.03,0.01,-0.01
K400343960,左A柱骨架外板（上）,P,01A01,A-8a,0.6,-0.6,0.26,0.21,0.18,0.21
K400343960,左A柱骨架外板（上）,P,01A01,A-8b,0.6,-0.6,0.11,0.13,0.1,0.07
K400343960,左A柱骨架外板（上）,P,01A01,A-9a,0.6,-0.6,0.24,0.19,0.14,0.17
K400343960,左A柱骨架外板（上）,P,01A01,A-9b,0.6,-0.6,0.13,0.13,0.09,0.07
K400343960,左A柱骨架外板（上）,P,01A01,A-10a,0.6,-0.6,0.37,0.28,0.24,0.28
K400343960,左A柱骨架外板（上）,P,01A01,A-10b,0.6,-0.6,0.05,0.03,0,-0.02
K400343960,左A柱骨架外板（上）,P,01A01,A-11a,0.6,-0.6,0.34,0.25,0.2,0.24
K400343960,左A柱骨架外板（上）,P,01A01,A-11b,0.6,-0.6,0.13,0.11,0.06,0.04
K400343960,左A柱骨架外板（上）,P,01A01,A-12a,0.6,-0.6,0.01,-0.08,-0.12,-0.1
K400343960,左A柱骨架外板（上）,P,01A01,A-12b,0.6,-0.6,-0.18,-0.19,-0.24,-0.28
K400343960,左A柱骨架外板（上）,P,01A01,A-13a,0.6,-0.6,-0.22,-0.05,-0.07,-0.12
K400343960,左A柱骨架外板（上）,P,01A01,A-13b,0.6,-0.6,0.12,0.26,0.23,0.21
K400343960,左A柱骨架外板（上）,P,01A01,A-14a,0.6,-0.6,-0.19,-0.11,-0.12,-0.11
K400343960,左A柱骨架外板（上）,P,01A01,A-14b,0.6,-0.6,-0.04,0,0,0.02
K400343960,左A柱骨架外板（上）,P,01A01,A-15a,0.6,-0.6,-0.07,-0.03,-0.02,-0.02
K400343960,左A柱骨架外板（上）,P,01A01,A-15b,0.6,-0.6,-0.44,-0.43,-0.42,-0.39
K400343960,左A柱骨架外板（上）,P,01A01,A-16a,0.6,-0.6,-0.12,-0.11,-0.08,-0.08
K400343960,左A柱骨架外板（上）,P,01A01,A-16b,0.6,-0.6,-0.46,-0.47,-0.45,-0.42
K400343960,左A柱骨架外板（上）,P,01A01,A-17a,0.6,-0.6,0.18,0.17,0.21,0.2
K400343960,左A柱骨架外板（上）,P,01A01,A-17b,0.6,-0.6,-0.26,-0.31,-0.26,-0.24
K400343960,左A柱骨架外板（上）,P,01A01,A-18a,0.6,-0.6,0.23,0.2,0.25,0.24
K400343960,左A柱骨架外板（上）,P,01A01,A-18b,0.6,-0.6,-0.03,-0.1,-0.04,-0.03
K400343960,左A柱骨架外板（上）,P,01A01,A-19a,0.6,-0.6,0.29,0.23,0.3,0.28
K400343960,左A柱骨架外板（上）,P,01A01,A-19b,0.6,-0.6,0.01,-0.07,0,0
K400343960,左A柱骨架外板（上）,P,01A01,A-20a,0.6,-0.6,0.14,0.07,0.16,0.11
K400343960,左A柱骨架外板（上）,P,01A01,A-20b,0.6,-0.6,0.29,0.19,0.27,0.25
K400343960,左A柱骨架外板（上）,P,01A01,A-21a,0.6,-0.6,-0.16,-0.23,-0.13,-0.21
K400343960,左A柱骨架外板（上）,P,01A01,A-21b,0.6,-0.6,0.21,0.11,0.22,0.16
K400343960,左A柱骨架外板（上）,P,01A01,A-22a,0.6,-0.6,-0.49,-0.5,-0.38,-0.54
K400343960,左A柱骨架外板（上）,P,01A01,A-22b,0.6,-0.6,-0.14,-0.18,-0.07,-0.2
K400343960,左A柱骨架外板（上）,P,02A01,A-1a,0.6,-0.6,0,0.17,0.19,0.13
K400343960,左A柱骨架外板（上）,P,02A01,A-1b,0.6,-0.6,0.15,0.32,0.33,0.28
K400343960,左A柱骨架外板（上）,P,02A01,A-2a,0.6,-0.6,0.04,0.14,0.12,0.16
K400343960,左A柱骨架外板（上）,P,02A01,A-2b,0.6,-0.6,0.29,0.39,0.37,0.41
K400343960,左A柱骨架外板（上）,P,02A01,A-3a,0.6,-0.6,-0.41,-0.4,-0.45,-0.37
K400343960,左A柱骨架外板（上）,P,02A01,A-3b,0.6,-0.6,-0.19,-0.19,-0.24,-0.15
K400343960,左A柱骨架外板（上）,P,02A01,A-4a,0.6,-0.6,-0.32,-0.16,-0.2,-0.21
K400343960,左A柱骨架外板（上）,P,02A01,A-4b,0.6,-0.6,0.39,0.54,0.5,0.5
K400343960,左A柱骨架外板（上）,P,02A01,A-5a,0.6,-0.6,-0.16,0.05,0.02,-0.05
K400343960,左A柱骨架外板（上）,P,02A01,A-5b,0.6,-0.6,0.18,0.37,0.34,0.28
K400343960,左A柱骨架外板（上）,P,03C01,E-6,0.75,-0.75,-0.23,-0.35,-0.39,-0.34
K400343960,左A柱骨架外板（上）,P,03C01,E-7,0.75,-0.75,-0.48,-0.65,-0.67,-0.59
K400343960,左A柱骨架外板（上）,P,03C01,E-8,0.75,-0.75,-0.35,-0.54,-0.56,-0.45
K400343960,左A柱骨架外板（上）,P,03C01,E-9,0.75,-0.75,-0.12,-0.31,-0.31,-0.21
K400343960,左A柱骨架外板（上）,P,03C01,E-10,0.75,-0.75,-0.12,-0.31,-0.29,-0.18
K400343960,左A柱骨架外板（上）,P,03C01,E-11,0.75,-0.75,0.1,-0.07,-0.04,0.05
K400343960,左A柱骨架外板（上）,P,03C01,E-12,0.75,-0.75,0.25,0.07,0.11,0.21
K400343960,左A柱骨架外板（上）,P,03C01,E-13,0.75,-0.75,0.44,0.26,0.33,0.41
K400343960,左A柱骨架外板（上）,P,03C01,E-14,0.75,-0.75,0.54,0.37,0.45,0.52
K400343960,左A柱骨架外板（上）,P,03C01,E-15,0.75,-0.75,0.56,0.41,0.5,0.56
K400343960,左A柱骨架外板（上）,P,03C01,E-16,0.75,-0.75,0.52,0.39,0.5,0.54
K400343960,左A柱骨架外板（上）,P,03C01,E-17,0.75,-0.75,0.57,0.47,0.61,0.62
K400343960,左A柱骨架外板（上）,P,03C01,E-18,0.75,-0.75,0.53,0.45,0.6,0.59
K400343960,左A柱骨架外板（上）,P,04A01,A-22,0.6,-0.6,0.17,0.06,0.15,0.08
K400343960,左A柱骨架外板（上）,P,04A01,A-23,0.6,-0.6,0.47,0.32,0.5,0.48
