零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400344060,左A柱骨架焊接合件,P,01A01,A-1a,0.5,-0.5,-0.452,-0.386,-0.44,-0.367
K400344060,左A柱骨架焊接合件,P,01A01,A-1b,0.5,-0.5,-0.315,-0.159,-0.241,-0.185
K400344060,左A柱骨架焊接合件,P,01A01,A-2a,0.5,-0.5,-0.26,-0.115,-0.232,-0.278
K400344060,左A柱骨架焊接合件,P,01A01,A-2b,0.5,-0.5,-0.204,-0.269,-0.104,-0.293
K400344060,左A柱骨架焊接合件,P,01A01,A-3a,0.5,-0.5,-0.267,-0.269,-0.147,-0.539
K400344060,左A柱骨架焊接合件,P,01A01,A-3b,0.5,-0.5,-0.105,-0.166,-0.084,-0.378
K400344060,左A柱骨架焊接合件,P,01A01,A-4a,0.5,-0.5,-0.01,-0.041,-0.012,-0.319
K400344060,左A柱骨架焊接合件,P,01A01,A-4b,0.5,-0.5,0.021,-0.014,0.019,-0.294
K400344060,左A柱骨架焊接合件,P,01A01,A-5a,0.5,-0.5,0.163,0.297,0.1048,0.224
K400344060,左A柱骨架焊接合件,P,01A01,A-5b,0.5,-0.5,0.531,0.477,0.32,0.384
K400344060,左A柱骨架焊接合件,P,01A01,A-6a,0.5,-0.5,-0.077,-0.073,-0.086,0.133
K400344060,左A柱骨架焊接合件,P,01A01,A-6b,0.5,-0.5,-0.184,-0.151,-0.172,0.071
K400344060,左A柱骨架焊接合件,P,01A01,A-7a,0.5,-0.5,0.335,0.41,0.326,0.349
K400344060,左A柱骨架焊接合件,P,01A01,A-7b,0.5,-0.5,0.2541,0.381,0.234,0.108
K400344060,左A柱骨架焊接合件,P,01A01,A-8a,0.5,-0.5,-0.021,-0.055,-0.055,-0.015
K400344060,左A柱骨架焊接合件,P,01A01,A-8b,0.5,-0.5,-0.156,-0.163,-0.146,-0.311
K400344060,左A柱骨架焊接合件,P,01A01,A-9a,0.5,-0.5,0.134,0.064,0.043,0.025
K400344060,左A柱骨架焊接合件,P,01A01,A-9b,0.5,-0.5,-0.027,-0.003,-0.096,-0.185
K400344060,左A柱骨架焊接合件,P,01A01,A-10a,0.5,-0.5,0.452,0.4,0.457,0.267
K400344060,左A柱骨架焊接合件,P,01A01,A-10b,0.5,-0.5,0.298,0.352,0.356,0.302
K400344060,左A柱骨架焊接合件,P,01A01,A-11a,0.5,-0.5,-0.196,-0.146,-0.044,-0.24
K400344060,左A柱骨架焊接合件,P,01A01,A-11b,0.5,-0.5,0.009,0.091,0.152,0.013
K400344060,左A柱骨架焊接合件,P,01A01,A-12a,0.5,-0.5,0.189,0.181,0.123,0.38
K400344060,左A柱骨架焊接合件,P,01A01,A-12b,0.5,-0.5,0.21,0.293,0.261,0.21
K400344060,左A柱骨架焊接合件,P,01A01,A-13a,0.5,-0.5,0.086,0.25,0.5,0.307
K400344060,左A柱骨架焊接合件,P,01A01,A-13b,0.5,-0.5,0.163,0.163,0.239,0.224
K400344060,左A柱骨架焊接合件,P,01A01,A-14a,0.5,-0.5,-0.234,-0.414,-0.23,-0.33
K400344060,左A柱骨架焊接合件,P,01A01,A-14b,0.5,-0.5,-0.103,-0.458,-0.125,-0.408
K400344060,左A柱骨架焊接合件,P,01A01,A-15a,0.5,-0.5,-0.12,-0.278,-0.282,-0.208
K400344060,左A柱骨架焊接合件,P,01A01,A-15b,0.5,-0.5,-0.222,-0.202,-0.261,-0.15
K400344060,左A柱骨架焊接合件,P,01A01,A-16a,0.5,-0.5,-0.379,-0.362,-0.41,-0.266
K400344060,左A柱骨架焊接合件,P,01A01,A-16b,0.5,-0.5,0.242,0.178,0.291,0.113
K400344060,左A柱骨架焊接合件,P,02A01,A-1a,0.5,-0.5,0.185,0.27,0.187,0.084
K400344060,左A柱骨架焊接合件,P,02A01,A-1b,0.5,-0.5,0.009,0.006,-0.069,0.084
K400344060,左A柱骨架焊接合件,P,02A01,A-2a,0.5,-0.5,-0.32,-0.303,-0.305,-0.177
K400344060,左A柱骨架焊接合件,P,02A01,A-2b,0.5,-0.5,-0.189,-0.198,-0.214,0.064
K400344060,左A柱骨架焊接合件,P,02A01,A-3a,0.5,-0.5,-0.191,-0.21,-0.222,-0.381
K400344060,左A柱骨架焊接合件,P,02A01,A-3b,0.5,-0.5,-0.161,-0.18,-0.206,-0.256
K400344060,左A柱骨架焊接合件,P,02A01,A-4a,0.5,-0.5,-0.213,-0.459,-0.415,-0.236
K400344060,左A柱骨架焊接合件,P,02A01,A-4b,0.5,-0.5,-0.187,-0.477,-0.492,-0.318
K400344060,左A柱骨架焊接合件,P,02A01,A-5a,0.5,-0.5,-0.181,-0.24,-0.211,-0.42
K400344060,左A柱骨架焊接合件,P,02A01,A-5b,0.5,-0.5,-0.522,-0.499,-0.387,-0.396
K400344060,左A柱骨架焊接合件,P,02A01,A-6a,0.5,-0.5,-0.38,-0.377,-0.165,-0.262
