零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400343160,左B柱加强板焊接合件,P,01A01,A-1a,0.6,-0.6,0.111661094046547,0.108752746283095,0.0726703165787685,0.0174901152314945
K400343160,左B柱加强板焊接合件,P,01A01,A-1b,0.6,-0.6,0.033182335430922,0.0276879181820984,0.021107772634484,-0.0406771064907748
K400343160,左B柱加强板焊接合件,P,01A01,A-2a,0.6,-0.6,0.159328111706232,0.128008520938189,0.140837541828777,0.00640939787333792
K400343160,左B柱加强板焊接合件,P,01A01,A-2b,0.6,-0.6,0.0035182185519336,-0.0256972793105514,0.027172064287255,-0.0968592204970478
K400343160,左B柱加强板焊接合件,P,01A01,A-3a,0.6,-0.6,-0.0173073320485516,-0.0799554112120734,0.00730737258912543,-0.292364295449606
K400343160,左B柱加强板焊接合件,P,01A01,A-3b,0.6,-0.6,-0.0863300559343705,-0.160250430703995,-0.0493558548846297,-0.351966803072462
K400343160,左B柱加强板焊接合件,P,01A01,A-4a,0.6,-0.6,-0.142588425143777,-0.205756017308952,-0.102933022824213,-0.441171593561398
K400343160,左B柱加强板焊接合件,P,01A01,A-4b,0.6,-0.6,-0.270443432391647,-0.340913770337725,-0.225902574450034,-0.260284133953233
K400343160,左B柱加强板焊接合件,P,01A01,A-5a,0.6,-0.6,-0.0815986733840787,-0.107622610888572,-0.0570555553749371,-0.029905620911911
K400343160,左B柱加强板焊接合件,,01A01,A-5b,0.6,-0.6,-0.174675867367075,-0.212896802810713,-0.149980669994217,-0.158876155337474
K400343160,左B柱加强板焊接合件,P,01A01,A-6a,0.6,-0.6,-0.00574999260543926,-0.0215600414822133,0.0137663788548263,-0.115287396292341
K400343160,左B柱加强板焊接合件,P,01A01,A-6b,0.6,-0.6,-0.129122352954806,-0.150681872297189,-0.111197641236586,-0.1849615641967
K400343160,左B柱加强板焊接合件,P,01A01,A-7a,0.6,-0.6,-0.162193723299375,-0.354323248939681,-0.0572770645154696,-0.591042895083113
K400343160,左B柱加强板焊接合件,P,01A01,A-7b,0.6,-0.6,-0.343520710870136,-0.299395282009784,-0.272966320538817,-0.30980633074511
K400343160,左B柱加强板焊接合件,P,01A01,A-8a,0.6,-0.6,-0.245742575954127,-0.148422211614328,-0.23630870299412,-0.502616782960865
K400343160,左B柱加强板焊接合件,P,01A01,A-8b,0.6,-0.6,0.0512219466177261,0.144934630725667,0.0612973590164686,-0.36329733022574
K400343160,左B柱加强板焊接合件,P,01A01,A-9a,0.6,-0.6,-0.0617409244487793,0.0645486136316065,-0.190205584973678,-0.421514210553596
K400343160,左B柱加强板焊接合件,P,01A01,A-9b,0.6,-0.6,0.26157163307983,0.26841443563981,0.196069499547633,-0.240706335872891
K400343160,左B柱加强板焊接合件,P,01A01,A-10a,0.6,-0.6,0.519549110679515,0.571228391700125,0.362677275340524,-0.0938147546885765
K400343160,左B柱加强板焊接合件,P,01A01,A-10b,0.6,-0.6,0.439191714852238,0.425023552965742,0.436069599541414,-0.484909065107088
K400343160,左B柱加强板焊接合件,P,01A01,A-11a,0.6,-0.6,-0.0694869559555676,0.243607952125087,-0.0349414954528563,-0.515941737701284
K400343160,左B柱加强板焊接合件,P,01A01,A-11b,0.6,-0.6,-0.408028515300232,-0.146563779317729,-0.481308599385161,-0.428776750600322
K400343160,左B柱加强板焊接合件,P,01A01,A-12a,0.6,-0.6,-0.100099638164702,0.130500700358849,-0.13589887417378,-0.438117003221433
K400343160,左B柱加强板焊接合件,P,01A01,A-12b,0.6,-0.6,-0.571615806710385,-0.343551230629721,-0.427886564337668,-0.227798031448546
K400343160,左B柱加强板焊接合件,P,01A01,A-13a,0.6,-0.6,-0.463176398224163,-0.494965062040437,-0.638614468074331,-0.831837310477163
K400343160,左B柱加强板焊接合件,P,01A01,A-13b,0.6,-0.6,-0.974229688269362,-1.03580607490954,-1.05667987404629,-0.4904287862233
K400343160,左B柱加强板焊接合件,P,01A01,A-14a,0.6,-0.6,-0.341996037166672,-0.357160020766313,-0.233897304479621,-0.38878276993979
K400343160,左B柱加强板焊接合件,P,01A01,A-14b,0.6,-0.6,-0.775941228077522,-0.815936692426339,-0.739967280172052,-1.04029749423134
K400343160,左B柱加强板焊接合件,P,01A01,A-15a,0.6,-0.6,-0.159720532656217,-0.410096266113255,-0.301656272408842,-0.216567781592996
