零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400341160,左侧围,1.0,01A01,1X,-0.4,-1.6,-0.88,-0.902,-0.867,-0.876
K400341160,左侧围,1.0,01A01,2X,-0.4,-1.6,-0.868,,,
K400341160,左侧围,1.0,01A01,1Z,0.6,-0.6,0.035,0.034,0.042,0.036
K400341160,左侧围,1.0,01A01,2Z,0.6,-0.6,0.013,,,
K400341160,左侧围,1.0,01A02,7X,0.6,-0.6,0.083,,,
K400341160,左侧围,1.0,01A02,7Z,0.6,-0.6,0.001,,,
K400341160,左侧围,1.0,01A02,9X,0.6,-0.6,0.236,,,
K400341160,左侧围,1.0,01A02,9Z,0.6,-0.6,-0.032,,,
K400341160,左侧围,1.0,01B01,3,0.0,-1.0,-0.889,,,
K400341160,左侧围,1.0,01B01,4,0.0,-1.0,-0.899,-0.899,-0.914,-0.906
K400341160,左侧围,1.0,01B01,5,0.0,-1.0,-0.886,,,
K400341160,左侧围,1.0,01B01,6,0.0,-1.0,-0.823,,,
K400341160,左侧围,1.0,01B01,10,0.0,-1.0,-0.805,-0.779,-0.868,-0.798
K400341160,左侧围,1.0,01B01,11,0.0,-1.0,-0.797,,,
K400341160,左侧围,1.0,01B01,12,0.0,-1.0,-0.807,,,
K400341160,左侧围,1.0,01B01,13,0.0,-1.0,-0.769,,,
K400341160,左侧围,1.0,01B02,8X,0.3,-0.3,0.181,0.255,0.197,0.23
K400341160,左侧围,1.0,01B02,8Z,0.3,-0.3,0.046,0.033,0.04,0.037
K400341160,左侧围,2.0,01D01,1,0.6,0.0,0.067,,,
K400341160,左侧围,1.0,02A01,1X,-0.4,-1.6,-0.847,-0.813,-0.817,-0.848
K400341160,左侧围,1.0,02A01,2X,-0.4,-1.6,-0.881,,,
K400341160,左侧围,1.0,02A01,1Z,0.6,-0.6,0.024,0.0,-0.02,-0.021
K400341160,左侧围,1.0,02A01,2Z,0.6,-0.6,0.006,,,
K400341160,左侧围,1.0,02A02,3x,0.6,-0.6,0.268,,,
K400341160,左侧围,1.0,02A02,3z,0.6,-0.6,-0.191,,,
K400341160,左侧围,1.0,02A02,4x,0.6,-0.6,0.289,,,
K400341160,左侧围,1.0,02A02,4z,0.6,-0.6,0.007,,,
K400341160,左侧围,1.0,02B01,5,0.0,-1.0,-0.502,,,
K400341160,左侧围,1.0,02B01,6,0.0,-1.0,-0.528,-0.536,-0.533,-0.541
K400341160,左侧围,1.0,02B01,7,0.0,-1.0,-0.567,,,
K400341160,左侧围,1.0,02B01,8,0.0,-1.0,-0.556,,,
K400341160,左侧围,1.0,02B01,9,0.0,-1.0,-0.423,-0.415,-0.424,-0.42
K400341160,左侧围,1.0,02B01,10,0.0,-1.0,-0.544,,,
K400341160,左侧围,1.0,02B01,11,0.0,-1.0,-0.52,,,
K400341160,左侧围,1.0,02B01,12,0.0,-1.0,-0.557,,,
K400341160,左侧围,1.0,02B02,13x,0.3,-0.3,0.338,0.402,0.357,0.343
K400341160,左侧围,1.0,02B02,13z,0.3,-0.3,-0.092,-0.106,-0.129,-0.136
K400341160,左侧围,2.0,02D01,1,0.6,0.0,0.09,,,
K400341160,左侧围,1.0,03A01,1,0.6,-0.6,0.26,,,
K400341160,左侧围,1.0,03A01,2,0.6,-0.6,0.341,,,
K400341160,左侧围,1.0,03A01,3,0.6,-0.6,0.214,,,
K400341160,左侧围,1.0,03A01,4,0.6,-0.6,0.238,,,
K400341160,左侧围,2.0,03A02,1,0.6,0.0,0.023,,,
K400341160,左侧围,1.0,03B01,5Y,0.5,-0.5,0.175,0.165,0.185,0.17
K400341160,左侧围,1.0,03B01,5Z,0.5,-0.5,-0.16,-0.184,-0.205,-0.197
K400341160,左侧围,1.0,03B01,6Y,0.5,-0.5,0.292,,,
K400341160,左侧围,1.0,03B01,6Z,0.5,-0.5,-0.151,,,
K400341160,左侧围,1.0,04A01,7,0.6,-0.6,-0.287,,,
K400341160,左侧围,1.0,04A01,8,0.6,-0.6,-0.322,,,
K400341160,左侧围,1.0,04A01,9,0.6,-0.6,-0.16,,,
K400341160,左侧围,1.0,04A01,10,0.6,-0.6,-0.113,,,
K400341160,左侧围,2.0,04A02,1,0.6,0.0,0.016,,,
K400341160,左侧围,1.0,04A03,11,0.6,-0.6,0.344,,,
K400341160,左侧围,1.0,04A03,12,0.6,-0.6,0.324,,,
K400341160,左侧围,1.0,04B01,13Y,0.5,-0.5,-0.27,-0.319,-0.22,-0.271
K400341160,左侧围,1.0,04B01,13Z,0.5,-0.5,-0.317,-0.311,-0.329,-0.308
K400341160,左侧围,1.0,04B01,14Y,0.5,-0.5,-0.265,,,
K400341160,左侧围,1.0,04B01,14Z,0.5,-0.5,-0.291,,,
K400341160,左侧围,1.0,06A01,1,0.5,-0.5,0.005,,,
K400341160,左侧围,1.0,06A01,2,0.5,-0.5,0.046,,,
K400341160,左侧围,1.0,06A01,3,0.5,-0.5,0.198,,,
K400341160,左侧围,1.0,06A02,4Y,0.5,-0.5,0.289,,,
K400341160,左侧围,1.0,06A02,4Z,0.5,-0.5,0.178,,,
K400341160,左侧围,1.0,06B01,5a,0.75,-0.75,0.511,0.472,0.52,0.513
K400341160,左侧围,1.0,06B01,5b,0.75,-0.75,0.778,,,
K400341160,左侧围,1.0,06B01,6a,0.75,-0.75,0.259,,,
K400341160,左侧围,1.0,06B01,6b,0.75,-0.75,0.246,,,
K400341160,左侧围,1.0,06B01,7a,0.75,-0.75,0.57,,,
K400341160,左侧围,1.0,06B01,7b,0.75,-0.75,0.664,,,
K400341160,左侧围,1.0,06B01,8a,0.75,-0.75,0.683,0.618,0.733,0.704
K400341160,左侧围,1.0,06B01,8b,0.75,-0.75,0.768,,,
K400341160,左侧围,1.0,06B01,9a,0.75,-0.75,0.782,,,
K400341160,左侧围,1.0,06B01,9b,0.75,-0.75,0.909,,,
K400341160,左侧围,1.0,06B01,10a,0.75,-0.75,0.761,,,
K400341160,左侧围,1.0,06B01,10b,0.75,-0.75,0.894,,,
K400341160,左侧围,1.0,06B01,11a,0.75,-0.75,0.321,,,
K400341160,左侧围,1.0,06B01,11b,0.75,-0.75,0.304,,,
K400341160,左侧围,1.0,06B01,12a,0.75,-0.75,0.089,,,
K400341160,左侧围,1.0,06B01,12b,0.75,-0.75,0.048,,,
K400341160,左侧围,1.0,06B01,13a,0.75,-0.75,0.064,0.073,0.079,0.106
K400341160,左侧围,1.0,06B01,13b,0.75,-0.75,0.061,,,
K400341160,左侧围,1.0,06B01,14a,0.75,-0.75,0.132,,,
K400341160,左侧围,1.0,06B01,14b,0.75,-0.75,0.174,,,
K400341160,左侧围,1.0,06B01,15a,0.75,-0.75,0.143,,,
K400341160,左侧围,1.0,06B01,15b,0.75,-0.75,0.249,,,
K400341160,左侧围,1.0,06B01,16a,0.75,-0.75,0.173,,,
K400341160,左侧围,1.0,06B01,16b,0.75,-0.75,0.228,,,
K400341160,左侧围,1.0,06B01,17a,0.75,-0.75,0.24,,,
K400341160,左侧围,1.0,06B01,17b,0.75,-0.75,0.294,,,
K400341160,左侧围,1.0,06B01,18a,0.75,-0.75,0.294,,,
K400341160,左侧围,1.0,06B01,18b,0.75,-0.75,0.383,,,
K400341160,左侧围,1.0,06B01,19a,0.75,-0.75,0.355,,,
K400341160,左侧围,1.0,06B01,19b,0.75,-0.75,0.487,,,
K400341160,左侧围,1.0,06B01,20a,0.75,-0.75,0.208,,,
K400341160,左侧围,1.0,06B01,20b,0.75,-0.75,0.352,,,
K400341160,左侧围,2.0,06B02,1,0.75,0.0,0.586,,,
K400341160,左侧围,2.0,06B02,2,0.75,0.0,0.087,,,
K400341160,左侧围,1.0,06B03,1a,0.75,-0.75,-0.267,-0.266,-0.236,-0.254
K400341160,左侧围,1.0,06B03,1b,0.75,-0.75,-0.178,,,
K400341160,左侧围,1.0,06B03,2a,0.75,-0.75,0.042,,,
K400341160,左侧围,1.0,06B03,2b,0.75,-0.75,0.067,,,
K400341160,左侧围,1.0,06B03,3a,0.75,-0.75,0.079,,,
K400341160,左侧围,1.0,06B03,3b,0.75,-0.75,0.032,,,
K400341160,左侧围,1.0,06B03,4a,0.75,-0.75,-0.022,0.036,0.065,0.139
K400341160,左侧围,1.0,06B03,4b,0.75,-0.75,-0.058,,,
K400341160,左侧围,1.0,06B03,5a,0.75,-0.75,-0.143,,,
K400341160,左侧围,1.0,06B03,5b,0.75,-0.75,0.013,,,
K400341160,左侧围,1.0,06B03,6a,0.75,-0.75,-0.117,,,
K400341160,左侧围,1.0,06B03,6b,0.75,-0.75,0.081,,,
K400341160,左侧围,1.0,06B03,7a,0.75,-0.75,0.08,,,
K400341160,左侧围,1.0,06B03,7b,0.75,-0.75,0.337,,,
K400341160,左侧围,1.0,06B03,8a,0.75,-0.75,-0.088,,,
K400341160,左侧围,1.0,06B03,8b,0.75,-0.75,0.284,,,
K400341160,左侧围,1.0,06B03,9a,0.75,-0.75,-0.113,-0.015,-0.142,-0.018
K400341160,左侧围,1.0,06B03,9b,0.75,-0.75,0.245,,,
K400341160,左侧围,1.0,06B03,10a,0.75,-0.75,0.013,,,
K400341160,左侧围,1.0,06B03,10b,0.75,-0.75,-0.01,,,
K400341160,左侧围,1.0,06B03,11a,0.75,-0.75,0.141,,,
K400341160,左侧围,1.0,06B03,11b,0.75,-0.75,0.071,,,
K400341160,左侧围,1.0,06B03,12a,0.75,-0.75,0.194,,,
K400341160,左侧围,1.0,06B03,12b,0.75,-0.75,0.092,,,
K400341160,左侧围,1.0,06B03,13a,0.75,-0.75,0.212,,,
K400341160,左侧围,1.0,06B03,13b,0.75,-0.75,0.12,,,
K400341160,左侧围,1.0,06B03,14a,0.75,-0.75,0.134,,,
K400341160,左侧围,1.0,06B03,14b,0.75,-0.75,0.07,,,
K400341160,左侧围,1.0,06B03,15a,0.75,-0.75,-0.014,,,
K400341160,左侧围,1.0,06B03,15b,0.75,-0.75,-0.048,,,
K400341160,左侧围,1.0,06B03,16a,0.75,-0.75,-0.237,,,
K400341160,左侧围,1.0,06B03,16b,0.75,-0.75,-0.291,,,
K400341160,左侧围,2.0,06B04,1,0.75,0.0,0.402,,,
K400341160,左侧围,2.0,06B04,2,0.75,0.0,0.355,,,
K400341160,左侧围,2.0,06B05,2,0.6,-0.6,0.039,,,
K400341160,左侧围,2.0,06B05,4,0.6,-0.6,-0.214,,,
K400341160,左侧围,2.0,06B05,6,0.6,-0.6,0.188,,,
K400341160,左侧围,2.0,06B05,8,0.6,-0.6,0.253,,,
K400341160,左侧围,2.0,06B05,10,0.6,-0.6,0.416,,,
K400341160,左侧围,2.0,06B05,13,0.6,-0.6,0.148,,,
K400341160,左侧围,2.0,06B05,16,0.6,-0.6,0.177,,,
K400341160,左侧围,1.0,06C01,1a,0.75,-0.75,-0.074,-0.091,-0.079,-0.055
K400341160,左侧围,1.0,06C01,1b,0.75,-0.75,-0.108,,,
K400341160,左侧围,1.0,06C01,2a,0.75,-0.75,-0.021,,,
K400341160,左侧围,1.0,06C01,2b,0.75,-0.75,-0.254,,,
K400341160,左侧围,1.0,06C01,3a,0.75,-0.75,0.343,,,
K400341160,左侧围,1.0,06C01,3b,0.75,-0.75,0.059,,,
K400341160,左侧围,1.0,06C01,4a,0.75,-0.75,-0.213,-0.198,-0.235,-0.155
K400341160,左侧围,1.0,06C01,4b,0.75,-0.75,-0.472,,,
K400341160,左侧围,1.0,06C01,5a,0.75,-0.75,-0.314,,,
K400341160,左侧围,1.0,06C01,5b,0.75,-0.75,-0.246,,,
K400341160,左侧围,1.0,06C01,6a,0.75,-0.75,-0.339,,,
K400341160,左侧围,1.0,06C01,6b,0.75,-0.75,-0.511,,,
K400341160,左侧围,1.0,06C01,7a,0.75,-0.75,0.083,0.058,0.032,0.07
K400341160,左侧围,1.0,06C01,7b,0.75,-0.75,-0.101,,,
K400341160,左侧围,1.0,06C01,8a,0.75,-0.75,0.127,,,
K400341160,左侧围,1.0,06C01,8b,0.75,-0.75,0.02,,,
K400341160,左侧围,1.0,06C01,9a,0.75,-0.75,-0.345,-0.381,-0.41,-0.374
K400341160,左侧围,1.0,06C01,9b,0.75,-0.75,-0.517,,,
