零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400412760,左侧围里板总成,P,01A01,A-1,0.6,-0.6,0.28686038769936,0.407736485749451,0.342344544321598,0.3721107759854
K400412760,左侧围里板总成,P,01A01,A-2,0.6,-0.6,0.367406148743234,0.322046387448667,0.260388356883136,0.29008409012453
K400412760,左侧围里板总成,P,01A01,A-3,0.6,-0.6,-0.241256699556223,-0.254308614500913,-0.35572839981197,-0.288719101589891
K400412760,左侧围里板总成,P,01A01,A-4,0.6,-0.6,-0.385411816373652,-0.424838511262165,-0.307114643253331,-0.436517923399032
K400412760,左侧围里板总成,P,01A01,A-5,0.6,-0.6,-0.30276147886275,-0.322744803250092,-0.35446398946785,-0.38958985624486
K400412760,左侧围里板总成,P,01A01,A-6,0.6,-0.6,-0.388248965276024,-0.360982915027762,-0.330819150919963,-0.324252974947226
K400412760,左侧围里板总成,P,01A01,A-7,0.6,-0.6,-0.382222165443501,-0.280520437814728,-0.276481914069426,-0.311828164775091
K400412760,左侧围里板总成,P,01A01,A-8,0.6,-0.6,-0.382659139557909,-0.262917163054014,-0.372171184747653,-0.385165744881224
K400412760,左侧围里板总成,P,01A01,A-9,0.6,-0.6,-0.53179255383174,-0.39586614155612,-0.37299286633253,-0.27418404221603
K400412760,左侧围里板总成,P,01A01,A-10,0.6,-0.6,-0.54163019237308,-0.36688235687759,-0.37508002916992,-0.22281359715917
K400412760,左侧围里板总成,P,01A01,A-11,0.6,-0.6,-0.31954895289015,-0.56096488314098,-0.27972142517552,-0.24444243018587
K400412760,左侧围里板总成,P,01A01,A-12,0.6,-0.6,-0.3260350489244,-0.51022630833911,-0.26594154709586,-0.3327886844267
K400412760,左侧围里板总成,P,01A01,A-13,0.6,-0.6,-0.252187085953109,-0.393291115295075,-0.354841489863563,-0.373437625173448
K400412760,左侧围里板总成,P,01A01,A-14,0.6,-0.6,-0.386200618457315,-0.450706998973085,-0.3032143515937,-0.362039786707435
K400412760,左侧围里板总成,P,01A01,A-15,0.6,-0.6,-0.348142317591542,-0.325271139002239,-0.254999992127474,-0.368623880774566
