零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400344860,左侧门槛加强梁,P,01A01,A-1a,0.6,-0.6,0.17305334910287,-0.02694665089713,-0.099325075220983,-0.149520526021502
K400344860,左侧门槛加强梁,P,01A01,A-1b,0.6,-0.6,0.23101520881434,-0.06898479118566,-0.148650505016164,-0.053610428630078
K400344860,左侧门槛加强梁,P,01A01,A-2a,0.6,-0.6,-0.0769432978010119,-0.17694329780101,0.00339771776225994,0.0573570948005599
K400344860,左侧门槛加强梁,P,01A01,A-2b,0.6,-0.6,0.13280828593665,0.16719171406335,0.14842926974825,0.25346239357635
K400344860,左侧门槛加强梁,P,01A01,A-3a,0.6,-0.6,0.23960861601825,0.06039138398175,0.41174530602673,0.3754822451724
K400344860,左侧门槛加强梁,P,01A01,A-3b,0.6,-0.6,0.27958483260173,0.02041516739827,0.17805952461952,0.2785406455186
K400344860,左侧门槛加强梁,P,01A01,A-4a,0.6,-0.6,0.353247530713578,0.25324753071358,0.3473105690728,0.27829439829517
K400344860,左侧门槛加强梁,P,01A01,A-4b,0.6,-0.6,0.334087580882988,0.341169499268381,0.25190818505871,0.357304857825693
K400344860,左侧门槛加强梁,P,01A01,A-5a,0.6,-0.6,0.299676210193047,0.203655255988633,0.474678490339102,0.406191768418012
K400344860,左侧门槛加强梁,P,01A01,A-5b,0.6,-0.6,0.284033684848873,0.213500220768765,0.36799448596671,0.210263664581908
K400344860,左侧门槛加强梁,P,01A01,A-6a,0.6,-0.6,0.299975815337075,0.42141374509265,0.329046008842852,0.267228599490863
K400344860,左侧门槛加强梁,P,01A01,A-6b,0.6,-0.6,0.32653543212455,0.338348416331428,0.294543221069489,0.224116478558699
K400344860,左侧门槛加强梁,P,01A01,A-7a,0.6,-0.6,0.158766323841974,-0.0568855460223858,-0.171701946044323,-0.06574994450857
K400344860,左侧门槛加强梁,P,01A01,A-7b,0.6,-0.6,0.31977351483647,0.204554088523855,0.51203602844862,0.434193641478032
K400344860,左侧门槛加强梁,P,01A01,A-8a,0.6,-0.6,0.168814660051157,0.1258236284757,-0.00119999048001773,-0.16330907688598
K400344860,左侧门槛加强梁,P,01A01,A-8b,0.6,-0.6,0.202470950986844,0.275213296541733,0.4512554350149,0.368057899282576
K400344860,左侧门槛加强梁,P,01A01,A-9a,0.6,-0.6,-0.100666724753864,0.0691633109727263,0.074663447380408,0.268361632622145
K400344860,左侧门槛加强梁,P,01A01,A-9b,0.6,-0.6,0.344250797463246,0.434401170898582,0.375292711439737,0.203090547393526
K400344860,左侧门槛加强梁,P,01A01,A-10a,0.6,-0.6,-0.0903826875642153,0.222669642673281,0.176458399887246,0.285422458742755
K400344860,左侧门槛加强梁,P,01A01,A-10b,0.6,-0.6,0.211564641323821,0.416929216239441,0.20639632194623,0.528398511905447
K400344860,左侧门槛加强梁,P,01A01,A-11a,0.6,-0.6,0.14289182224307,0.20870777199384,0.20369963938403,-0.097587557567047
K400344860,左侧门槛加强梁,P,01A01,A-11b,0.6,-0.6,-0.31362267787429,-0.148778086592037,0.0696852647913799,-0.00113844002002395
K400344860,左侧门槛加强梁,P,01A01,A-12a,0.6,-0.6,-0.013611991626086,0.30604141205631,0.12259113492458,-0.0685185068291589
K400344860,左侧门槛加强梁,P,01A01,A-12b,0.6,-0.6,-0.176580508679569,-0.201638227538028,-0.181216377827901,0.13703787563408
K400344860,左侧门槛加强梁,P,01A01,A-13a,0.6,-0.6,-0.05350967229438,0.17467005185997,0.113378270875,0.067398406013066
K400344860,左侧门槛加强梁,P,01A01,A-13b,0.6,-0.6,0.296,0.158,0.018,0.123
K400344860,左侧门槛加强梁,P,01A01,A-14a,0.6,-0.6,0.234,0.195,0.169,0.019
K400344860,左侧门槛加强梁,P,01A01,A-14b,0.6,-0.6,0.161,0.201,0.142,0.215
K400344860,左侧门槛加强梁,P,01A01,A-15a,0.6,-0.6,-0.134,-0.054,-0.216,-0.115
K400344860,左侧门槛加强梁,P,01A01,A-15b,0.6,-0.6,0.216,0.019,0.146,0.221
K400344860,左侧门槛加强梁,P,01A01,A-16a,0.6,-0.6,0.133,0.037,0.238,0.119
K400344860,左侧门槛加强梁,P,01A01,A-16b,0.6,-0.6,0.195,0.225,0.169,0.121
K400344860,左侧门槛加强梁,P,01A01,A-17a,0.6,-0.6,-0.186,-0.166,-0.008,-0.224
K400344860,左侧门槛加强梁,P,01A01,A-17b,0.6,-0.6,-0.076,-0.003,-0.125,-0.201
K400344860,左侧门槛加强梁,P,01A01,A-18a,0.6,-0.6,-0.168,-0.078,-0.219,-0.146
K400344860,左侧门槛加强梁,P,01A01,A-18b,0.6,-0.6,0.125,0.219,0.243,0.134
K400344860,左侧门槛加强梁,P,01A01,A-19a,0.6,-0.6,-0.149,-0.201,-0.157,-0.076
K400344860,左侧门槛加强梁,P,01A01,A-19b,0.6,-0.6,-0.204,-0.156,-0.238,-0.12
K400344860,左侧门槛加强梁,P,01A01,A-20a,0.6,-0.6,-0.176,-0.018,-0.162,-0.214
K400344860,左侧门槛加强梁,P,01A01,A-20b,0.6,-0.6,-0.135,-0.129,-0.237,-0.104
K400344860,左侧门槛加强梁,P,01A01,A-21a,0.6,-0.6,-0.114,-0.208,-0.169,-0.016
K400344860,左侧门槛加强梁,P,01A01,A-21b,0.6,-0.6,-0.168,-0.169,-0.037,-0.151
K400344860,左侧门槛加强梁,P,01A01,A-22a,0.6,-0.6,0.125,0.078,0.238,0.124
K400344860,左侧门槛加强梁,P,01A01,A-22b,0.6,-0.6,-0.116,-0.107,-0.216,-0.106
K400344860,左侧门槛加强梁,P,01A01,A-23a,0.6,-0.6,0.214,0.079,0.123,0.276
K400344860,左侧门槛加强梁,P,01A01,A-23b,0.6,-0.6,0.1325,0.21462,0.12054,0.2143
K400344860,左侧门槛加强梁,P,02A01,A-1,0.6,-0.6,0.210354,0.450972033679248,0.375175921750609,0.356221738127372
K400344860,左侧门槛加强梁,P,02A01,A-2,0.6,-0.6,0.21034,0.390707543563108,0.459354219948862,0.470123110949997
K400344860,左侧门槛加强梁,P,02A01,A-3,0.6,-0.6,0.2105,0.151676895500542,-0.052817166437309,-0.177086885828432
K400344860,左侧门槛加强梁,P,02A01,A-4,0.6,-0.6,0.12043,0.0749044910273809,0.113111509171402,0.036434434094359
K400344860,左侧门槛加强梁,P,02A01,A-5,0.6,-0.6,0.2105,0.216571499967243,0.138190597208391,0.028224707488049
K400344860,左侧门槛加强梁,P,02A01,A-6,0.6,-0.6,0.3124,0.186726857799441,0.330088638074583,0.231636800889701
K400344860,左侧门槛加强梁,P,02A01,A-7,0.6,-0.6,0.2015,0.2103,0.214,0.241
K400344860,左侧门槛加强梁,P,31A01,A-8,0.6,-0.6,0.163,0.235,0.157,0.215
K400344860,左侧门槛加强梁,P,31A01,A-9,0.6,-0.6,-0.133,-0.076,-0.231,-0.104
K400344860,左侧门槛加强梁,P,31A01,A-10,0.6,-0.6,0.212,0.125,0.214,0.015
K400344860,左侧门槛加强梁,P,31A01,A-11,0.6,-0.6,0.198,0.241,0.125,0.121
K400344860,左侧门槛加强梁,P,31A01,A-12,0.6,-0.6,0.143,0.215,0.13624,0.12045
K400344860,左侧门槛加强梁,P,04A01,A-1a,0.6,-0.6,-0.038041,0.00195899999999999,-0.129041,-0.063041
K400344860,左侧门槛加强梁,P,04A01,A-1b,0.6,-0.6,0.012959,-0.00504100000000002,-0.120041,-0.019041
K400344860,左侧门槛加强梁,P,04A01,A-2a,0.6,-0.6,-0.368041,-0.365041,-0.221041,-0.395041
K400344860,左侧门槛加强梁,P,04A01,A-2b,0.6,-0.6,-0.214041,-0.159041,-0.442041,-0.305041
K400344860,左侧门槛加强梁,P,04A01,A-3a,0.6,-0.6,-0.392041,-0.346041,-0.2142,-0.457041
K400344860,左侧门槛加强梁,P,04A01,A-3b,0.6,-0.6,-0.198041,-0.204041,-0.480041,-0.277041
K400344860,左侧门槛加强梁,P,04A01,A-4a,0.6,-0.6,-0.362041,-0.369041,-0.31024,-0.415041
K400344860,左侧门槛加强梁,P,04A01,A-4b,0.6,-0.6,-0.285041,-0.276041,-0.560041,-0.447041
K400344860,左侧门槛加强梁,P,04A01,A-5a,0.6,-0.6,-0.389041,-0.374041,-0.210543,-0.559041
K400344860,左侧门槛加强梁,P,04A01,A-5b,0.6,-0.6,0.153959,0.159959,0.111959,0.174959
K400344860,左侧门槛加强梁,P,04A01,A-6a,0.6,-0.6,-0.101041,-0.102041,-0.121041,-0.088041
K400344860,左侧门槛加强梁,P,04A01,A-6b,0.6,-0.6,-0.138041,-0.172041,-0.135041,-0.092041
K400344860,左侧门槛加强梁,P,04A01,A-7a,0.6,-0.6,0.190959,0.126959,0.229959,0.212959
K400344860,左侧门槛加强梁,P,04A01,A-7b,0.6,-0.6,-0.267041,-0.322041,-0.183041,-0.207041
K400344860,左侧门槛加强梁,P,04A01,A-8,0.6,-0.6,-0.286041,-0.345041,-0.214041,-0.250041
K400344860,左侧门槛加强梁,P,04A01,A-9,0.6,-0.6,0.00895899999999999,0.361959,0.146959,0.120959
K400344860,左侧门槛加强梁,P,04A01,A-10,0.6,-0.6,-0.278041,-0.028041,-0.187041,-0.132041
K400344860,左侧门槛加强梁,P,04A01,A-11,0.6,-0.6,-0.4155,-0.2805,-0.4415,-0.4225
K400344860,左侧门槛加强梁,P,04A01,A-12,0.6,-0.6,-0.3505,-0.3405,-0.2925,-0.4555
K400344860,左侧门槛加强梁,P,04A01,A-13,0.6,-0.6,-0.3805,-0.3355,-0.3785,-0.3605
K400344860,左侧门槛加强梁,P,04A01,A-14,0.6,-0.6,-0.2105,-0.4655,-0.2965,-0.4655
K400344860,左侧门槛加强梁,P,04A01,A-15,0.6,-0.6,-0.328041,-0.024041,-0.262041,-0.412041
K400344860,左侧门槛加强梁,P,04A01,A-16,0.6,-0.6,-0.162041,0.084959,-0.147041,-0.256041
K400344860,左侧门槛加强梁,P,05CA01,A-1,0.6,-0.6,-0.21054,-0.210354,-0.15421,-0.2445
K400344860,左侧门槛加强梁,P,05CA01,A-2,0.6,-0.6,0.2103,0.31024,0.3214,0.251
K400344860,左侧门槛加强梁,P,05CA01,A-3,0.6,-0.6,0.3241,0.20152,0.31406,0.25014
K400344860,左侧门槛加强梁,P,05CA01,A-4,0.6,-0.6,0.21009,0.2416,0.34182,0.34182
K400344860,左侧门槛加强梁,P,05CA01,A-5,0.6,-0.6,0.2604,0.3147,0.2015,0.1605
