零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300331560,左前翼子板,1.0,01A01,1,0.5,-0.5,-0.558,,,
K300331560,左前翼子板,1.0,01A01,2,0.5,-0.5,-0.556,,,
K300331560,左前翼子板,1.0,01A01,3,0.5,-0.5,-0.326,,,
K300331560,左前翼子板,1.0,01A01,4,0.5,-0.5,-0.213,,,
K300331560,左前翼子板,1.0,01A01,5,0.5,-0.5,-0.047,,,
K300331560,左前翼子板,1.0,01A01,6,0.5,-0.5,0.821,1.264,0.582,0.857
K300331560,左前翼子板,1.0,01A01,7,0.5,-0.5,1.16,,,
K300331560,左前翼子板,1.0,01A01,8,0.5,-0.5,1.564,,,
K300331560,左前翼子板,1.0,01A01,9,0.5,-0.5,1.769,,,
K300331560,左前翼子板,1.0,01A01,17,0.5,-0.5,0.171,,,
K300331560,左前翼子板,1.0,01A02,16X,0.5,-0.5,-0.043,-0.017,-0.111,-0.111
K300331560,左前翼子板,1.0,01A02,16Z,0.5,-0.5,0.103,-0.239,0.204,0.05
K300331560,左前翼子板,1.0,01B01,10,0.75,-0.75,-0.402,,,
K300331560,左前翼子板,1.0,01B01,11,0.75,-0.75,-0.246,,,
K300331560,左前翼子板,1.0,01B01,12,0.75,-0.75,-0.253,-0.288,-0.005,-0.229
K300331560,左前翼子板,1.0,01B01,13,0.75,-0.75,-0.445,,,
K300331560,左前翼子板,1.0,01B01,14,0.75,-0.75,-0.549,,,
K300331560,左前翼子板,1.0,01B01,15,0.75,-0.75,-0.997,,,
K300331560,左前翼子板,2.0,01B02,1,0.75,0.0,0.263,,,
K300331560,左前翼子板,1.0,01B03,10a,0.6,-0.6,-0.477,,,
K300331560,左前翼子板,1.0,01B03,10b,0.6,-0.6,-0.416,,,
K300331560,左前翼子板,1.0,01B03,11a,0.6,-0.6,-0.541,,,
K300331560,左前翼子板,1.0,01B03,11b,0.6,-0.6,-0.336,,,
K300331560,左前翼子板,1.0,01B03,12a,0.6,-0.6,-0.066,,,
K300331560,左前翼子板,1.0,01B03,12b,0.6,-0.6,-0.347,,,
K300331560,左前翼子板,1.0,01B03,13a,0.6,-0.6,-0.005,,,
K300331560,左前翼子板,1.0,01B03,13b,0.6,-0.6,0.16,,,
K300331560,左前翼子板,1.0,01B03,14a,0.6,-0.6,0.063,-0.127,0.146,0.057
K300331560,左前翼子板,1.0,01B03,14b,0.6,-0.6,0.073,,,
K300331560,左前翼子板,1.0,01B03,15a,0.6,-0.6,0.033,,,
K300331560,左前翼子板,1.0,01B03,15b,0.6,-0.6,0.046,,,
K300331560,左前翼子板,2.0,01B04,1,0.6,0.0,0.154,,,
K300331560,左前翼子板,1.0,02B01,1,0.6,-0.6,-0.697,-0.736,-0.706,-0.688
K300331560,左前翼子板,1.0,02B01,2,0.6,-0.6,-0.518,,,
K300331560,左前翼子板,1.0,02B01,3,0.6,-0.6,-0.728,,,
