零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300334760,左前翼子板后下固定支架总成,P,01A01,A-1,0.5,-0.5,-0.24,-0.161,-0.17,0.08
K300334760,左前翼子板后下固定支架总成,P,01A01,A-2,0.5,-0.5,0.16,0.14,0.15,0.13
K300334760,左前翼子板后下固定支架总成,P,01A01,A-3,0.5,-0.5,0.07,0.02,0.05,0.14
K300334760,左前翼子板后下固定支架总成,P,01A01,A-4,0.5,-0.5,0.07,-0.102,-0.137,-0.123
K300334760,左前翼子板后下固定支架总成,P,01A02,A-5,0.5,-0.5,0.154,0.113,-0.145,-0.123
K300334760,左前翼子板后下固定支架总成,P,01A02,A-6,0.5,-0.5,-0.106,-0.107,0.102,0.1304
K300334760,左前翼子板后下固定支架总成,P,01A02,A-7,0.5,-0.5,0.1403,0.092,0.083,0.1505
K300334760,左前翼子板后下固定支架总成,P,01A02,A-8,0.5,-0.5,-0.08,-0.13,0.01,0.15
K300334760,左前翼子板后下固定支架总成,P,02A01,A-9,0.5,-0.5,-0.091,-0.128,-0.0706,-0.12
K300334760,左前翼子板后下固定支架总成,P,02A01,A-10,0.5,-0.5,-0.12,-0.164,0.075,0.072
K300334760,左前翼子板后下固定支架总成,P,03A01,A-11,0.5,-0.5,-0.1106,-0.15,-0.126,-0.07
K300334760,左前翼子板后下固定支架总成,P,03A01,A-11,0.5,-0.5,-0.124,-0.06,-0.13,-0.106
