零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-1a,0.6,-0.6,0.0412453841203614,0.013952308001002,0.0651504630911068,0.0652414886365314
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-1b,0.6,-0.6,-0.106020829449189,-0.108275798288545,-0.0734875675312288,-0.0672281753543486
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-2a,0.6,-0.6,0.157888387199752,0.159678087763443,0.174004555151067,0.224326403274521
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-2b,0.6,-0.6,0.0210648818350678,0.0225923087173732,0.00727752217895352,0.0510870050962515
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-3a,0.6,-0.6,-0.116208916844018,-0.149406939418914,-0.140503381394938,-0.0662544758492196
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-3b,0.6,-0.6,-0.14952860907648,-0.175038168661112,-0.198949680133869,-0.119430021861634
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-4a,0.6,-0.6,0.0246889729362608,-0.0309457046138906,-0.0538874552917293,0.0597668386631161
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-4b,0.6,-0.6,-0.00592887018280929,-0.0342241785018745,-0.094721500748599,0.0133712109021405
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-5a,0.6,-0.6,-0.37729809218681,-0.430849760272823,-0.268600870064604,-0.368246280902795
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-5b,0.6,-0.6,-0.251039160321703,-0.290741051865335,-0.331956321671259,-0.245384757294047
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-6a,0.6,-0.6,-0.134171584024951,-0.17043530695235,-0.219756369984576,-0.140175252647647
K300332960,左前翼子板里板加强板总成-带支架,P,01A01,A-6b,0.6,-0.6,-0.039310377922582,-0.0652645307771107,-0.111040267530129,-0.0446323484892046
