零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K300328160,左前翼子板里板合件,P,01A01,A-1,1.3,0.1,0.982,0.977,1,0.923
K300328160,左前翼子板里板合件,P,01A01,A-2,1.3,0.1,0.704,0.901,0.869,0.781
K300328160,左前翼子板里板合件,P,01A01,A-3,1.3,0.1,0.439,0.62,0.571,0.423
K300328160,左前翼子板里板合件,P,01A01,A-4,1.3,0.1,0.584,0.741,0.677,0.544
K300328160,左前翼子板里板合件,P,01A01,A-5,1.3,0.1,0.544,0.763,0.692,0.61
K300328160,左前翼子板里板合件,P,01A01,A-6,1.3,0.1,0.589,0.649,0.589,0.509
K300328160,左前翼子板里板合件,P,01A01,A-7,1.3,0.1,0.214,0.267,0.255,0.194
K300328160,左前翼子板里板合件,P,01A01,A-8,1.3,0.1,0.498,0.53,0.598,0.549
K300328160,左前翼子板里板合件,P,01A01,A-9,1.3,0.1,0.158,0.053,0.102,0.088
K300328160,左前翼子板里板合件,P,01A01,A-10,1.3,0.1,0.668,0.493,0.453,0.558
K300328160,左前翼子板里板合件,P,01A01,A-11,1.3,0.1,-0.168,-0.192,-0.107,-0.146
K300328160,左前翼子板里板合件,P,01A01,A-12,1.3,0.1,-0.099,-0.133,-0.056,-0.043
K300328160,左前翼子板里板合件,P,01A01,A-13,1.3,0.1,-0.057,-0.097,-0.036,-0.043
K300328160,左前翼子板里板合件,P,01A01,A-14,1.3,0.1,0.262,0.263,0.247,0.255
K300328160,左前翼子板里板合件,P,01A01,A-15,1.3,0.1,1.081,1.176,1.12,1.075
K300328160,左前翼子板里板合件,P,01A01,A-16,1.3,0.1,0.636,0.648,0.716,0.687
K300328160,左前翼子板里板合件,P,01A01,A-17,1.3,0.1,0.785,0.753,0.834,0.82
K300328160,左前翼子板里板合件,P,01A01,A-18,1.3,0.1,0.888,0.8,0.919,0.906
K300328160,左前翼子板里板合件,P,01A01,A-19,1.3,0.1,0.842,0.682,0.833,0.84
