零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700209560,左前门上铰链加强板,P,02A01,1,0.75,-0.75,0.2,0.2,0.3,0.2
K700209560,左前门上铰链加强板,P,02A01,1,0.75,-0.75,0.1,0.2,0.1,0.2
K700209560,左前门上铰链加强板,P,02A01,2,0.75,-0.75,0.3,0.4,0.3,0.2
K700209560,左前门上铰链加强板,P,02A01,2,0.75,-0.75,0.2,0.2,0.1,0.1
K700209560,左前门上铰链加强板,P,02A01,3,0.75,-0.75,0.3,0.2,0.2,0.2
K700209560,左前门上铰链加强板,P,02A01,3,0.75,-0.75,0.2,0.1,0.1,0.1
K700209560,左前门上铰链加强板,P,02A01,4,0.75,-0.75,0.1,0.1,0.2,0.1
K700209560,左前门上铰链加强板,P,02A01,4,0.75,-0.75,0.2,0.2,0.2,0.2
K700209560,左前门上铰链加强板,P,03A01,1,0.6,-0.6,0.2,0.1,0.2,0.1
K700209560,左前门上铰链加强板,P,03A01,1,0.6,-0.6,0.3,0.2,0.2,0.2
K700209560,左前门上铰链加强板,P,03A02,1,0.6,-0.6,0.1,0.1,0.2,0.2
K700209560,左前门上铰链加强板,P,02D01,1,0.3,-0.3,0.2,0.2,0.2,0.2
K700209560,左前门上铰链加强板,P,02D01,2,0.3,-0.3,0.2,0.2,0.2,0.2
K700209560,左前门上铰链加强板,P,02D01,3,0.3,-0.3,0.1,0.2,0.1,0.2
K700209560,左前门上铰链加强板,P,02D01,4,0.3,-0.3,0.1,0.1,0.1,0.1
K700209560,左前门上铰链加强板,P,02D01,5,0.3,-0.3,0.2,0.1,0.2,0.1
K700209560,左前门上铰链加强板,P,02D01,6,0.3,-0.3,0.2,0.1,0.2,0.1
K700209560,左前门上铰链加强板,P,02D01,7,0.3,-0.3,-0.1,-0.1,0,-0.1
K700209560,左前门上铰链加强板,P,02D01,8,0.3,-0.3,-0.1,-0.1,0,-0.1
K700209560,左前门上铰链加强板,F,02D02,1~8,0.3,,0.30000000000000004,0.30000000000000004,0.2,0.30000000000000004
K700209560,左前门上铰链加强板,P,01A01,1,0.6,-0.6,0.1,0.2,0.1,0.1
K700209560,左前门上铰链加强板,P,01A01,2,0.6,-0.6,0.1,0.1,0.1,0.1
K700209560,左前门上铰链加强板,P,01A01,3,0.6,-0.6,0.3,0.4,0.3,0.3
K700209560,左前门上铰链加强板,P,01A01,4,0.6,-0.6,0.3,0.4,0.4,0.4
K700209560,左前门上铰链加强板,P,01A01,5,0.6,-0.6,0.1,0.1,0.1,0
K700209560,左前门上铰链加强板,P,01A01,6,0.6,-0.6,0.1,0.1,0.2,0.1
K700209560,左前门上铰链加强板,P,01A01,7,0.6,-0.6,0,0,0,0.1
K700209560,左前门上铰链加强板,P,01A01,8,0.6,-0.6,-0.2,-0.1,-0.1,-0.1
K700209560,左前门上铰链加强板,F,01A02,1~8,0.5,,0.5,0.5,0.5,0.5
K700209560,左前门上铰链加强板,P,01A01,9,0.6,-0.6,0,-0.1,0,0
K700209560,左前门上铰链加强板,P,01A01,10,0.6,-0.6,0.3,0.4,0.4,0.3
K700209560,左前门上铰链加强板,P,01A01,11,0.6,-0.6,0.2,0.1,0.2,0.1
K700209560,左前门上铰链加强板,P,01A01,12,0.6,-0.6,0.2,0.2,0.3,0.2
K700209560,左前门上铰链加强板,P,01A01,13,0.6,-0.6,0,0.2,0.1,0.2
K700209560,左前门上铰链加强板,P,01A01,14,0.6,-0.6,0,0,0.1,0
K700209560,左前门上铰链加强板,P,01A01,15,0.6,-0.6,-0.1,-0.1,-0.1,-0.1
K700209560,左前门上铰链加强板,P,01A01,16,0.6,-0.6,0,-0.1,0,0
K700209560,左前门上铰链加强板,F,01A02,9~16,0.5,,0.4,0.5,0.5,0.4
K700209560,左前门上铰链加强板,P,01A03,1,0.5,-0.5,0.2,0.2,0.1,0.2
K700209560,左前门上铰链加强板,P,01A03,2,0.5,-0.5,0.2,0.2,0.1,0.1
K700209560,左前门上铰链加强板,P,01A03,3,0.5,-0.5,0.1,0.1,0.1,0
K700209560,左前门上铰链加强板,P,01A03,4,0.5,-0.5,0.1,0.2,0.1,0.1
K700209560,左前门上铰链加强板,P,01A03,5,0.5,-0.5,-0.2,-0.3,-0.2,-0.2
K700209560,左前门上铰链加强板,F,01A04,1~4,0.5,,0.4,0.5,0.30000000000000004,0.4
