零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700209160,左前门外板,1.0,01B01,1.0,0.6,-0.6,-0.274,,,
K700209160,左前门外板,1.0,01B01,2.0,0.6,-0.6,-0.086,,,
K700209160,左前门外板,1.0,01B01,3.0,0.6,-0.6,-0.035,,,
K700209160,左前门外板,1.0,01B01,4.0,0.6,-0.6,-0.266,,,
K700209160,左前门外板,1.0,01B01,5.0,0.6,-0.6,-0.131,-0.112,-0.127,-0.128
K700209160,左前门外板,1.0,01B01,6.0,0.6,-0.6,-0.001,,,
K700209160,左前门外板,1.0,01B01,7.0,0.6,-0.6,-0.09,,,
K700209160,左前门外板,1.0,01B01,8.0,0.6,-0.6,-0.135,,,
K700209160,左前门外板,1.0,01B01,9.0,0.6,-0.6,-0.122,,,
K700209160,左前门外板,1.0,01B01,10.0,0.6,-0.6,-0.021,-0.074,-0.035,-0.024
K700209160,左前门外板,1.0,01B01,11.0,0.6,-0.6,0.001,-0.015,-0.017,0.012
K700209160,左前门外板,1.0,01B01,12.0,0.6,-0.6,0.262,,,
K700209160,左前门外板,1.0,01B01,13.0,0.6,-0.6,0.547,,,
K700209160,左前门外板,1.0,01B01,14.0,0.6,-0.6,0.925,,,
K700209160,左前门外板,1.0,01B01,15.0,0.6,-0.6,0.157,0.144,0.145,0.138
K700209160,左前门外板,1.0,01B01,16.0,0.6,-0.6,0.192,,,
K700209160,左前门外板,1.0,01B01,17.0,0.6,-0.6,0.178,,,
K700209160,左前门外板,1.0,01B01,18.0,0.6,-0.6,0.154,,,
K700209160,左前门外板,1.0,01B01,19.0,0.6,-0.6,0.159,0.132,0.13,0.159
K700209160,左前门外板,1.0,01B01,20.0,0.6,-0.6,0.184,,,
K700209160,左前门外板,1.0,01B01,21.0,0.6,-0.6,0.489,,,
K700209160,左前门外板,1.0,01B01,22.0,0.6,-0.6,0.623,,,
K700209160,左前门外板,1.0,01B01,23.0,0.6,-0.6,0.356,,,
K700209160,左前门外板,2.0,01B02,1.0,0.6,0.0,0.219,,,
K700209160,左前门外板,2.0,01B02,2.0,0.6,0.0,0.116,,,
K700209160,左前门外板,1.0,01B03,1.0,0.5,-0.5,-0.643,,,
K700209160,左前门外板,1.0,01B03,2.0,0.5,-0.5,-0.124,,,
K700209160,左前门外板,1.0,01B03,3.0,0.5,-0.5,-0.073,,,
K700209160,左前门外板,1.0,01B03,4.0,0.5,-0.5,0.15,,,
K700209160,左前门外板,1.0,01B03,5.0,0.5,-0.5,0.12,-0.047,0.498,0.28
K700209160,左前门外板,1.0,01B03,6.0,0.5,-0.5,-0.009,,,
K700209160,左前门外板,1.0,01B03,7.0,0.5,-0.5,-0.132,,,
K700209160,左前门外板,1.0,01B03,8.0,0.5,-0.5,0.17,,,
K700209160,左前门外板,1.0,01B03,9.0,0.5,-0.5,2.468,,,
K700209160,左前门外板,1.0,01B03,10.0,0.5,-0.5,0.303,-0.246,0.166,0.33
K700209160,左前门外板,1.0,01B03,15.0,0.5,-0.5,0.076,0.043,-0.05,0.044
K700209160,左前门外板,1.0,01B03,16.0,0.5,-0.5,-0.133,,,
K700209160,左前门外板,1.0,01B03,17.0,0.5,-0.5,0.187,,,
K700209160,左前门外板,1.0,01B03,18.0,0.5,-0.5,0.334,,,
K700209160,左前门外板,1.0,01B03,19.0,0.5,-0.5,0.093,-0.092,0.219,0.118
K700209160,左前门外板,1.0,01B03,20.0,0.5,-0.5,0.718,,,
K700209160,左前门外板,1.0,01B03,21.0,0.5,-0.5,0.164,,,
K700209160,左前门外板,1.0,01B03,22.0,0.5,-0.5,-1.172,,,
K700209160,左前门外板,1.0,01B03,23.0,0.5,-0.5,-1.83,,,
K700209160,左前门外板,2.0,01B04,1.0,0.5,0.0,2.251,,,
K700209160,左前门外板,2.0,01B04,2.0,0.5,0.0,1.068,,,
K700209160,左前门外板,2.0,01B05,0.0,0.7,-0.7,0.444,,,
K700209160,左前门外板,2.0,01B06,0.0,0.7,-0.7,0.135,,,
K700209160,左前门外板,1.0,03A01,1,0.75,-0.75,-1.83,,,
K700209160,左前门外板,1.0,03A01,2,0.75,-0.75,-1.836,,,
K700209160,左前门外板,1.0,03A01,3,0.75,-0.75,-1.631,,,
K700209160,左前门外板,1.0,03A01,4,0.75,-0.75,-1.365,,,
K700209160,左前门外板,1.0,03A01,5,0.75,-0.75,-1.068,,,
K700209160,左前门外板,1.0,03A01,6,0.75,-0.75,-0.856,,,
