零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700210560,p,01A01,P1,0.75,-0.75,0.01,-0.1,-0.06,-0.18
K700210560,p,01A01,P2,0.75,-0.75,0.19,0.3,0.33,0.23
K700210560,p,01A01,P3,0.75,-0.75,-0.08,-0.16,-0.16,-0.01
K700210560,p,01A01,P4,0.75,-0.75,0.34,0.27,0.24,0.31
K700210560,p,01A01,P5,0.75,-0.75,-0.04,-0.16,-0.15,-0.06
K700210560,p,01A01,P6,0.75,-0.75,0.37,0.37,0.33,0.31
K700210560,p,01A01,P7,0.75,-0.75,0.3,0.38,0.28,0.28
K700210560,F,01A02,P5-P7,0.75,0,0.41,0.54,0.48,0.37
K700210560,p,01A01,P8,0.75,-0.75,0.31,0.39,0.35,0.37
K700210560,p,01A01,P9,0.75,-0.75,-0.11,-0.04,-0.05,0
K700210560,p,01A01,P10,0.75,-0.75,-0.04,-0.16,-0.02,-0.18
K700210560,p,01A01,P11,0.75,-0.75,0.3,0.2,0.39,0.38
K700210560,p,01A01,P12,0.75,-0.75,0.28,0.26,0.35,0.25
K700210560,p,01A01,P13,0.75,-0.75,0.38,0.27,0.26,0.19
K700210560,p,01A01,P14,0.75,-0.75,0.24,0.2,0.28,0.26
K700210560,p,01A01,P15,0.75,-0.75,-0.03,-0.19,-0.09,-0.11
K700210560,p,01A01,P16,0.75,-0.75,0.36,0.23,0.22,0.19
K700210560,p,01A01,P17,0.75,-0.75,0.34,0.21,0.25,0.25
K700210560,p,01A01,P18,0.75,-0.75,0.37,0.31,0.36,0.35
K700210560,P,01A03,P19,3.75,2.25,3.2,3,3.1,3
K700210560,P,01A03,P20,3.75,2.25,3,2.9,2.9,3
K700210560,P,01A03,P21,3.75,2.25,3,2.9,3,2.9
K700210560,F,01A04,P19-P21,-1,1,0.20000000000000018,-0.09999999999999964,0.09999999999999964,-0.09999999999999964
K700210560,P,05A01,P22,0.75,-0.75,OK,OK,OK,OK
K700210560,P,03B03,P23,0.75,-0.75,OK,OK,OK,OK
K700210560,P,05A01,P24,0.75,-0.75,OK,OK,OK,OK
K700210560,P,03B04,P25,0.5,-0.5,-0.02,0,-0.14,0.01
K700210560,P,04A01,P26,0.75,-0.75,OK,OK,OK,OK
K700210560,P,04A02,P27,3.75,2.25,3.3,2.6,2.8,2.9
K700210560,P,02B01,P28,0.5,-0.5,OK,OK,OK,OK
K700210560,P,02B01,P29,0.5,-0.5,OK,OK,OK,OK
K700210560,P,02B01,P30,0.5,-0.5,OK,OK,OK,OK
K700210560,P,02B02,P31,0.5,-0.5,0.3,0.31,0.15,0.42
K700210560,P,02B02,P32,0.5,-0.5,-0.13,0.14,0.24,-0.04
K700210560,P,02B02,P33,0.5,-0.5,-0.02,-0.18,-0.04,-0.12
K700210560,P,02A01,P34,12,10,10.91,10.89,11.12,11.08
K700210560,P,03B01,P35,0.75,-0.75,OK,OK,OK,OK
K700210560,P,03B02,P36,0.75,-0.75,-0.16,0.14,0.24,-0.04
K700210560,P,06B05,P37,3.75,2.25,2.8,3.1,3.1,2.9
K700210560,P,06B05,P37,3.75,2.25,3.1,3.2,3.2,3.2
K700210560,P,06B05,P37,3.75,2.25,3.2,2.7,3.2,3
K700210560,F,06B06,极差,0.75,0,0.40000000000000036,0.5,0.10000000000000009,0.30000000000000027
K700210560,P,06B07,P38,3.75,2.25,3,2.7,2.9,2.8
K700210560,P,06B07,P38,3.75,2.25,2.7,3,2.8,2.7
K700210560,P,06B07,P38,3.75,2.25,2.7,2.6,2.9,2.7
K700210560,F,06B08,极差,0.75,0,0.2999999999999998,0.3999999999999999,0.10000000000000009,0.09999999999999964
K700210560,P,07D04,P39,4,2,3.2,3.2,3.2,3.1
K700210560,P,07D04,P39,4,2,3,3.3,2.7,3.3
K700210560,P,07D04,P39,4,2,3,3.2,3.1,2.9
K700210560,F,07D05,极差,1,0,0.20000000000000018,0.09999999999999964,0.5,0.3999999999999999
K700210560,P,08C01,P40,3.75,2.25,2.7,2.8,2.8,2.9
K700210560,P,08C01,P40,3.75,2.25,2.8,2.9,2.7,2.9
K700210560,P,08C01,P40,3.75,2.25,2.7,2.8,2.9,2.6
K700210560,F,08C02,极差,0.75,0,0.09999999999999964,0.10000000000000009,0.19999999999999973,0.2999999999999998
K700210560,P,07D01,P41,1,-1,0.22,0.24,0.29,0.27
K700210560,P,07D01,P41,1,-1,-0.11,-0.03,-0.07,-0.18
K700210560,P,07D01,P41,1,-1,0.3,0.25,0.22,0.26
K700210560,P,07D01,P41,1,-1,-0.15,-0.03,-0.02,-0.13
K700210560,F,07D02,极差,1,0,0.44999999999999996,0.28,0.36,0.45
K700210560,P,06B01,P42,0.75,-0.75,0.2,0.21,0.34,0.19
K700210560,P,06B01,P42,0.75,-0.75,0.34,0.29,0.24,0.36
K700210560,P,06B01,P42,0.75,-0.75,-0.07,0.01,-0.04,-0.13
K700210560,F,06B02,极差,0.5,0,0.41000000000000003,0.27999999999999997,0.38,0.49
K700210560,P,06B03,P43,3.75,2.25,2.7,2.6,2.6,2.8
K700210560,P,06B03,P43,3.75,2.25,2.9,2.9,2.9,2.8
K700210560,P,06B03,P43,3.75,2.25,2.9,2.7,2.6,2.7
K700210560,F,06B04,极差,0.5,0,0.19999999999999973,0.2999999999999998,0.2999999999999998,0.09999999999999964
K700210560,P,03A01,P44,3.75,2.25,2.9,3.3,3,3.2
K700210560,P,03A01,P44,3.75,2.25,2.7,2.7,3.3,2.9
K700210560,P,03A01,P44,3.75,2.25,3.3,3,3.1,3.2
K700210560,P,03A01,P44,3.75,2.25,3.1,2.7,2.8,3.3
K700210560,P,03B03,P45,0.75,-0.75,0.28,0.29,0.31,0.2
K700210560,P,03B03,P45,0.75,-0.75,-0.18,-0.05,-0.1,-0.19
K700210560,P,03B03,P45,0.75,-0.75,0.39,0.31,0.23,0.38
K700210560,P,03B03,P45,0.75,-0.75,-0.08,-0.12,-0.17,-0.13
K700210560,F,03B04,极差,0.75,0,0.5700000000000001,0.43,0.48,0.5700000000000001
K700210560,P,03B03,P46,0.75,-0.75,0.23,0.38,0.37,0.35
K700210560,P,03B03,P46,0.75,-0.75,-0.08,-0.13,-0.15,-0.07
K700210560,P,03B03,P46,0.75,-0.75,0.34,0.25,0.24,0.33
K700210560,P,03B03,P46,0.75,-0.75,-0.13,-0.04,-0.11,-0.17
K700210560,F,03B04,极差,0.75,0,0.47000000000000003,0.51,0.52,0.52
K700210560,P,03A02,P47,3.75,2.25,3.1,3.2,3.3,3.3
K700210560,P,03A02,P47,3.75,2.25,3,2.7,2.8,2.6
K700210560,P,03A02,P47,3.75,2.25,3,3.2,3.1,3
K700210560,P,03A02,P47,3.75,2.25,3,3,3.1,3.1
K700210560,P,07D09,P48,4,2,3.3,3.1,3.2,3.1
K700210560,P,07D09,P48,4,2,2.8,2.8,3,2.6
K700210560,P,07D09,P48,4,2,3,2.7,2.7,2.9
K700210560,P,07D09,P48,4,2,2.7,2.6,2.7,2.9
K700210560,F,07D10,极差,1,0,0.5999999999999996,0.5,0.5,0.5
K700210560,P,08C03,P49,3.75,2.25,2.7,2.7,2.7,2.8
K700210560,P,08C03,P49,3.75,2.25,2.6,2.7,2.6,2.6
K700210560,P,08C03,P49,3.75,2.25,2.8,2.6,3,2.9
K700210560,P,08C03,P49,3.75,2.25,3.3,3.3,3,3.1
K700210560,F,08C04,极差,0.75,0,0.6999999999999997,0.6999999999999997,0.3999999999999999,0.5
K700210560,P,07D06,P50,1,-1,0,-0.12,0.01,-0.07
K700210560,P,07D06,P50,1,-1,0.3,0.38,0.38,0.3
K700210560,P,07D06,P50,1,-1,0.01,-0.16,-0.17,-0.16
K700210560,P,07D06,P50,1,-1,0.21,0.26,0.38,0.36
K700210560,F,07D07,极差,1,0,0.33,0.32,0.32,0.25
K700210560,P,07D11,P51,1,-1,0.35,0.26,0.32,0.25
K700210560,P,07D11,P51,1,-1,-0.04,-0.09,-0.07,-0.15
K700210560,P,07D11,P51,1,-1,0.29,0.25,0.28,0.23
