零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700209360,左前门里板,1.0,01A01,1.0,0.75,-0.75,-0.145,,,
K700209360,左前门里板,1.0,01A01,2.0,0.75,-0.75,-0.489,,,
K700209360,左前门里板,1.0,01A01,3.0,0.75,-0.75,-0.164,,,
K700209360,左前门里板,1.0,01A01,4.0,0.75,-0.75,0.094,-0.106,-0.137,-0.207
K700209360,左前门里板,1.0,01A01,5.0,0.75,-0.75,0.393,,,
K700209360,左前门里板,1.0,01A01,6.0,0.75,-0.75,0.144,,,
K700209360,左前门里板,1.0,01A01,7.0,0.75,-0.75,0.137,,,
K700209360,左前门里板,1.0,01A01,8.0,0.75,-0.75,-0.05,,,
K700209360,左前门里板,1.0,01A01,9.0,0.75,-0.75,-0.578,-0.263,-0.025,-0.134
K700209360,左前门里板,1.0,01A01,10.0,0.75,-0.75,0.47,,,
K700209360,左前门里板,1.0,01A01,11.0,0.75,-0.75,-0.151,,,
K700209360,左前门里板,1.0,01A01,12.0,0.75,-0.75,-0.174,,,
K700209360,左前门里板,1.0,01A01,13.0,0.75,-0.75,-0.47,-0.496,-0.528,-0.484
K700209360,左前门里板,1.0,01A01,14.0,0.75,-0.75,-0.545,,,
K700209360,左前门里板,1.0,01A01,15.0,0.75,-0.75,0.097,,,
K700209360,左前门里板,1.0,01A01,16.0,0.75,-0.75,0.577,,,
K700209360,左前门里板,1.0,01A01,17.0,0.75,-0.75,0.515,,,
K700209360,左前门里板,1.0,01A01,18.0,0.75,-0.75,0.78,0.035,0.491,0.174
K700209360,左前门里板,1.0,01A01,19.0,0.75,-0.75,1.056,,,
K700209360,左前门里板,1.0,01A01,20.0,0.75,-0.75,0.983,,,
K700209360,左前门里板,1.0,01A01,21.0,0.75,-0.75,0.989,,,
K700209360,左前门里板,1.0,01A01,22.0,0.75,-0.75,1.198,,,
K700209360,左前门里板,1.0,01A01,23.0,0.75,-0.75,1.343,0.894,1.583,0.478
K700209360,左前门里板,1.0,01A01,24.0,0.75,-0.75,1.537,,,
K700209360,左前门里板,1.0,01A01,25.0,0.75,-0.75,0.455,,,
K700209360,左前门里板,1.0,01B01,1.0,0.75,-0.75,0.13,,,
K700209360,左前门里板,1.0,01B01,2.0,0.75,-0.75,0.661,,,
K700209360,左前门里板,1.0,01B01,3.0,0.75,-0.75,0.511,,,
K700209360,左前门里板,1.0,01B01,4.0,0.75,-0.75,0.393,0.334,0.339,0.249
K700209360,左前门里板,1.0,01B01,5.0,0.75,-0.75,0.275,,,
K700209360,左前门里板,1.0,01B01,6.0,0.75,-0.75,0.246,,,
K700209360,左前门里板,1.0,01B01,7.0,0.75,-0.75,0.282,,,
K700209360,左前门里板,1.0,01B01,8.0,0.75,-0.75,0.337,,,
K700209360,左前门里板,1.0,01B01,9.0,0.75,-0.75,-0.114,0.005,0.168,0.022
K700209360,左前门里板,1.0,01B01,10.0,0.75,-0.75,0.265,,,
K700209360,左前门里板,1.0,01B01,11.0,0.75,-0.75,0.367,,,
K700209360,左前门里板,1.0,01B01,12.0,0.75,-0.75,0.129,,,
K700209360,左前门里板,1.0,01B01,13.0,0.75,-0.75,-0.81,-0.649,-0.699,-0.564
K700209360,左前门里板,1.0,01B01,14.0,0.75,-0.75,-1.05,,,
K700209360,左前门里板,1.0,01B01,15.0,0.75,-0.75,0.067,,,
K700209360,左前门里板,1.0,01B01,16.0,0.75,-0.75,0.195,,,
K700209360,左前门里板,1.0,01B01,17.0,0.75,-0.75,0.925,,,
K700209360,左前门里板,1.0,01B01,18.0,0.75,-0.75,0.871,0.209,0.718,0.499
K700209360,左前门里板,1.0,01B01,19.0,0.75,-0.75,1.3,,,
K700209360,左前门里板,1.0,01B01,20.0,0.75,-0.75,1.698,,,
K700209360,左前门里板,1.0,01B01,21.0,0.75,-0.75,1.611,,,
K700209360,左前门里板,1.0,01B01,22.0,0.75,-0.75,1.165,,,
K700209360,左前门里板,1.0,01B01,23.0,0.75,-0.75,1.022,0.742,1.31,0.215
K700209360,左前门里板,1.0,01B01,24.0,0.75,-0.75,1.058,,,
K700209360,左前门里板,1.0,01B01,25.0,0.75,-0.75,0.407,,,
K700209360,左前门里板,2.0,01B02,1.0,0.7,0.0,0.416,,,
K700209360,左前门里板,2.0,01B02,2.0,0.7,0.0,0.557,,,
K700209360,左前门里板,2.0,01B02,3.0,0.7,0.0,0.383,,,
K700209360,左前门里板,1.0,02A01,1.0,0.75,-0.75,-0.173,,,
K700209360,左前门里板,1.0,02A01,2.0,0.75,-0.75,-0.109,,,
K700209360,左前门里板,1.0,02A01,3.0,0.75,-0.75,-0.306,,,
K700209360,左前门里板,1.0,02A01,4.0,0.75,-0.75,-0.023,,,
K700209360,左前门里板,1.0,02A01,5.0,0.75,-0.75,-0.252,,,
K700209360,左前门里板,1.0,02A01,6.0,0.75,-0.75,0.043,0.028,-0.253,-0.212
K700209360,左前门里板,1.0,02A01,7.0,0.75,-0.75,0.096,,,
K700209360,左前门里板,1.0,02A01,8.0,0.75,-0.75,0.499,,,
K700209360,左前门里板,1.0,02A01,9.0,0.75,-0.75,0.397,,,
K700209360,左前门里板,1.0,02A01,10.0,0.75,-0.75,0.32,,,
K700209360,左前门里板,2.0,02A02,0.0,0.7,0.0,0.411,,,
K700209360,左前门里板,1.0,02A03,11.0,0.75,-0.75,0.156,,,
K700209360,左前门里板,1.0,02A03,12.0,0.75,-0.75,0.163,,,
K700209360,左前门里板,1.0,02A03,13.0,0.75,-0.75,0.129,,,
K700209360,左前门里板,1.0,02A03,14.0,0.75,-0.75,0.073,-0.186,0.32,-0.592
