零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700210060,P,01A01,1,0.75,-0.75,0.026,0.034,0.052,0.021
K700210060,P,01A01,2,0.75,-0.75,-0.037,-0.032,-0.005,-0.048
K700210060,P,01A01,3,0.75,-0.75,-0.273,-0.267,-0.238,-0.224
K700210060,P,01A01,4,0.75,-0.75,-0.402,-0.322,-0.323,-0.226
K700210060,P,01A01,5,0.75,-0.75,-0.39,-0.315,-0.313,-0.246
K700210060,P,01A01,6,0.75,-0.75,-0.434,-0.365,-0.355,-0.361
K700210060,P,01A01,7,0.75,-0.75,-0.453,-0.298,-0.302,-0.269
K700210060,P,01A01,8,0.75,-0.75,-0.447,-0.304,-0.302,-0.302
K700210060,P,01A01,9,0.75,-0.75,-0.649,-0.518,-0.513,-0.571
K700210060,P,01A01,10,0.75,-0.75,-0.271,-0.049,-0.046,-0.088
K700210060,P,01A01,11,0.75,-0.75,-0.37,-0.155,-0.157,-0.212
K700210060,P,01A01,12,0.75,-0.75,-0.671,-0.461,-0.469,-0.601
K700210060,F,01A02,13,0.75,,0.697,0.552,0.565,0.62
K700210060,P,01A03,14,0.75,-0.75,-0.179,-0.245,-0.362,-0.18
K700210060,P,01A03,15,0.75,-0.75,-0.101,-0.108,-0.145,-0.09
K700210060,P,01A03,16,0.75,-0.75,-0.031,-0.054,-0.031,-0.107
K700210060,P,01A03,17,0.75,-0.75,0.597,0.222,0.41,-0.38
K700210060,F,01A04,18,0.75,,0.776,0.467,0.772,0.29
K700210060,P,02A01,19,0.75,-0.75,-0.457,-0.357,-0.581,-0.023
K700210060,P,02A01,20,0.75,-0.75,0.719,0.283,0.445,0.232
K700210060,P,02A01,21,0.75,-0.75,0.676,0.166,0.382,-0.063
K700210060,P,02A01,22,0.75,-0.75,0.559,-0.042,0.214,-0.164
K700210060,P,02A01,23,0.75,-0.75,0.363,-0.177,0.023,-0.28
K700210060,P,02A01,24,0.75,-0.75,0.101,-0.212,-0.045,-0.402
K700210060,P,02A01,25,0.75,-0.75,-0.13,-0.156,-0.108,-0.325
