零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700213760,左后门外板,1.0,01B01,1a,0.5,-0.5,-0.593,,,
K700213760,左后门外板,1.0,01B01,1b,0.5,-0.5,-0.587,,,
K700213760,左后门外板,1.0,01B01,2a,0.5,-0.5,-0.467,,,
K700213760,左后门外板,1.0,01B01,2b,0.5,-0.5,-0.394,,,
K700213760,左后门外板,1.0,01B01,3a,0.5,-0.5,-0.259,,,
K700213760,左后门外板,1.0,01B01,3b,0.5,-0.5,-0.26,,,
K700213760,左后门外板,1.0,01B01,4a,0.5,-0.5,-0.041,-0.039,-0.016,-0.028
K700213760,左后门外板,1.0,01B01,4b,0.5,-0.5,-0.054,,,
K700213760,左后门外板,1.0,01B01,5a,0.5,-0.5,-0.087,,,
K700213760,左后门外板,1.0,01B01,5b,0.5,-0.5,-0.115,,,
K700213760,左后门外板,1.0,01B01,6a,0.5,-0.5,0.04,,,
K700213760,左后门外板,1.0,01B01,6b,0.5,-0.5,0.044,,,
K700213760,左后门外板,1.0,01B01,7a,0.5,-0.5,0.035,,,
K700213760,左后门外板,1.0,01B01,7b,0.5,-0.5,0.016,,,
K700213760,左后门外板,1.0,01B02,1,0.5,0.0,0.12,,,
K700213760,左后门外板,1.0,01B03,1c,0.6,-0.6,-0.157,,,
K700213760,左后门外板,1.0,01B03,1d,0.6,-0.6,-0.195,,,
K700213760,左后门外板,1.0,01B03,2c,0.6,-0.6,-0.112,,,
K700213760,左后门外板,1.0,01B03,2d,0.6,-0.6,-0.207,,,
K700213760,左后门外板,1.0,01B03,3c,0.6,-0.6,0.039,,,
K700213760,左后门外板,1.0,01B03,3d,0.6,-0.6,-0.037,,,
K700213760,左后门外板,1.0,01B03,4c,0.6,-0.6,-0.069,-0.071,-0.077,-0.058
K700213760,左后门外板,1.0,01B03,4d,0.6,-0.6,-0.157,,,
K700213760,左后门外板,1.0,01B03,5c,0.6,-0.6,-0.004,,,
K700213760,左后门外板,1.0,01B03,5d,0.6,-0.6,-0.04,,,
K700213760,左后门外板,1.0,01B03,6c,0.6,-0.6,-0.018,,,
K700213760,左后门外板,1.0,01B03,6d,0.6,-0.6,-0.027,,,
K700213760,左后门外板,1.0,01B03,7c,0.6,-0.6,0.096,,,
K700213760,左后门外板,1.0,01B03,7d,0.6,-0.6,0.044,,,
K700213760,左后门外板,2.0,01B04,1,0.6,0.0,0.217,,,
K700213760,左后门外板,1.0,01B05,1e,0.5,-0.5,-0.31,,,
K700213760,左后门外板,1.0,01B05,1f,0.5,-0.5,-0.272,,,
K700213760,左后门外板,1.0,01B05,2e,0.5,-0.5,-0.234,,,
K700213760,左后门外板,1.0,01B05,2f,0.5,-0.5,-0.234,,,
K700213760,左后门外板,1.0,01B05,3e,0.5,-0.5,-0.312,,,
K700213760,左后门外板,1.0,01B05,3f,0.5,-0.5,-0.298,,,
K700213760,左后门外板,1.0,01B05,4e,0.5,-0.5,-0.208,-0.204,-0.283,-0.286
K700213760,左后门外板,1.0,01B05,4f,0.5,-0.5,-0.215,,,
K700213760,左后门外板,1.0,01B05,5e,0.5,-0.5,-0.39,,,
K700213760,左后门外板,1.0,01B05,5f,0.5,-0.5,-0.236,,,
K700213760,左后门外板,1.0,01B05,6e,0.5,-0.5,-0.141,,,
K700213760,左后门外板,1.0,01B05,6f,0.5,-0.5,-0.051,,,
K700213760,左后门外板,1.0,01B05,7e,0.5,-0.5,-0.199,,,
K700213760,左后门外板,1.0,01B05,7f,0.5,-0.5,-0.28,,,
K700213760,左后门外板,1.0,01B06,1g,0.6,-0.6,-0.26,,,
K700213760,左后门外板,1.0,01B06,1h,0.6,-0.6,-0.307,,,
K700213760,左后门外板,1.0,01B06,2g,0.6,-0.6,-0.295,,,
K700213760,左后门外板,1.0,01B06,2h,0.6,-0.6,-0.362,,,
K700213760,左后门外板,1.0,01B06,3g,0.6,-0.6,-0.327,,,
K700213760,左后门外板,1.0,01B06,3h,0.6,-0.6,-0.421,,,
K700213760,左后门外板,1.0,01B06,4g,0.6,-0.6,-0.345,-0.362,-0.368,-0.342
K700213760,左后门外板,1.0,01B06,4h,0.6,-0.6,-0.421,,,
K700213760,左后门外板,1.0,01B06,5g,0.6,-0.6,-0.308,,,
K700213760,左后门外板,1.0,01B06,5h,0.6,-0.6,-0.458,,,
K700213760,左后门外板,1.0,01B06,6g,0.6,-0.6,-0.093,,,
K700213760,左后门外板,1.0,01B06,6h,0.6,-0.6,-0.083,,,
K700213760,左后门外板,1.0,01B06,7g,0.6,-0.6,-0.146,,,
K700213760,左后门外板,1.0,01B06,7h,0.6,-0.6,-0.216,,,
K700213760,左后门外板,2.0,01B07,1,0.6,0.0,0.295,,,
K700213760,左后门外板,1.0,01B08,7a,0.6,-0.6,0.002,,,
K700213760,左后门外板,1.0,01B08,7b,0.6,-0.6,-0.057,,,
K700213760,左后门外板,1.0,01B08,8a,0.6,-0.6,-0.214,,,
K700213760,左后门外板,1.0,01B08,8b,0.6,-0.6,-0.333,,,
K700213760,左后门外板,1.0,01B08,9a,0.6,-0.6,-0.228,-0.233,-0.206,-0.231
K700213760,左后门外板,1.0,01B08,9b,0.6,-0.6,-0.238,,,
K700213760,左后门外板,1.0,01B08,10a,0.6,-0.6,-0.325,,,
K700213760,左后门外板,1.0,01B08,10b,0.6,-0.6,-0.287,,,
K700213760,左后门外板,1.0,01B08,11a,0.6,-0.6,-0.289,,,
K700213760,左后门外板,1.0,01B08,11b,0.6,-0.6,-0.293,,,
K700213760,左后门外板,1.0,01B08,12a,0.6,-0.6,-0.195,,,
K700213760,左后门外板,1.0,01B08,12b,0.6,-0.6,-0.282,,,
K700213760,左后门外板,1.0,01B08,13a,0.6,-0.6,-0.244,,,
K700213760,左后门外板,1.0,01B08,13b,0.6,-0.6,-0.323,,,
K700213760,左后门外板,1.0,01B08,14a,0.6,-0.6,-0.578,,,
K700213760,左后门外板,1.0,01B08,14b,0.6,-0.6,-0.653,,,
K700213760,左后门外板,1.0,01B08,15a,0.6,-0.6,-0.701,,,
K700213760,左后门外板,1.0,01B08,15b,0.6,-0.6,-0.85,,,
K700213760,左后门外板,1.0,01B08,16a,0.6,-0.6,-0.383,-0.386,-0.377,-0.425
K700213760,左后门外板,1.0,01B08,16b,0.6,-0.6,-0.495,,,
K700213760,左后门外板,1.0,01B08,17a,0.6,-0.6,-0.366,,,
K700213760,左后门外板,1.0,01B08,17b,0.6,-0.6,-0.315,,,
K700213760,左后门外板,1.0,01B08,18a,0.6,-0.6,-0.4,,,
K700213760,左后门外板,1.0,01B08,18b,0.6,-0.6,-0.701,,,
K700213760,左后门外板,1.0,01B08,19a,0.6,-0.6,-0.82,,,
K700213760,左后门外板,1.0,01B08,19b,0.6,-0.6,-0.874,,,
K700213760,左后门外板,2.0,01B09,1,0.6,0.0,0.327,,,
K700213760,左后门外板,2.0,01B09,2,0.6,0.0,0.465,,,
K700213760,左后门外板,1.0,01B10,12c,0.5,-0.5,-0.26,,,
K700213760,左后门外板,1.0,01B10,12d,0.5,-0.5,-0.272,,,
K700213760,左后门外板,1.0,01B10,13c,0.5,-0.5,0.207,,,
K700213760,左后门外板,1.0,01B10,13d,0.5,-0.5,0.286,,,
K700213760,左后门外板,1.0,01B10,14c,0.5,-0.5,-0.182,,,
K700213760,左后门外板,1.0,01B10,14d,0.5,-0.5,-0.065,,,
