零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700213960,左后门里板,1.0,01A01,1,1.0,-0.5,0.667,,,
K700213960,左后门里板,1.0,01A01,2,1.5,0.0,1.024,,,
K700213960,左后门里板,1.0,01A01,3,1.5,0.0,1.353,1.23,0.926,1.001
K700213960,左后门里板,1.0,01A01,4,1.5,0.0,1.168,,,
K700213960,左后门里板,1.0,01A01,5,1.5,0.0,0.861,,,
K700213960,左后门里板,1.0,01A01,6,0.75,-0.75,-0.051,,,
K700213960,左后门里板,1.0,01A01,7,0.75,-0.75,-0.013,,,
K700213960,左后门里板,1.0,01A01,8,0.75,-0.75,-0.086,,,
K700213960,左后门里板,1.0,01A01,9,0.75,-0.75,-0.169,-0.164,-0.168,-0.167
K700213960,左后门里板,1.0,01A01,10,0.75,-0.75,-0.239,,,
K700213960,左后门里板,1.0,01A01,11,0.75,-0.75,-0.278,,,
K700213960,左后门里板,1.0,01A01,12,0.75,-0.75,-0.16,,,
K700213960,左后门里板,1.0,01A01,13,0.75,-0.75,0.393,,,
K700213960,左后门里板,1.0,01A01,14,0.75,-0.75,0.023,-0.192,-0.074,-0.06
K700213960,左后门里板,1.0,01A01,15,0.75,-0.75,0.07,,,
K700213960,左后门里板,1.0,01A01,16,1.5,0.0,0.737,,,
K700213960,左后门里板,1.0,01A01,17,1.5,0.0,0.812,,,
K700213960,左后门里板,1.0,01A01,18,1.5,0.0,0.846,,,
K700213960,左后门里板,1.0,01B01,1a,0.75,-0.75,0.114,,,
K700213960,左后门里板,1.0,01B01,1b,0.75,-0.75,0.279,,,
K700213960,左后门里板,1.0,01B01,2a,0.75,-0.75,0.65,,,
K700213960,左后门里板,1.0,01B01,2b,0.75,-0.75,0.695,,,
K700213960,左后门里板,1.0,01B01,3a,0.75,-0.75,1.234,1.046,1.156,1.175
K700213960,左后门里板,1.0,01B01,3b,0.75,-0.75,1.183,,,
K700213960,左后门里板,1.0,01B01,4a,0.75,-0.75,0.459,,,
K700213960,左后门里板,1.0,01B01,4b,0.75,-0.75,0.505,,,
K700213960,左后门里板,1.0,01B01,5a,0.75,-0.75,0.333,,,
K700213960,左后门里板,1.0,01B01,5b,0.75,-0.75,0.426,,,
K700213960,左后门里板,1.0,01B01,6a,0.75,-0.75,0.534,,,
