零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700214460,P,01A01,1,0.75,-0.75,-0.349,-0.028,-0.127,-0.084
K700214460,P,01A01,2,0.75,-0.75,-0.359,-0.025,-0.149,-0.085
K700214460,P,01A01,3,0.75,-0.75,-0.535,-0.179,-0.331,-0.22
K700214460,P,01A01,4,0.75,-0.75,-0.37,-0.124,-0.168,-0.083
K700214460,P,01A01,5,0.75,-0.75,-0.376,-0.128,-0.191,-0.085
K700214460,P,01A01,6,0.75,-0.75,-0.508,-0.249,-0.335,-0.202
K700214460,P,01A01,7,0.75,-0.75,-0.328,-0.169,-0.15,-0.056
K700214460,P,01A01,8,0.75,-0.75,-0.333,-0.181,-0.181,-0.079
K700214460,P,01A01,9,0.75,-0.75,-0.477,-0.306,-0.328,-0.208
K700214460,P,01A01,10,0.75,-0.75,-0.122,-0.166,-0.091,0.02
K700214460,P,01A01,11,0.75,-0.75,-0.157,-0.188,-0.138,-0.026
K700214460,P,01A01,12,0.75,-0.75,-0.409,-0.363,-0.341,-0.215
K700214460,F,01A02,13,0.75,,0.413,0.338,0.25,0.24
K700214460,P,01A03,14,0.75,-0.75,-0.595,-0.983,-0.368,-0.096
K700214460,P,01A03,15,0.75,-0.75,-0.273,-0.88,-0.017,-0.122
K700214460,P,01A03,16,0.75,-0.75,-0.664,-1.283,0.273,-0.003
K700214460,F,01A04,17,0.75,,0.391,0.403,0.641,0.12
K700214460,P,02A01,18,0.75,-0.75,0.665,0.494,0.451,0.35
K700214460,P,02A01,19,0.75,-0.75,-0.095,-0.034,-0.156,-0.478
K700214460,P,02A01,20,0.75,-0.75,0.373,0.514,0.257,0.33
K700214460,P,02A01,21,0.75,-0.75,0.033,0.276,-0.032,-0.202
