零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-1a,0.6,-0.6,-0.01,0.005,-0.002,0.016
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-1b,0.6,-0.6,0.017,0.004,0.006,-0.035
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-2a,0.6,-0.6,0.063,0.079,0.06,0.017
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-2b,0.6,-0.6,0,0.003,-0.009,-0.042
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-3a,0.6,-0.6,0.014,0.039,0.012,-0.014
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-3b,0.6,-0.6,-0.046,-0.026,-0.052,-0.069
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-4a,0.6,-0.6,-0.071,-0.041,-0.07,-0.078
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-4b,0.6,-0.6,-0.118,-0.094,-0.123,-0.127
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-5a,0.6,-0.6,-0.033,-0.034,-0.034,-0.028
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-5b,0.6,-0.6,-0.173,-0.141,-0.173,-0.161
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-6a,0.6,-0.6,-0.035,-0.027,-0.031,-0.041
K400341260,左车门锁扣固定板焊接合件,P,01A01,A-6b,0.6,-0.6,0.018,0.023,0.016,0.017
K400341260,左车门锁扣固定板焊接合件,P,01C01,E-1,0.6,-0.6,-0.25,-0.64,-0.13,-0.33
K400341260,左车门锁扣固定板焊接合件,P,01C01,E-2,0.6,-0.6,-0.12,-0.22,-0.28,-0.04
K400341260,左车门锁扣固定板焊接合件,P,01C01,E-3,0.6,-0.6,-0.35,-0.42,-0.63,-0.38
K400341260,左车门锁扣固定板焊接合件,P,01C01,E-4,0.6,-0.6,-0.41,-0.65,-0.36,-0.32
K400341260,左车门锁扣固定板焊接合件,P,02A01,A-7a,0.75,-0.75,0.108,0.073,0.103,0.045
K400341260,左车门锁扣固定板焊接合件,P,02A01,A-7b,0.75,-0.75,0.196,0.157,0.188,0.138
K400341260,左车门锁扣固定板焊接合件,P,02A01,A-8a,0.75,-0.75,-0.396,-0.309,-0.389,-0.338
K400341260,左车门锁扣固定板焊接合件,P,02A01,A-8b,0.75,-0.75,-0.204,-0.129,-0.2,-0.156
K400341260,左车门锁扣固定板焊接合件,P,02A01,A-9a,0.75,-0.75,-0.518,-0.441,-0.506,-0.479
K400341260,左车门锁扣固定板焊接合件,P,02A01,A-9b,0.75,-0.75,-0.338,-0.274,-0.335,-0.305
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-10a,0.6,-0.6,0.34,0.576,0.228,0.217
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-10b,0.6,-0.6,0.508,0.493,0.523,0.32
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-11a,0.6,-0.6,0.59,0.262,0.21,0.321
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-11b,0.6,-0.6,0.519,0.501,0.135,0.247
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-12a,0.6,-0.6,0.453,0.121,0.572,0.397
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-12b,0.6,-0.6,0.368,0.368,0.391,0.328
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-13a,0.6,-0.6,0.274,0.256,0.316,0.211
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-13b,0.6,-0.6,0.288,0.278,0.305,0.24
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-14a,0.6,-0.6,0.218,0.209,0.224,0.165
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-14b,0.6,-0.6,0.228,0.223,0.237,0.174
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-15a,0.6,-0.6,0.327,0.305,0.357,0.366
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-15b,0.6,-0.6,0.354,0.332,0.352,0.399
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-16a,0.6,-0.6,0.187,0.17,0.191,0.261
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-16b,0.6,-0.6,0.269,0.248,0.275,0.354
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-17a,0.6,-0.6,0.388,0.169,0.39,0.598
K400341260,左车门锁扣固定板焊接合件,P,03A01,A-17b,0.6,-0.6,0.394,0.374,0.399,0.468
K400341260,左车门锁扣固定板焊接合件,P,03A02,A-10-A-17,0.6,0,0.403,0.455,0.437,0.433
K400341260,左车门锁扣固定板焊接合件,P,04A01,H-1,0.5,-0.5,0.308,0.418,0.148,0.428
K400341260,左车门锁扣固定板焊接合件,P,04A01,H-1,0.5,-0.5,0.128,0.138,-0.052,0.038
K400341260,左车门锁扣固定板焊接合件,P,04A01,H-2,0.5,-0.5,0.198,0.288,0.398,0.268
K400341260,左车门锁扣固定板焊接合件,P,04A01,H-2,0.5,-0.5,0.078,0.028,0.168,0.228
K400341260,左车门锁扣固定板焊接合件,P,05A01,A-13a,0.5,-0.5,0.29434,0.42434,0.29434,0.30434
K400341260,左车门锁扣固定板焊接合件,P,05A01,A-13b,0.5,-0.5,0.17434,0.31434,0.35434,0.27434
