零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K200260760,左边纵梁总成,P,01A01,A-1a,1.1,-0.1,0.07,0.052,0.189,0.126
K200260760,左边纵梁总成,P,01A01,A-1b,1.1,-0.1,0.001,0.117,0.243,0.198
K200260760,左边纵梁总成,P,01A01,A-2a,1.1,-0.1,0.017,0.137,0.214,0.175
K200260760,左边纵梁总成,P,01A01,A-2b,1.1,-0.1,0.062,0.185,0.258,0.229
K200260760,左边纵梁总成,P,01A01,A-3a,1.1,-0.1,0.121,-0.001,-0.045,-0.009
K200260760,左边纵梁总成,P,01A01,A-3b,1.1,-0.1,0.082,-0.03,-0.066,-0.057
K200260760,左边纵梁总成,P,01A01,A-4a,1.1,-0.1,0.02,0.133,0.125,0.127
K200260760,左边纵梁总成,P,01A01,A-4b,1.1,-0.1,-0.02,0.154,0.179,0.132
K200260760,左边纵梁总成,P,01A01,A-5a,1.1,-0.1,-0.031,-0.06,-0.077,-0.083
K200260760,左边纵梁总成,P,01A01,A-5b,1.1,-0.1,0.05,-0.014,-0.013,-0.009
K200260760,左边纵梁总成,P,01A01,A-6a,1.1,-0.1,0.32,0.259,0.24,0.25
K200260760,左边纵梁总成,P,01A01,A-6b,1.1,-0.1,0.28,0.247,0.244,0.257
K200260760,左边纵梁总成,P,01A01,A-7a,1.1,-0.1,-0.048,-0.091,-0.1,-0.035
K200260760,左边纵梁总成,P,01A01,A-7b,1.1,-0.1,0.182,0.141,0.154,0.212
K200260760,左边纵梁总成,P,01A01,A-8a,1.1,-0.1,-0.008,-0.038,-0.012,0.009
K200260760,左边纵梁总成,P,01A01,A-8b,1.1,-0.1,0.255,0.229,0.261,0.276
K200260760,左边纵梁总成,P,01A01,A-9a,1.1,-0.1,0.058,0.066,0.109,0.129
K200260760,左边纵梁总成,P,01A01,A-9b,1.1,-0.1,0.229,0.228,0.28,0.287
K200260760,左边纵梁总成,P,01A01,A-10a,1.1,-0.1,0.12,0.073,0.182,0.153
K200260760,左边纵梁总成,P,01A01,A-10b,1.1,-0.1,0.236,0.206,0.285,0.265
K200260760,左边纵梁总成,P,01A01,A-11a,1.1,-0.1,0.076,0.069,0.119,0.116
K200260760,左边纵梁总成,P,01A01,A-11b,1.1,-0.1,0.083,0.08,0.129,0.128
K200260760,左边纵梁总成,P,01A01,A-12a,1.1,-0.1,0.13,0.128,0.142,0.192
K200260760,左边纵梁总成,P,01A01,A-12b,1.1,-0.1,0.153,0.164,0.187,0.236
K200260760,左边纵梁总成,P,01A01,A-13a,1.1,-0.1,0.127,0.128,0.147,0.151
K200260760,左边纵梁总成,P,01A01,A-13b,1.1,-0.1,-0.088,-0.062,-0.079,-0.069
K200260760,左边纵梁总成,P,01A01,A-14a,1.1,-0.1,0.524,0.187,0.294,0.26
K200260760,左边纵梁总成,P,01A01,A-14b,1.1,-0.1,0.713,0.37,0.478,0.432
K200260760,左边纵梁总成,P,01A01,A-15a,1.1,-0.1,0.114,-0.083,-0.071,-0.016
K200260760,左边纵梁总成,P,01A01,A-15b,1.1,-0.1,0.319,0.064,0.14,0.104
K200260760,左边纵梁总成,P,01A01,A-16a,1.1,-0.1,0.148,-0.032,0.018,-0.004
K200260760,左边纵梁总成,P,01A01,A-16b,1.1,-0.1,0.21,0.051,0.089,0.075
K200260760,左边纵梁总成,P,01A01,A-17a,1.1,-0.1,-0.294,-0.327,-0.287,-0.287
K200260760,左边纵梁总成,P,01A01,A-17b,1.1,-0.1,-0.194,-0.229,-0.208,-0.214
K200260760,左边纵梁总成,P,01A01,A-18a,1.1,-0.1,-0.052,-0.011,0.004,-0.042
K200260760,左边纵梁总成,P,01A01,A-18b,1.1,-0.1,0.254,0.235,0.219,0.257
K200260760,左边纵梁总成,P,01A01,A-19a,1.1,-0.1,0.564,0.593,0.592,0.577
K200260760,左边纵梁总成,P,01A01,A-19b,1.1,-0.1,0.492,0.511,0.495,0.486
K200260760,左边纵梁总成,P,01A01,A-20a,1.1,-0.1,0.168,0.186,0.21,0.179
K200260760,左边纵梁总成,P,01A01,A-20b,1.1,-0.1,0.287,0.296,0.304,0.278
K200260760,左边纵梁总成,P,01A01,A-21a,1.1,-0.1,0.392,0.437,0.45,0.414
K200260760,左边纵梁总成,P,01A01,A-21b,1.1,-0.1,0.217,0.258,0.27,0.234
K200260760,左边纵梁总成,P,01A01,A-22a,1.1,-0.1,0.211,0.24,0.244,0.218
K200260760,左边纵梁总成,P,01A01,A-22b,1.1,-0.1,0.341,0.336,0.337,0.329
K200260760,左边纵梁总成,P,01A01,A-23a,1.1,-0.1,0.715,0.73,0.771,0.723
K200260760,左边纵梁总成,P,01A01,A-23b,1.1,-0.1,0.304,0.312,0.353,0.334
K200260760,左边纵梁总成,P,01A01,A-24a,1.1,-0.1,0.374,0.33,0.275,0.327
K200260760,左边纵梁总成,P,01A01,A-24b,1.1,-0.1,0.147,0.127,0.103,0.122
K200260760,左边纵梁总成,P,01A01,A-25a,1.1,-0.1,0.059,0.02,0.041,0.124
K200260760,左边纵梁总成,P,01A01,A-25b,1.1,-0.1,0.059,0.009,0.062,0.111
