零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700215860,机罩外板,1.0,01B01,1.0,0.6,-0.6,-0.292,-0.267,-0.273,-0.284
K700215860,机罩外板,1.0,01B01,2.0,0.6,-0.6,0.025,,,
K700215860,机罩外板,1.0,01B01,3.0,0.6,-0.6,-0.042,,,
K700215860,机罩外板,1.0,01B01,4.0,0.6,-0.6,-0.288,,,
K700215860,机罩外板,1.0,01B01,5.0,0.6,-0.6,-0.344,-0.341,-0.374,-0.33
K700215860,机罩外板,1.0,01B01,6.0,0.6,-0.6,-0.259,,,
K700215860,机罩外板,1.0,01B01,7.0,0.6,-0.6,-0.138,,,
K700215860,机罩外板,1.0,01B01,8.0,0.6,-0.6,-0.068,,,
K700215860,机罩外板,1.0,01B01,9.0,0.6,-0.6,-0.289,-0.295,-0.377,-0.284
K700215860,机罩外板,1.0,01B01,10.0,0.6,-0.6,-0.249,-0.236,-0.406,-0.253
K700215860,机罩外板,1.0,01B01,11.0,0.6,-0.6,-0.249,,,
K700215860,机罩外板,1.0,01B01,12.0,0.6,-0.6,-0.119,-0.055,-0.319,-0.073
K700215860,机罩外板,1.0,01B01,13.0,0.6,-0.6,-0.223,,,
K700215860,机罩外板,1.0,01B01,14.0,0.6,-0.6,-0.233,-0.202,-0.611,-0.233
K700215860,机罩外板,1.0,01B01,15.0,0.6,-0.6,-0.176,-0.143,-0.612,-0.183
K700215860,机罩外板,1.0,01B01,16.0,0.6,-0.6,-0.309,,,
K700215860,机罩外板,1.0,01B01,17.0,0.6,-0.6,-0.655,,,
K700215860,机罩外板,1.0,01B01,18.0,0.6,-0.6,-0.452,-0.388,-0.728,-0.417
K700215860,机罩外板,1.0,01B01,19.0,0.6,-0.6,-0.318,,,
K700215860,机罩外板,1.0,01B01,20.0,0.6,-0.6,-0.28,-0.241,-0.467,-0.281
K700215860,机罩外板,1.0,01B01,21.0,0.6,-0.6,-0.308,,,
K700215860,机罩外板,1.0,01B01,22.0,0.6,-0.6,-0.072,,,
K700215860,机罩外板,1.0,01B01,23.0,0.6,-0.6,-0.192,-0.141,-0.479,-0.19
K700215860,机罩外板,1.0,01B01,24.0,0.6,-0.6,0.071,,,
K700215860,机罩外板,1.0,01B01,25.0,0.6,-0.6,0.437,0.446,0.414,0.431
