零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700257260,背门下外板,1.0,01A01,1.0,-1.5,-2.5,-2.134,,,
K700257260,背门下外板,1.0,01A01,2.0,-1.5,-2.5,-1.996,-2.012,-1.998,-1.958
K700257260,背门下外板,1.0,01A01,3.0,0.5,-0.5,-0.16,,,
K700257260,背门下外板,1.0,01A01,4.0,0.5,-0.5,0.155,,,
K700257260,背门下外板,1.0,01A01,5.0,0.5,-0.5,0.256,,,
K700257260,背门下外板,1.0,01A01,6.0,0.5,-0.5,-0.242,,,
K700257260,背门下外板,1.0,01A01,7.0,0.5,-0.5,-0.461,-0.431,-0.464,-0.455
K700257260,背门下外板,1.0,01A01,8.0,0.5,-0.5,-0.241,,,
K700257260,背门下外板,1.0,01A01,9.0,0.5,-0.5,-0.301,,,
K700257260,背门下外板,1.0,01A01,10.0,0.5,-0.5,0.479,,,
K700257260,背门下外板,1.0,01A01,11.0,0.5,-0.5,-0.212,,,
K700257260,背门下外板,1.0,01A01,12.0,0.5,-0.5,-0.24,-0.274,-0.25,-0.2571
K700257260,背门下外板,1.0,01A01,13.0,0.5,-0.5,-0.265,,,
K700257260,背门下外板,1.0,01A01,14.0,0.5,-0.5,0.253,,,
K700257260,背门下外板,1.0,01A01,15.0,0.5,-0.5,-0.25,,,
K700257260,背门下外板,1.0,01A01,16.0,0.5,-0.5,-0.27,-0.223,-0.245,-0.236
K700257260,背门下外板,1.0,01A01,17.0,0.5,-0.5,-0.229,,,
K700257260,背门下外板,1.0,01A01,18.0,0.5,-0.5,-0.251,,,
K700257260,背门下外板,1.0,01A01,19.0,0.5,-0.5,0.364,,,
K700257260,背门下外板,1.0,01A01,20.0,0.5,-0.5,0.337,,,
K700257260,背门下外板,1.0,01A01,21.0,0.5,-0.5,-0.095,,,
K700257260,背门下外板,1.0,01A01,22.0,-1.5,-2.5,-2.306,-2.305,-2.342,-2.329
K700257260,背门下外板,1.0,01A01,23.0,-0.5,-1.5,-1.078,,,
K700257260,背门下外板,1.0,01A02,24.0,0.6,-0.6,-0.231,,,
K700257260,背门下外板,1.0,01A02,25.0,0.6,-0.6,-0.091,-0.095,-0.133,-0.127
K700257260,背门下外板,1.0,01A02,26.0,0.6,-0.6,-0.171,,,
K700257260,背门下外板,1.0,01A02,27.0,0.6,-0.6,-0.081,,,
K700257260,背门下外板,1.0,01A02,28.0,0.6,-0.6,-0.131,,,
K700257260,背门下外板,1.0,01A02,29.0,0.6,-0.6,0.265,0.282,0.298,0.21
K700257260,背门下外板,1.0,01A02,30.0,0.6,-0.6,0.267,,,
K700257260,背门下外板,1.0,01A02,31.0,0.6,-0.6,0.292,,,
K700257260,背门下外板,2.0,01A03,1.0,0.6,0.0,0.025,,,
K700257260,背门下外板,2.0,01A03,2.0,0.6,0.0,0.335,,,
K700257260,背门下外板,1.0,01B01,1a,0.6,-0.6,0.15,,,
K700257260,背门下外板,1.0,01B01,1b,0.6,-0.6,0.056,,,
K700257260,背门下外板,1.0,01B01,2,0.6,-0.6,0.151,,,
K700257260,背门下外板,1.0,01B01,3a,0.6,-0.6,0.101,0.114,0.108,0.088
K700257260,背门下外板,1.0,01B01,3b,0.6,-0.6,0.186,,,
K700257260,背门下外板,1.0,01B01,4,0.6,-0.6,0.004,,,
K700257260,背门下外板,1.0,01B01,5,0.6,-0.6,0.092,,,
K700257260,背门下外板,1.0,01B01,6a,0.6,-0.6,-0.012,,,
K700257260,背门下外板,1.0,01B01,6b,0.6,-0.6,0.133,,,
K700257260,背门下外板,1.0,01B01,7a,0.6,-0.6,-0.029,-0.019,-0.012,-0.034
K700257260,背门下外板,1.0,01B01,7b,0.6,-0.6,0.098,,,
K700257260,背门下外板,1.0,01B01,8a,0.6,-0.6,0.023,,,
K700257260,背门下外板,1.0,01B01,8b,0.6,-0.6,0.206,,,
K700257260,背门下外板,1.0,01B01,9,0.6,-0.6,0.267,,,
K700257260,背门下外板,1.0,01B01,10a,0.6,-0.6,0.323,,,
K700257260,背门下外板,1.0,01B01,10b,0.6,-0.6,0.391,,,
K700257260,背门下外板,1.0,01B01,11a,0.6,-0.6,0.067,,,
K700257260,背门下外板,1.0,01B01,11b,0.6,-0.6,0.276,,,
K700257260,背门下外板,1.0,01B01,12a,0.6,-0.6,-0.034,0.002,-0.032,-0.035
K700257260,背门下外板,1.0,01B01,12b,0.6,-0.6,0.174,,,
K700257260,背门下外板,1.0,01B01,13a,0.6,-0.6,0.042,,,
K700257260,背门下外板,1.0,01B01,13b,0.6,-0.6,0.322,,,
K700257260,背门下外板,1.0,01B01,14a,0.6,-0.6,0.345,,,
K700257260,背门下外板,1.0,01B01,14b,0.6,-0.6,0.37,,,
K700257260,背门下外板,1.0,01B01,15,0.6,-0.6,0.31,,,
K700257260,背门下外板,1.0,01B01,16a,0.6,-0.6,0.343,,,
K700257260,背门下外板,1.0,01B01,16b,0.6,-0.6,0.377,,,
K700257260,背门下外板,1.0,01B01,17a,0.6,-0.6,0.347,0.384,0.363,0.346
K700257260,背门下外板,1.0,01B01,17b,0.6,-0.6,0.358,,,
K700257260,背门下外板,1.0,01B01,18a,0.6,-0.6,0.346,,,
K700257260,背门下外板,1.0,01B01,18b,0.6,-0.6,0.33,,,
K700257260,背门下外板,1.0,01B01,19,0.6,-0.6,0.269,,,
K700257260,背门下外板,1.0,01B01,20,0.6,-0.6,0.29,,,
K700257260,背门下外板,1.0,01B01,21a,0.6,-0.6,0.396,0.412,0.447,0.423
K700257260,背门下外板,1.0,01B01,21b,0.6,-0.6,0.392,,,
K700257260,背门下外板,1.0,01B01,22,0.6,-0.6,0.354,,,
K700257260,背门下外板,1.0,01B01,23a,0.6,-0.6,0.313,,,
K700257260,背门下外板,1.0,01B01,23b,0.6,-0.6,0.38,,,
K700257260,背门下外板,2.0,01B02,1-5,0.6,0.0,0.097,,,
K700257260,背门下外板,2.0,01B02,6-9,0.6,0.0,0.132,,,
K700257260,背门下外板,2.0,01B02,10-14,0.6,0.0,0.163,,,
K700257260,背门下外板,2.0,01B02,15-18,0.6,0.0,0.132,,,
K700257260,背门下外板,2.0,01B02,19-23,0.6,0.0,0.097,,,
K700257260,背门下外板,1.0,01B03,1a,0.6,-0.6,-0.359,,,
K700257260,背门下外板,1.0,01B03,1b,0.6,-0.6,-0.38,,,
K700257260,背门下外板,1.0,01B03,2a,0.6,-0.6,-0.087,,,
K700257260,背门下外板,1.0,01B03,2b,0.6,-0.6,-0.284,,,
K700257260,背门下外板,1.0,01B03,3a,0.6,-0.6,-0.26,,,
K700257260,背门下外板,1.0,01B03,3b,0.6,-0.6,-0.173,,,
K700257260,背门下外板,1.0,01B03,4a,0.6,-0.6,-0.03,,,
K700257260,背门下外板,1.0,01B03,4b,0.6,-0.6,0.042,,,
K700257260,背门下外板,1.0,01B03,5a,0.6,-0.6,-0.237,-0.16,-0.209,-0.172
K700257260,背门下外板,1.0,01B03,5b,0.6,-0.6,-0.216,,,
K700257260,背门下外板,1.0,01B03,6a,0.6,-0.6,-0.334,,,
K700257260,背门下外板,1.0,01B03,6b,0.6,-0.6,-0.359,,,
K700257260,背门下外板,1.0,01B03,7a,0.6,-0.6,-0.396,,,
K700257260,背门下外板,1.0,01B03,7b,0.6,-0.6,-0.31,,,
K700257260,背门下外板,1.0,01B03,8a,0.6,-0.6,-0.378,,,
K700257260,背门下外板,1.0,01B03,8b,0.6,-0.6,-0.35,,,
K700257260,背门下外板,1.0,01B03,9a,0.6,-0.6,-0.369,,,
K700257260,背门下外板,1.0,01B03,9b,0.6,-0.6,-0.399,,,
K700257260,背门下外板,1.0,01B03,10a,0.6,-0.6,0.334,,,
K700257260,背门下外板,1.0,01B03,10b,0.6,-0.6,0.348,,,
K700257260,背门下外板,1.0,01B03,11a,0.6,-0.6,-0.474,,,
K700257260,背门下外板,1.0,01B03,11b,0.6,-0.6,-0.4,,,
K700257260,背门下外板,1.0,01B03,12a,0.6,-0.6,-0.432,-0.431,-0.447,-0.437
K700257260,背门下外板,1.0,01B03,12b,0.6,-0.6,-0.388,,,
K700257260,背门下外板,1.0,01B03,13a,0.6,-0.6,-0.36,,,
K700257260,背门下外板,1.0,01B03,13b,0.6,-0.6,-0.308,,,
K700257260,背门下外板,1.0,01B03,14a,0.6,-0.6,0.561,,,
K700257260,背门下外板,1.0,01B03,14b,0.6,-0.6,0.595,,,
K700257260,背门下外板,1.0,01B03,15a,0.6,-0.6,-0.783,,,
K700257260,背门下外板,1.0,01B03,15b,0.6,-0.6,-0.616,,,
K700257260,背门下外板,1.0,01B03,16a,0.6,-0.6,-0.497,,,
K700257260,背门下外板,1.0,01B03,16b,0.6,-0.6,-0.541,,,
K700257260,背门下外板,1.0,01B03,17a,0.6,-0.6,-0.443,,,
K700257260,背门下外板,1.0,01B03,17b,0.6,-0.6,-0.442,,,
K700257260,背门下外板,1.0,01B03,18a,0.6,-0.6,-0.246,,,
K700257260,背门下外板,1.0,01B03,18b,0.6,-0.6,-0.269,,,
K700257260,背门下外板,1.0,01B03,19a,0.6,-0.6,-0.062,-0.088,-0.146,-0.156
K700257260,背门下外板,1.0,01B03,19b,0.6,-0.6,-0.051,,,
K700257260,背门下外板,1.0,01B03,20a,0.6,-0.6,0.187,,,
K700257260,背门下外板,1.0,01B03,20b,0.6,-0.6,0.205,,,
K700257260,背门下外板,1.0,01B03,21a,0.6,-0.6,-0.276,,,
K700257260,背门下外板,1.0,01B03,21b,0.6,-0.6,-0.185,,,
K700257260,背门下外板,1.0,01B03,22a,0.6,-0.6,-0.205,,,
K700257260,背门下外板,1.0,01B03,22b,0.6,-0.6,-0.343,,,
K700257260,背门下外板,1.0,01B03,23a,0.6,-0.6,-0.308,,,
K700257260,背门下外板,1.0,01B03,23b,0.6,-0.6,-0.173,,,
K700257260,背门下外板,2.0,01B04,1,0.6,0.0,0.415,,,
K700257260,背门下外板,2.0,01B04,2,0.6,0.0,1.413,,,
K700257260,背门下外板,2.0,01B04,3,0.6,0.0,0.28,,,
K700257260,背门下外板,1.0,02A01,1a,0.6,-0.6,0.467,,,
K700257260,背门下外板,1.0,02A01,1b,0.6,-0.6,0.294,,,
K700257260,背门下外板,1.0,02A01,2a,0.6,-0.6,0.375,,,
K700257260,背门下外板,1.0,02A01,2b,0.6,-0.6,0.195,,,
K700257260,背门下外板,1.0,02A01,3a,0.6,-0.6,0.587,0.53,0.454,0.55
K700257260,背门下外板,1.0,02A01,3b,0.6,-0.6,0.032,,,
K700257260,背门下外板,1.0,02A01,4a,0.6,-0.6,0.435,,,
K700257260,背门下外板,1.0,02A01,4b,0.6,-0.6,0.126,,,
K700257260,背门下外板,1.0,02A01,5a,0.6,-0.6,0.4,,,
K700257260,背门下外板,1.0,02A01,5b,0.6,-0.6,0.158,,,
K700257260,背门下外板,1.0,02A01,6a,0.6,-0.6,0.407,,,
K700257260,背门下外板,1.0,02A01,6b,0.6,-0.6,0.189,,,
K700257260,背门下外板,1.0,02A01,7a,0.6,-0.6,0.483,,,
K700257260,背门下外板,1.0,02A01,7b,0.6,-0.6,0.133,,,
K700257260,背门下外板,1.0,02A01,8a,0.6,-0.6,0.647,0.572,0.615,0.601
K700257260,背门下外板,1.0,02A01,8b,0.6,-0.6,0.058,,,
K700257260,背门下外板,1.0,02A01,9a,0.6,-0.6,0.392,,,
K700257260,背门下外板,1.0,02A01,9b,0.6,-0.6,0.22,,,
K700257260,背门下外板,1.0,02A01,10a,0.6,-0.6,-0.297,,,
K700257260,背门下外板,1.0,02A01,10b,0.6,-0.6,-0.108,,,
K700257260,背门下外板,2.0,02A03,1,0.6,0.0,0.607,,,
K700257260,背门下外板,1.0,02A02,1,0.75,-0.75,-0.341,,,
K700257260,背门下外板,1.0,02A02,2,0.75,-0.75,-0.86,,,
K700257260,背门下外板,1.0,02A02,3,0.75,-0.75,-1.304,-1.252,-1.299,-1.294
K700257260,背门下外板,1.0,02A02,4,0.75,-0.75,-0.948,,,
K700257260,背门下外板,1.0,02A02,5,0.75,-0.75,-0.975,,,
K700257260,背门下外板,1.0,02A02,6,0.75,-0.75,-0.89,,,
K700257260,背门下外板,1.0,02A02,7,0.75,-0.75,-0.854,,,
K700257260,背门下外板,1.0,02A02,8,0.75,-0.75,-1.215,-1.172,-1.223,-1.197
K700257260,背门下外板,1.0,02A02,9,0.75,-0.75,-0.77,,,
K700257260,背门下外板,1.0,02A02,10,0.75,-0.75,-0.541,,,
K700257260,背门下外板,1.0,03B01,1a,0.6,-0.6,0.177,,,
K700257260,背门下外板,1.0,03B01,1b,0.6,-0.6,0.281,,,
