零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700257360,背门外板支撑板,P,04A02,1,0.5,-0.5,0.1,0.1,0,0.2
K700257360,背门外板支撑板,P,04A02,1,0.5,-0.5,0.2,0.3,0.2,0.1
K700257360,背门外板支撑板,P,04A02,2,0.5,-0.5,0.2,0.3,0.1,0.2
K700257360,背门外板支撑板,P,04A02,2,0.5,-0.5,0.1,-0.2,0.1,0
K700257360,背门外板支撑板,P,04A02,3,0.5,-0.5,0.2,0.3,0.2,0.1
K700257360,背门外板支撑板,P,04A02,3,0.5,-0.5,0.2,0.1,0.1,0
K700257360,背门外板支撑板,P,04A02,4,0.5,-0.5,0.1,0.2,0.2,0.1
K700257360,背门外板支撑板,P,04A02,4,0.5,-0.5,0.1,0.2,0.2,0.1
K700257360,背门外板支撑板,P,04A02,5,0.5,-0.5,0.2,0.2,0.1,0.2
K700257360,背门外板支撑板,P,04A02,5,0.5,-0.5,0.2,0.3,0.2,0.2
K700257360,背门外板支撑板,P,04A02,6,0.5,-0.5,0.2,0.3,0.2,0.1
K700257360,背门外板支撑板,P,04A02,6,0.5,-0.5,0.2,0.2,0.1,0.2
K700257360,背门外板支撑板,P,05A02,,0.6,-0.6,0.3,0.2,0.3,0.2
K700257360,背门外板支撑板,P,05A02,,0.6,-0.6,0.2,0.2,0.2,0.2
K700257360,背门外板支撑板,P,06A02,,0.6,-0.6,0.3,0.2,0.3,0.2
K700257360,背门外板支撑板,P,06A02,,0.6,-0.6,0.2,0.2,0.1,0.1
K700257360,背门外板支撑板,P,06A03,,0.5,-0.5,0.2,0.3,0.2,0.2
K700257360,背门外板支撑板,P,06A03,,0.5,-0.5,0.2,0.3,0.3,0.2
K700257360,背门外板支撑板,P,06A04,,0.5,-0.5,0.2,0.2,0.3,0.1
K700257360,背门外板支撑板,P,06A04, ,0.5,-0.5,0.3,0.2,0.3,0.2
K700257360,背门外板支撑板,P,07A02, ,0.6,-0.6,0.1,0.2,0.2,0.2
K700257360,背门外板支撑板,P,07A02, ,0.6,-0.6,0.2,0.2,0.2,0.1
K700257360,背门外板支撑板,, ,,,,,,,
K700257360,背门外板支撑板,P,08A01,1,0.6,-0.6,0.3,0.3,0.2,0.2
K700257360,背门外板支撑板,P,08A01,1,0.6,-0.6,0.2,0.3,0.2,0.2
