零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700225560,背门左撑杆固定加强板总成,P,03A01,1,0.6,-0.6,0.2,0.2,0.2,0.2
K700225560,背门左撑杆固定加强板总成,P,03A01,1,0.6,-0.6,0.3,0.2,0.2,0.2
K700225560,背门左撑杆固定加强板总成,P,03A01,2,0.6,-0.6,0.2,0.2,0.2,0.2
K700225560,背门左撑杆固定加强板总成,P,03A01,2,0.6,-0.6,0.2,0.2,0.2,0.1
K700225560,背门左撑杆固定加强板总成,P,04A01,1,0.6,-0.6,0.2,0.1,0.2,0.1
K700225560,背门左撑杆固定加强板总成,P,04A01,1,0.6,-0.6,0.1,0.3,0.2,0.1
K700225560,背门左撑杆固定加强板总成,P,04A02,1,0.6,-0.6,0.2,0.3,0.2,0.3
K700225560,背门左撑杆固定加强板总成,P,04A02,1,0.6,-0.6,0.2,0.3,0.2,0.3
K700225560,背门左撑杆固定加强板总成,P,05A01,1,0.6,-0.6,0.2,0.2,0.2,0.1
K700225560,背门左撑杆固定加强板总成,P,05A01,1,0.6,-0.6,0.2,0.1,0.2,0.1
K700225560,背门左撑杆固定加强板总成,P,01A01,1,0.6,-0.6,-0.4,-0.3,-0.4,-0.4
K700225560,背门左撑杆固定加强板总成,P,01A01,2,0.6,-0.6,-0.5,-0.4,-0.5,-0.4
K700225560,背门左撑杆固定加强板总成,P,01A01,3,0.6,-0.6,-0.1,-0.2,-0.2,-0.2
K700225560,背门左撑杆固定加强板总成,P,01A01,4,0.6,-0.6,-0.3,-0.3,-0.2,-0.3
K700225560,背门左撑杆固定加强板总成,P,01A01,5,0.6,-0.6,-0.3,-0.4,-0.3,-0.3
K700225560,背门左撑杆固定加强板总成,P,01A01,6,0.6,-0.6,0,0,0.1,0
K700225560,背门左撑杆固定加强板总成,P,01A01,7,0.6,-0.6,-0.1,0,-0.1,-0.1
K700225560,背门左撑杆固定加强板总成,P,01A01,8,0.6,-0.6,0.1,-0.1,0.2,-0.1
K700225560,背门左撑杆固定加强板总成,P,01A01,9,0.6,-0.6,0.6,0.6,0.7,0.6
K700225560,背门左撑杆固定加强板总成,P,01A01,10,0.6,-0.6,0.6,0.7,0.6,0.6
K700225560,背门左撑杆固定加强板总成,P,01A01,11,0.6,-0.6,0.4,0.5,0.5,0.4
K700225560,背门左撑杆固定加强板总成,P,01A01,12,0.6,-0.6,0.5,0.4,0.4,0.5
K700225560,背门左撑杆固定加强板总成,P,01A01,13,0.6,-0.6,0.6,0.6,0.6,0.6
K700225560,背门左撑杆固定加强板总成,P,01A01,14,0.6,-0.6,-0.5,-0.5,-0.5,-0.5
K700225560,背门左撑杆固定加强板总成,P,01A01,15,0.6,-0.6,-0.6,-0.6,-0.6,-0.6
K700225560,背门左撑杆固定加强板总成,P,01A01,16,0.6,-0.6,-0.3,-0.3,-0.4,-0.3
K700225560,背门左撑杆固定加强板总成,P,01A01,17,0.6,-0.6,0,0,0,0.1
K700225560,背门左撑杆固定加强板总成,P,01A01,18,0.6,-0.6,-0.1,-0.1,0,-0.1
K700225560,背门左撑杆固定加强板总成,P,01A01,19,0.6,-0.6,0.2,0.1,0.2,0.2
K700225560,背门左撑杆固定加强板总成,P,01A01,20,0.6,-0.6,-0.2,-0.2,-0.2,-0.2
K700225560,背门左撑杆固定加强板总成,P,01A01,21,0.6,-0.6,-0.1,-0.2,-0.1,-0.1
K700225560,背门左撑杆固定加强板总成,P,02A01,1,0.6,-0.6,0,0,0,0
K700225560,背门左撑杆固定加强板总成,P,02B01,1,0.5,-0.5,-0.2,-0.2,-0.2,-0.2
K700225560,背门左撑杆固定加强板总成,P,02B01,2,0.5,-0.5,-0.3,-0.2,-0.2,-0.3
K700225560,背门左撑杆固定加强板总成,P,02B01,3,0.5,-0.5,-0.4,-0.3,-0.4,-0.3
K700225560,背门左撑杆固定加强板总成,P,02B01,4,0.5,-0.5,0.3,0.2,0.2,0.3
K700225560,背门左撑杆固定加强板总成,P,02B01,5,0.5,-0.5,0.3,0.3,0.3,0.4
K700225560,背门左撑杆固定加强板总成,P,02B01,6,0.5,-0.5,0.3,0.2,0.2,0.3
K700225560,背门左撑杆固定加强板总成,P,02B01,7,0.5,-0.5,0.3,0.2,0.3,0.3
K700225560,背门左撑杆固定加强板总成,P,02B01,8,0.5,-0.5,-0.3,-0.2,-0.2,-0.2
K700225560,背门左撑杆固定加强板总成,P,02B01,9,0.5,-0.5,-0.3,-0.3,-0.2,-0.3
