零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700225160,背门左铰链加强板总成,P,03A01,1,0.5,-0.5,0.1,0.2,0.3,0.2
K700225160,背门左铰链加强板总成,P,03A01,1,0.5,-0.5,-0.2,-0.2,-0.1,-0.2
K700225160,背门左铰链加强板总成,P,03A01,2,0.5,-0.5,0.1,0.2,0.1,0.1
K700225160,背门左铰链加强板总成,P,03A01,2,0.5,-0.5,-0.2,-0.1,-0.2,-0.2
K700225160,背门左铰链加强板总成,P,01A01,1,0.5,-0.5,-0.3,-0.3,-0.2,-0.3
K700225160,背门左铰链加强板总成,P,01A01,2,0.5,-0.5,-0.3,-0.3,-0.2,-0.3
K700225160,背门左铰链加强板总成,P,01A01,3,0.5,-0.5,-0.1,0,-0.1,0
K700225160,背门左铰链加强板总成,F,01A02,,0.4,0,0.19999999999999998,0.3,0.1,0.3
K700225160,背门左铰链加强板总成,P,02A01,1,0.5,-0.5,0.1,0.1,0,0.2
K700225160,背门左铰链加强板总成,P,02A01,2,0.5,-0.5,0,0.1,0.1,0
K700225160,背门左铰链加强板总成,P,02A01,3,0.5,-0.5,-0.1,0,0,-0.1
K700225160,背门左铰链加强板总成,P,02A01,4,0.5,-0.5,-0.2,-0.2,-0.1,-0.2
K700225160,背门左铰链加强板总成,P,02A01,5,0.5,-0.5,0,0,-0.1,0
K700225160,背门左铰链加强板总成,P,02A01,6,0.5,-0.5,0.1,0.1,0.1,0
K700225160,背门左铰链加强板总成,P,02A01,7,0.5,-0.5,0,0,0,-0.1
K700225160,背门左铰链加强板总成,P,02A01,8,0.5,-0.5,-0.4,-0.3,-0.3,-0.4
K700225160,背门左铰链加强板总成,P,01A03,1,0.5,-0.5,0.3,0.3,0.2,0.3
K700225160,背门左铰链加强板总成,P,01A03,2,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700225160,背门左铰链加强板总成,P,01A03,3,0.5,-0.5,-0.1,-0.1,-0.1,-0.1
K700225160,背门左铰链加强板总成,P,01A03,4,0.5,-0.5,0,0,-0.1,0
K700225160,背门左铰链加强板总成,P,01A03,5,0.5,-0.5,0,0,-0.1,0
