零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700225060,背门里板,1.0,01A01,1,0.75,-0.75,0.47,,,
K700225060,背门里板,1.0,01A01,2,0.75,-0.75,0.105,,,
K700225060,背门里板,1.0,01A01,3,0.75,-0.75,0.188,,,
K700225060,背门里板,1.0,01A01,4,0.75,-0.75,0.125,0.106,0.145,0.144
K700225060,背门里板,1.0,01A01,5,0.75,-0.75,0.176,,,
K700225060,背门里板,1.0,01A01,6,0.75,-0.75,0.054,,,
K700225060,背门里板,1.0,01A01,7,0.75,-0.75,0.314,,,
K700225060,背门里板,1.0,01A01,8,0.0,-1.5,-0.722,,,
K700225060,背门里板,1.0,01A01,9,0.0,-1.5,-0.818,,,
K700225060,背门里板,1.0,01A01,10,0.75,-0.75,0.33,0.373,0.35,0.325
K700225060,背门里板,1.0,01A01,11,0.75,-0.75,0.089,,,
K700225060,背门里板,1.0,01A01,12,0.75,-0.75,0.543,,,
K700225060,背门里板,1.0,01A01,13,0.75,-0.75,0.245,,,
K700225060,背门里板,1.0,01A01,14,0.75,-0.75,0.19,,,
K700225060,背门里板,1.0,01A01,15,0.75,-0.75,-0.076,-0.1,-0.061,-0.058
K700225060,背门里板,1.0,01A01,16,0.75,-0.75,-0.069,,,
K700225060,背门里板,1.0,01A01,17,0.75,-0.75,0.018,,,
K700225060,背门里板,1.0,01A01,18,0.75,-0.75,-0.125,,,
K700225060,背门里板,1.0,01A01,19,0.75,-0.75,-0.216,-0.225,-0.221,-0.226
K700225060,背门里板,1.0,01A01,20,0.75,-0.75,-0.171,,,
K700225060,背门里板,1.0,01A01,21,0.75,-0.75,-0.009,,,
K700225060,背门里板,1.0,01A01,22,1.5,0.0,0.725,,,
K700225060,背门里板,1.0,01A01,23,0.0,-1.5,-0.972,,,
K700225060,背门里板,1.0,01A01,24,0.0,-1.5,-0.832,,,
K700225060,背门里板,1.0,01A01,25,0.0,-1.5,-0.828,-0.916,-0.878,-1.287
K700225060,背门里板,1.0,01A01,26,0.0,-1.5,-0.728,,,
K700225060,背门里板,1.0,01A01,27,0.75,-0.75,0.283,,,
K700225060,背门里板,1.0,01A01,28,0.0,-1.5,-0.917,,,
K700225060,背门里板,1.0,01A01,29,0.0,-1.5,-0.797,,,
K700225060,背门里板,1.0,01A01,30,0.5,-1.0,-0.539,-0.52,-0.526,-0.554
K700225060,背门里板,1.0,01A01,31,0.5,-1.0,-0.516,,,
K700225060,背门里板,1.0,01A01,32,0.5,-1.0,-0.521,,,
K700225060,背门里板,1.0,01A01,33,0.75,-0.75,0.344,,,
K700225060,背门里板,1.0,01A01,34,1.5,0.0,0.743,,,
K700225060,背门里板,2.0,01A02,1,0.75,0.0,0.027,,,
