零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700226060,背门锁加强板,P,02A01,1,0.6,-0.6,0.2,0.3,0.2,0.1
K700226060,背门锁加强板,P,02A01,1,0.6,-0.6,0.2,0.2,0.1,0.2
K700226060,背门锁加强板,P,02A01,2,0.6,-0.6,0.1,0.2,0.1,0.2
K700226060,背门锁加强板,P,02A01,2,0.6,-0.6,0.2,0.1,0.2,0.2
K700226060,背门锁加强板,P,05A01,,0.5,-0.5,0.2,0.3,0.2,0.1
K700226060,背门锁加强板,P,05A01,,0.5,-0.5,0.1,0.2,0.3,0.2
K700226060,背门锁加强板,P,05A02,,0.6,-0.6,0.3,0.3,0.3,0.3
K700226060,背门锁加强板,P,05A02,,0.6,-0.6,0.1,0.1,0.2,0.2
K700226060,背门锁加强板,P,06A01,,0.6,-0.6,0.2,0.2,0.2,0.1
K700226060,背门锁加强板,P,06A01,,0.6,-0.6,0.2,0.1,0.2,0.2
K700226060,背门锁加强板,P,04A01,1,0.7,-0.7,-0.6,-0.5,-0.5,-0.6
K700226060,背门锁加强板,P,04A01,2,0.7,-0.7,-0.2,-0.2,-0.1,-0.2
K700226060,背门锁加强板,P,04A01,3,0.7,-0.7,-0.1,-0.1,-0.1,-0.1
K700226060,背门锁加强板,P,04A01,4,0.7,-0.7,0.4,0.3,0.4,0.3
K700226060,背门锁加强板,P,01A01,1,0.5,-0.5,-0.3,-0.3,-0.2,-0.3
K700226060,背门锁加强板,P,01A01,2,0.5,-0.5,-0.1,-0.2,-0.1,-0.1
K700226060,背门锁加强板,P,01A01,3,0.5,-0.5,-0.1,-0.2,-0.1,-0.1
K700226060,背门锁加强板,P,01A01,4,0.5,-0.5,0,0,0.1,0
K700226060,背门锁加强板,P,01A01,5,0.5,-0.5,-0.2,-0.1,-0.2,-0.2
K700226060,背门锁加强板,P,01A01,6,0.5,-0.5,-0.1,0,-0.1,0
K700226060,背门锁加强板,P,01A01,7,0.5,-0.5,0.3,0.3,0.3,0.3
K700226060,背门锁加强板,P,01A01,8,0.5,-0.5,-0.1,0,-0.1,0
K700226060,背门锁加强板,P,01A01,9,0.5,-0.5,0,-0.1,0,0
K700226060,背门锁加强板,P,01A01,10,0.5,-0.5,0,0,0,0
K700226060,背门锁加强板,P,01A01,11,0.5,-0.5,0,0.1,0,0
K700226060,背门锁加强板,P,01A01,12,0.5,-0.5,-0.2,-0.2,-0.1,-0.2
K700226060,背门锁加强板,P,01A01,13,0.5,-0.5,-0.1,-0.1,-0.2,-0.1
K700226060,背门锁加强板,P,01A01,14,0.5,-0.5,-0.1,-0.1,0,-0.1
K700226060,背门锁加强板,P,01A01,15,0.5,-0.5,-0.3,-0.2,-0.3,-0.3
K700226060,背门锁加强板,P,01A01,16,0.5,-0.5,-0.5,-0.4,-0.4,-0.5
K700226060,背门锁加强板,P,01A01,17,0.5,-0.5,-0.3,-0.3,-0.3,-0.3
K700226060,背门锁加强板,P,01A01,18,0.5,-0.5,0,-0.1,-0.1,0
K700226060,背门锁加强板,F,01A02,1,0.5,0,0.3,0.3,0.30000000000000004,0.3
K700226060,背门锁加强板,F,01A02,2,0.5,0,0.5,0.5,0.5,0.5
K700226060,背门锁加强板,F,01A02,3,0.5,0,0.5,0.30000000000000004,0.4,0.5
K700226060,背门锁加强板,P,03A01,1,0.5,-0.5,-0.1,-0.1,-0.1,0
K700226060,背门锁加强板,P,03A01,2,0.5,-0.5,-0.1,0,-0.1,0
K700226060,背门锁加强板,P,03A01,3,0.5,-0.5,-0.2,-0.1,-0.1,-0.2
K700226060,背门锁加强板,P,03A01,4,0.5,-0.5,-0.2,-0.1,-0.1,-0.2
K700226060,背门锁加强板,F,03A02,,0.5,0,0.1,0.1,0,0.2
K700226060,背门锁加强板,P,07A01,1,0.6,-0.6,-0.4,-0.5,-0.5,-0.4
K700226060,背门锁加强板,P,07A01,2,0.6,-0.6,-0.2,-0.2,-0.2,-0.3
K700226060,背门锁加强板,P,07A01,3,0.6,-0.6,0,0,0,0
K700226060,背门锁加强板,P,07A01,4,0.6,-0.6,-0.5,-0.4,-0.5,-0.4
K700226060,背门锁加强板,P,07A01,5,0.6,-0.6,-0.4,-0.3,-0.4,-0.4
K700226060,背门锁加强板,P,07A01,6,0.6,-0.6,-0.5,-0.5,-0.5,-0.4
