零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K600057860,1.0,01A01,1X,0.5,-0.5,0.296,,,
K600057860,1.0,01A01,1Y,0.5,-0.5,-0.11,,,
K600057860,1.0,01A01,2X,0.5,-0.5,0.196,,,
K600057860,1.0,01A01,2Y,0.5,-0.5,-0.153,,,
K600057860,1.0,01B01,3,0.5,-0.5,1.021,0.936,0.84,0.865
K600057860,1.0,01B01,4,0.5,-0.5,0.333,,,
K600057860,1.0,01B01,5,0.5,-0.5,0.812,,,
K600057860,1.0,01B01,6,0.5,-0.5,0.566,,,
K600057860,1.0,01B01,7,0.5,-0.5,-0.03,-0.036,-0.038,-0.041
K600057860,1.0,01B01,8,0.5,-0.5,0.411,,,
K600057860,2.0,01D01,1,0.5,0.0,0.189,,,
K600057860,1.0,01D02,9X,0.5,-0.5,0.37,0.437,0.375,0.311
K600057860,1.0,01D02,9Y,0.5,-0.5,-0.13,-0.106,-0.129,-0.126
K600057860,1.0,01D02,10X,0.5,-0.5,0.343,0.285,0.333,0.165
K600057860,1.0,01D02,10Y,0.5,-0.5,-0.139,-0.119,-0.126,-0.124
K600057860,1.0,02B01,1,0.5,-0.5,-0.033,0.005,0.026,0.012
K600057860,1.0,02B01,2,0.5,-0.5,-0.325,,,
K600057860,1.0,02B01,3,0.5,-0.5,-0.583,,,
K600057860,1.0,02B01,4,0.5,-0.5,-0.423,,,
K600057860,1.0,02B01,5,0.5,-0.5,-0.246,,,
K600057860,1.0,02B01,6,0.5,-0.5,-0.137,-0.163,-0.13,-0.145
K600057860,1.0,02B01,7,0.5,-0.5,-0.217,,,
K600057860,1.0,02B01,8,0.5,-0.5,-0.371,,,
K600057860,1.0,02B01,9,0.5,-0.5,-0.538,,,
K600057860,1.0,02B01,10,0.5,-0.5,-0.184,,,
K600057860,1.0,02B01,11,0.5,-0.5,-0.079,-0.057,-0.052,-0.047
K600057860,2.0,02B02,1,0.5,0.0,0.382,,,
K600057860,1.0,02B03,12a,0.5,-0.5,0.451,0.484,0.459,0.463
K600057860,1.0,02B03,12b,0.5,-0.5,0.434,,,
K600057860,1.0,02B03,13a,0.5,-0.5,0.434,,,
K600057860,1.0,02B03,13b,0.5,-0.5,0.534,,,
K600057860,1.0,02B03,14a,0.5,-0.5,-0.156,,,
K600057860,1.0,02B03,14b,0.5,-0.5,0.016,,,
K600057860,1.0,02B03,15a,0.5,-0.5,-0.415,,,
K600057860,1.0,02B03,15b,0.5,-0.5,-0.282,,,
K600057860,1.0,02B03,16a,0.5,-0.5,-0.34,,,
K600057860,1.0,02B03,16b,0.5,-0.5,-0.312,,,
K600057860,1.0,02B03,17a,0.5,-0.5,-0.285,-0.205,-0.223,-0.234
K600057860,1.0,02B03,17b,0.5,-0.5,-0.245,,,
K600057860,1.0,02B03,18a,0.5,-0.5,-0.405,,,
K600057860,1.0,02B03,18b,0.5,-0.5,-0.372,,,
K600057860,1.0,02B03,19a,0.5,-0.5,-0.479,,,
K600057860,1.0,02B03,19b,0.5,-0.5,-0.379,,,
K600057860,1.0,02B03,20a,0.5,-0.5,-0.305,,,
K600057860,1.0,02B03,20b,0.5,-0.5,-0.151,,,
K600057860,1.0,02B03,21a,0.5,-0.5,0.275,,,
K600057860,1.0,02B03,21b,0.5,-0.5,0.358,,,
K600057860,1.0,02B03,22a,0.5,-0.5,0.243,0.26,0.251,0.273
K600057860,1.0,02B03,22b,0.5,-0.5,0.246,,,
K600057860,2.0,02B04,1,0.5,0.0,0.855,,,
K600057860,1.0,03A01,1X,0.5,-0.5,-0.434,-0.473,-0.322,-0.435
K600057860,1.0,03A01,1Y,0.5,-0.5,0.28,0.244,0.15,0.326
K600057860,1.0,03A01,2X,0.5,-0.5,0.069,,,
K600057860,1.0,03A01,2Y,0.5,-0.5,0.281,,,
K600057860,1.0,03B01,3a,0.6,-0.6,-0.415,-0.424,-0.417,-0.415
K600057860,1.0,03B01,3b,0.6,-0.6,-0.376,,,
K600057860,1.0,03B01,4a,0.6,-0.6,-0.338,,,
K600057860,1.0,03B01,4b,0.6,-0.6,-0.338,,,
K600057860,1.0,03B01,5a,0.6,-0.6,-0.074,,,
K600057860,1.0,03B01,5b,0.6,-0.6,-0.125,,,
K600057860,1.0,03B01,6a,0.6,-0.6,-0.05,,,
K600057860,1.0,03B01,6b,0.6,-0.6,-0.07,,,
K600057860,1.0,03B01,7a,0.6,-0.6,-0.127,,,
K600057860,1.0,03B01,7b,0.6,-0.6,-0.131,,,
K600057860,1.0,03B01,8a,0.6,-0.6,-0.153,,,
K600057860,1.0,03B01,8b,0.6,-0.6,-0.153,,,
K600057860,1.0,03B01,9a,0.6,-0.6,-0.141,-0.157,-0.133,-0.152
K600057860,1.0,03B01,9b,0.6,-0.6,-0.149,,,
K600057860,1.0,03B01,10a,0.6,-0.6,-0.16,,,
K600057860,1.0,03B01,10b,0.6,-0.6,-0.166,,,
K600057860,1.0,03B01,11a,0.6,-0.6,-0.146,,,
K600057860,1.0,03B01,11b,0.6,-0.6,-0.151,,,
K600057860,1.0,03B01,12a,0.6,-0.6,-0.059,,,
K600057860,1.0,03B01,12b,0.6,-0.6,-0.091,,,
K600057860,1.0,03B01,13a,0.6,-0.6,-0.101,,,
K600057860,1.0,03B01,13b,0.6,-0.6,-0.131,,,
K600057860,1.0,03B01,14a,0.6,-0.6,-0.34,,,
K600057860,1.0,03B01,14b,0.6,-0.6,-0.337,-0.339,-0.332,-0.34
K600057860,1.0,03B01,15a,0.6,-0.6,-0.325,,,
K600057860,1.0,03B01,15b,0.6,-0.6,-0.288,,,
K600057860,2.0,03B02,1,0.6,0.0,0.186,,,
K600057860,1.0,03B03,3,0.5,-0.5,-0.194,-0.186,-0.237,-0.203
K600057860,1.0,03B03,4,0.5,-0.5,-0.431,,,
K600057860,1.0,03B03,5,0.5,-0.5,-0.393,,,
K600057860,1.0,03B03,6,0.5,-0.5,-0.412,,,
K600057860,1.0,03B03,7,0.5,-0.5,-0.431,,,
K600057860,1.0,03B03,8,0.5,-0.5,-0.449,,,
K600057860,1.0,03B03,9,0.5,-0.5,-0.407,-0.408,-0.425,-0.416
K600057860,1.0,03B03,10,0.5,-0.5,-0.446,,,
K600057860,1.0,03B03,11,0.5,-0.5,-0.413,,,
K600057860,1.0,03B03,12,0.5,-0.5,-0.388,,,
K600057860,1.0,03B03,13,0.5,-0.5,-0.269,,,
K600057860,1.0,03B03,14,0.5,-0.5,-0.356,,,
K600057860,1.0,03B03,15,0.5,-0.5,-0.059,-0.049,-0.092,-0.087
K600057860,2.0,03B04,1,0.5,0.0,0.245,,,
K600057860,1.0,04A01,1.0,0.75,-0.75,7.15,,,
K600057860,1.0,04A01,2.0,0.75,-0.75,-0.448,,,
K600057860,1.0,04A01,3.0,0.75,-0.75,-0.559,-0.643,-0.609,-0.569
K600057860,1.0,04A01,4.0,0.75,-0.75,-0.711,,,
K600057860,1.0,04A01,5.0,0.75,-0.75,0.161,,,
K600057860,1.0,04A01,6.0,0.75,-0.75,-0.489,,,
K600057860,1.0,04A01,7.0,0.75,-0.75,-0.388,,,
K600057860,1.0,04A01,8.0,0.75,-0.75,-0.331,,,
K600057860,1.0,04A02,9.0,0.75,-0.75,-0.44,,,
K600057860,1.0,04A02,10.0,0.75,-0.75,-0.542,,,
K600057860,1.0,04A02,11.0,0.75,-0.75,-0.559,,,
K600057860,1.0,04A02,12.0,0.75,-0.75,-0.469,,,
K600057860,1.0,04A02,13.0,0.75,-0.75,-0.854,,,
K600057860,1.0,04A02,14.0,0.75,-0.75,-0.755,-0.707,-0.786,-0.762
K600057860,1.0,04A02,15.0,0.75,-0.75,-0.629,,,
K600057860,1.0,04A02,16.0,0.75,-0.75,7.223,,,
K600057860,1.0,04B01,1.0,0.3,-0.3,-0.179,-0.133,-0.061,-0.208
K600057860,1.0,04B01,2.0,0.3,-0.3,-0.077,,,
K600057860,1.0,04B01,3.0,0.3,-0.3,-0.004,,,
K600057860,1.0,04B01,4.0,0.3,-0.3,-0.132,,,
K600057860,1.0,04B01,5.0,0.3,-0.3,-0.212,,,
K600057860,1.0,04B01,6.0,0.3,-0.3,-0.218,,,
K600057860,1.0,04B01,7.0,0.3,-0.3,-0.171,,,
K600057860,1.0,04B01,8.0,0.3,-0.3,-0.172,,,
K600057860,1.0,04B01,9.0,0.3,-0.3,-0.195,,,
K600057860,1.0,04B01,10.0,0.3,-0.3,-0.204,,,
K600057860,1.0,04B01,11.0,0.3,-0.3,-0.137,,,
K600057860,1.0,04B01,12.0,0.3,-0.3,-0.136,,,
K600057860,1.0,04B01,13.0,0.3,-0.3,-0.153,,,
K600057860,1.0,04B01,14.0,0.3,-0.3,-0.174,,,
K600057860,1.0,04B01,15.0,0.3,-0.3,-0.194,,,
K600057860,1.0,04B01,16.0,0.3,-0.3,-0.231,,,
K600057860,1.0,04B01,17.0,0.3,-0.3,-0.234,,,
K600057860,1.0,04B01,18.0,0.3,-0.3,-0.19,-0.154,-0.106,-0.188
K600057860,1.0,04B01,19.0,0.3,-0.3,-0.166,,,
K600057860,1.0,04B01,20.0,0.3,-0.3,-0.202,,,
K600057860,1.0,04B01,21.0,0.3,-0.3,-0.169,,,
K600057860,1.0,04B01,22.0,0.3,-0.3,-0.187,,,
K600057860,1.0,04B01,23.0,0.3,-0.3,-0.211,,,
K600057860,1.0,04B01,24.0,0.3,-0.3,-0.198,,,
K600057860,1.0,04B01,25.0,0.3,-0.3,-0.264,,,
K600057860,1.0,04B01,26.0,0.3,-0.3,-0.296,,,
K600057860,1.0,04B01,27.0,0.3,-0.3,-0.23,,,
K600057860,1.0,04B01,28.0,0.3,-0.3,-0.222,,,
K600057860,1.0,04B01,29.0,0.3,-0.3,-0.198,,,
K600057860,1.0,04B01,30.0,0.3,-0.3,-0.161,,,
K600057860,1.0,04B01,31.0,0.3,-0.3,-0.111,,,
K600057860,1.0,04B01,32.0,0.3,-0.3,-0.046,,,
K600057860,1.0,04B01,33.0,0.3,-0.3,0.053,,,
K600057860,1.0,04B01,34.0,0.3,-0.3,0.033,,,
K600057860,1.0,04B01,35.0,0.3,-0.3,0.118,,,
K600057860,1.0,04B01,36.0,0.3,-0.3,0.047,,,
K600057860,1.0,04B01,37.0,0.3,-0.3,0.137,0.128,0.132,0.133
K600057860,2.0,04B04,1.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,2.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,3.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,4.0,0.3,0.0,0.007,,,
K600057860,2.0,04B04,5.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,6.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,7.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,8.0,0.3,0.0,0.0,,,
K600057860,2.0,04B04,9.0,0.3,0.0,0.022,,,
K600057860,2.0,04B04,10.0,0.3,0.0,0.005,,,
K600057860,2.0,04B04,11.0,0.3,0.0,0.051,,,
K600057860,2.0,04B04,12.0,0.3,0.0,0.001,,,
