零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K600071260,顶盖中横梁总成,P,01A01,A-1,0.6,-0.6,-0.219,-0.825,-0.912,-0.964
K600071260,顶盖中横梁总成,P,01A01,A-2,0.6,-0.6,-0.274,-0.203,-0.272,-0.248
K600071260,顶盖中横梁总成,P,01A01,A-3,0.6,-0.6,-0.09,-0.122,-0.062,-0.134
K600071260,顶盖中横梁总成,P,01A01,A-4,0.6,-0.6,-0.057,-0.073,0.056,-0.097
K600071260,顶盖中横梁总成,P,01A01,A-5,0.6,-0.6,-0.529,-0.458,-0.468,-0.526
K600071260,顶盖中横梁总成,P,01A01,A-6,0.6,-0.6,-0.169,-0.036,-0.08,-0.098
K600071260,顶盖中横梁总成,P,01A01,A-7,0.6,-0.6,-0.173,-0.165,-0.097,-0.156
K600071260,顶盖中横梁总成,P,01A01,A-8,0.6,-0.6,-0.29,0.059,0.044,-0.222
K600071260,顶盖中横梁总成,P,01A01,A-9,0.6,-0.6,-0.196,-0.807,-0.099,-0.334
K600071260,顶盖中横梁总成,P,01A01,A-10,0.6,-0.6,0.014,-0.035,0.058,0.058
K600071260,顶盖中横梁总成,P,01A01,A-11,0.6,-0.6,-0.22,-0.221,-0.09,-0.233
K600071260,顶盖中横梁总成,P,01A01,A-12,0.6,-0.6,-0.521,-0.385,-0.166,-0.469
K600071260,顶盖中横梁总成,P,01A01,A-13,0.6,-0.6,-0.083,-0.396,0.211,0.032
K600071260,顶盖中横梁总成,P,01A01,A-14,0.6,-0.6,-0.002,0.062,0.116,0.053
K600071260,顶盖中横梁总成,P,01A01,A-15,0.6,-0.6,-0.197,-0.101,-0.066,-0.092
K600071260,顶盖中横梁总成,P,01A01,A-16,0.6,-0.6,-0.809,-0.582,-0.505,-0.591
K600071260,顶盖中横梁总成,P,02A01,A-17,0.6,-0.6,-1.023,-1.059,-0.961,-0.923
K600071260,顶盖中横梁总成,P,02A01,A-18,0.6,-0.6,-0.316,-0.203,-0.464,-0.288
K600071260,顶盖中横梁总成,P,02A01,A-19,0.6,-0.6,-0.309,-0.278,-0.461,-0.202
K600071260,顶盖中横梁总成,P,02A01,A-20,0.6,-0.6,-0.426,-0.271,-0.516,-0.218
K600071260,顶盖中横梁总成,P,02A01,A-21,0.6,-0.6,-0.395,-0.299,-0.539,-0.228
K600071260,顶盖中横梁总成,P,02A01,A-22,0.6,-0.6,-0.483,-0.413,-0.236,-0.345
K600071260,顶盖中横梁总成,P,02A01,A-23,0.6,-0.6,-0.56,-0.533,-0.286,-0.461
K600071260,顶盖中横梁总成,P,02A01,A-24,0.6,-0.6,-0.504,-0.515,-0.554,-0.594
K600071260,顶盖中横梁总成,P,02A01,A-25,0.6,-0.6,-0.502,-0.505,-0.559,-0.582
K600071260,顶盖中横梁总成,P,02A01,A-26,0.6,-0.6,-0.574,-0.502,-0.576,-0.559
