零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K600057960,顶盖前横梁,P,01A01,A-1a,0.6,-0.6,-0.16,-0.21,-0.14,-0.17
K600057960,顶盖前横梁,P,01A01,A-1b,0.6,-0.6,-0.06,-0.15,-0.09,-0.28
K600057960,顶盖前横梁,P,01A01,A-2a,0.6,-0.6,0.034,-0.03,0.13,0.11
K600057960,顶盖前横梁,P,01A01,A-2b,0.6,-0.6,-0.046,0.13,0.15,0.16
K600057960,顶盖前横梁,P,01A01,A-3a,0.6,-0.6,-0.06,0.12,0.14,0.11
K600057960,顶盖前横梁,P,01A01,A-3b,0.6,-0.6,0.34,0.25,0.4,0.22
K600057960,顶盖前横梁,P,01A01,A-4a,0.6,-0.6,0.21,0.22,0.16,0.31
K600057960,顶盖前横梁,P,01A01,A-4b,0.6,-0.6,0.24,-0.06,0.25,0.13
K600057960,顶盖前横梁,P,01A01,A-5a,0.6,-0.6,-0.05,0.34,0.21,0.26
K600057960,顶盖前横梁,P,01A01,A-5b,0.6,-0.6,0.22,0.43,0.16,0.25
K600057960,顶盖前横梁,P,01A01,A-6a,0.6,-0.6,0.24,0.33,-0.04,0.16
K600057960,顶盖前横梁,P,01A01,A-6b,0.6,-0.6,0.08,0.119,0.28,0.34
K600057960,顶盖前横梁,P,01A01,A-7a,0.6,-0.6,-0.03,-0.16,-0.22,-0.14
K600057960,顶盖前横梁,P,01A01,A-7b,0.6,-0.6,0.11,0.28,0.19,0.19
K600057960,顶盖前横梁,P,01A01,A-8a,0.6,-0.6,-0.06,0.05,-0.18,-0.22
K600057960,顶盖前横梁,P,01A01,A-8b,0.6,-0.6,0.13,0.25,0.22,-0.13
K600057960,顶盖前横梁,P,02A01,A-9a,0.6,-0.6,0.05,0.07,0.17,0.21
K600057960,顶盖前横梁,P,02A01,A-9b,0.6,-0.6,-0.22,-0.16,-0.08,-0.14
K600057960,顶盖前横梁,P,02A01,A-10a,0.6,-0.6,0.03,0.21,0.16,0.25
K600057960,顶盖前横梁,P,02A01,A-10b,0.6,-0.6,0.06,0.19,0.17,0.22
K600057960,顶盖前横梁,P,02A01,A-11a,0.6,-0.6,0.061,0.06,0.24,0.17
K600057960,顶盖前横梁,P,02A01,A-11b,0.6,-0.6,0.22,0.19,0.28,0.34
K600057960,顶盖前横梁,P,02A01,A-12a,0.6,-0.6,0.27,0.25,0.31,0.18
K600057960,顶盖前横梁,P,02A01,A-12b,0.6,-0.6,0.16,0.33,0.16,0.17
K600057960,顶盖前横梁,P,02A01,A-13a,0.6,-0.6,0.096,0.1,0.1,0.09
K600057960,顶盖前横梁,P,02A01,A-13b,0.6,-0.6,0.11,0.15,0.21,0.08
K600057960,顶盖前横梁,P,02A01,A-14a,0.6,-0.6,-0.178,0.21,0.16,0.13
K600057960,顶盖前横梁,P,02A01,A-14b,0.6,-0.6,-0.05,-0.16,-0.14,-0.11
K600057960,顶盖前横梁,P,02A01,A-15a,0.6,-0.6,0.16,0.21,0.15,0.14
K600057960,顶盖前横梁,P,02A01,A-15b,0.6,-0.6,0.13,0.09,0.14,0.12
K600057960,顶盖前横梁,P,02A01,A-16a,0.6,-0.6,-0.14,0.12,0.09,0.14
K600057960,顶盖前横梁,P,02A01,A-16b,0.6,-0.6,0.21,0.16,0.22,0.13
K600057960,顶盖前横梁,P,02A01,A-17a,0.6,-0.6,-0.21,-0.13,-0.09,0.13
K600057960,顶盖前横梁,P,02A01,A-17b,0.6,-0.6,0.16,0.05,0.14,0.22
K600057960,顶盖前横梁,P,02A02,A-9-A-17,0.6,0,0.49,0.49,0.45,0.48
K600057960,顶盖前横梁,P,03A01,A-18a,0.6,-0.6,0.21,0.16,0.13,0.21
K600057960,顶盖前横梁,P,03A01,A-18b,0.6,-0.6,-0.21,-0.16,-0.31,-0.24
K600057960,顶盖前横梁,P,03A01,A-19a,0.6,-0.6,-0.24,-0.16,-0.04,-0.16
K600057960,顶盖前横梁,P,03A01,A-19b,0.6,-0.6,-0.31,-0.26,-0.24,-0.15
K600057960,顶盖前横梁,P,03A01,A-20a,0.6,-0.6,-0.31,-0.25,-0.34,-0.42
K600057960,顶盖前横梁,P,03A01,A-20b,0.6,-0.6,-0.35,-0.34,-0.29,-0.27
K600057960,顶盖前横梁,P,03A01,A-21a,0.6,-0.6,-0.25,-0.26,-0.24,-0.16
K600057960,顶盖前横梁,P,03A01,A-21b,0.6,-0.6,-0.34,-0.29,-0.28,-0.34
K600057960,顶盖前横梁,P,04A01,H-1,0.75,-0.75,0.21,0.16,0.13,0.21
K600057960,顶盖前横梁,P,04A01,H-1,0.75,-0.75,0.12,0.06,0.08,0.06
K600057960,顶盖前横梁,P,04A01,H-2,0.75,-0.75,-0.08,0.12,0.19,0.21
K600057960,顶盖前横梁,P,04A01,H-2,0.75,-0.75,-0.06,-0.08,-0.07,-0.09
K600057960,顶盖前横梁,P,05A01,H-3,0.5,-0.5,-0.13,-0.09,-0.21,-0.17
K600057960,顶盖前横梁,P,05A01,H-3,0.5,-0.5,0.09,0.06,0.08,0.12
K600057960,顶盖前横梁,P,05A01,H-4,0.5,-0.5,0.21,0.23,0.015,0.16
K600057960,顶盖前横梁,P,05A01,H-4,0.5,-0.5,0.08,0.09,0.24,0.18
K600057960,顶盖前横梁,P,05A02,A-1a,0.6,-0.6,-0.08,-0.07,-0.06,-0.04
K600057960,顶盖前横梁,P,05A02,A-1b,0.6,-0.6,-0.05,-0.04,-0.07,-0.05
K600057960,顶盖前横梁,P,05A02,A-2a,0.6,-0.6,0.31,0.21,0.16,0.18
K600057960,顶盖前横梁,P,05A02,A-2b,0.6,-0.6,0.27,0.19,0.21,0.24
K600057960,顶盖前横梁,P,06A01,H-5,0.6,-0.6,-0.09,-0.11,-0.07,-0.13
K600057960,顶盖前横梁,P,06A01,H-5,0.6,-0.6,0.16,0.24,0.13,0.27
K600057960,顶盖前横梁,P,06A01,H-6,0.6,-0.6,0.21,0.16,0.15,0.09
K600057960,顶盖前横梁,P,06A01,H-6,0.6,-0.6,0.18,0.31,0.24,0.16
K600057960,顶盖前横梁,P,06A02,A-3a,0.6,-0.6,-0.09,-0.21,-0.24,-0.21
K600057960,顶盖前横梁,P,06A02,A-3b,0.6,-0.6,-0.21,-0.16,-0.08,-0.16
K600057960,顶盖前横梁,P,06A02,A-4a,0.6,-0.6,0.21,0.19,0.17,0.24
K600057960,顶盖前横梁,P,06A02,A-4b,0.6,-0.6,-0.07,0.16,0.25,-0.05
K600057960,顶盖前横梁,P,07A01,A-5a,0.6,-0.6,0.15,0.21,0.17,0.31
K600057960,顶盖前横梁,P,07A01,A-5b,0.6,-0.6,-0.21,-0.16,-0.24,-0.13
K600057960,顶盖前横梁,P,07A01,A-6a,0.6,-0.6,0.21,0.18,0.27,0.31
K600057960,顶盖前横梁,P,07A01,A-6b,0.6,-0.6,-0.08,0.21,0.19,0.31
K600057960,顶盖前横梁,P,07A01,A-7a,0.6,-0.6,-0.08,0.12,-0.04,-0.05
K600057960,顶盖前横梁,P,07A01,A-7b,0.6,-0.6,-0.08,-0.15,-0.13,-0.21
K600057960,顶盖前横梁,P,07A01,A-8a,0.6,-0.6,-0.12,-0.08,-0.09,-0.13
K600057960,顶盖前横梁,P,07A01,A-8b,0.6,-0.6,0.16,0.24,0.31,0.16
K600057960,顶盖前横梁,P,07A01,A-9a,0.6,-0.6,0.21,0.18,0.17,0.31
K600057960,顶盖前横梁,P,07A01,A-9b,0.6,-0.6,0.09,0.24,0.16,0.33
K600057960,顶盖前横梁,P,07A01,A-10a,0.6,-0.6,0.27,0.34,0.28,0.22
K600057960,顶盖前横梁,P,07A01,A-10b,0.6,-0.6,-0.04,-0.06,0.24,0.16
